,instances,budget,deadline,sched_start_time,submit_time,model,exec_start_time,finish_time,complete,cost
hpo-5cf32563,"{<resource_manager.instance.OnPremInstance object at 0x7cc93c806d40>: [(2, 1772919990.8269558, None)]}",12.26,1772923024.1003833,1772919990.8269558,1772919968.1003833,vgg19,1772919990.8393977,1772923465.0409672,True,1.621299872001012
hpo-23bd6b42,"{<resource_manager.instance.OnPremInstance object at 0x7cc93c806d40>: [(2, 1772920351.165473, None)]}",11.03,1772923418.3569877,1772920351.165473,1772920329.3569877,vgg19,1772920351.1763408,1772923693.219926,True,1.5596254114627837
hpo-a82342ac,"{<resource_manager.instance.CloudReservedInstance object at 0x7cc93c806050>: [(1, 1772920501.311791, None), (1, 1772920531.3375564, None), (1, None, 1772920991.626933)]}",15.43,1772924292.4372094,1772920501.311791,1772920487.4372094,convnext_large,1772920501.323084,1772924385.4698277,True,0.2740426743180979
hpo-375a9a34,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7cc93c805ff0>: [(1, 1772920961.5918992, None)], <resource_manager.instance.CloudReservedInstance object at 0x7cc93c806050>: [(1, 1772920991.638482, None)]}",12.33,1772923998.081084,1772920961.5918992,1772920597.081084,convnext_large,1772920961.6075494,1772923271.6443207,True,0.4813982072215358
hpo-e10d65ba,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7cc93c805ff0>: [(1, 1772921304.4410682, None), (1, 1772921654.0472574, None)]}",12.51,1772924234.453297,1772921304.4410682,1772920617.453297,wide_resnet101_2,1772921304.4576437,1772925363.1720886,True,1.135150867857887
hpo-76abe507,"{<resource_manager.instance.CloudReservedInstance object at 0x7cc93c805fc0>: [(2, 1772921654.0489254, None)]}",11.96,1772923826.836545,1772921654.0489254,1772920637.836545,vgg19,1772921654.0597339,1772923254.8983493,True,0.38694647253991493
hpo-aa7ac329,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7cc93c806d70>: [(1, 1772921981.775288, None), (1, 1772922309.8164334, None)]}",12.64,1772923879.0360885,1772921981.775288,1772920645.0360885,vgg19,1772921981.7909398,1772923984.1807733,True,1.0275384881230316
hpo-92c161bd,"{<resource_manager.instance.CloudOnDemandInstance object at 0x7cc93c806d70>: [(1, 1772922601.9412646, None)]}",15.41,1772925054.4949594,1772922601.9412646,1772920886.4949594,convnext_large,1772922601.9676604,1772926078.8795931,True,0.9716920349743108
hpo-96fd76b6,"{<resource_manager.instance.CloudReservedInstance object at 0x7cc93c805fc0>: [(1, 1772923322.6267328, None)]}",13.74,1772924460.8805192,1772923322.6267328,1772920996.8805192,wide_resnet101_2,1772923322.6401114,1772924992.6581967,True,0.20183434317122476
hpo-d107c6b5,"{<resource_manager.instance.CloudReservedInstance object at 0x7cc93c805fc0>: [(1, 1772923352.691507, None)]}",13.32,1772925115.6514435,1772923352.691507,1772921144.6514435,convnext_large,1772923352.7020648,1772927113.707852,True,0.45454368976429677
