Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763829031.291797,ANSYS,6700,0,0.0
1763829031.291797,ABAQUS,2200,0,0.0
1763829031.291797,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1069,15.955223880597014
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,999,14.910447761194028
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,55,2.5
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1272,16.736842105263158
9600.0,ANSYS,6700,2131,31.80597014925373
9600.0,ABAQUS,2200,461,20.954545454545453
9600.0,LSDYNA,7600,3696,48.63157894736842
10800.0,ANSYS,6700,3219,48.04477611940299
10800.0,ABAQUS,2200,627,28.499999999999996
10800.0,LSDYNA,7600,4360,57.36842105263158
12000.0,ANSYS,6700,3239,48.343283582089555
12000.0,ABAQUS,2200,801,36.40909090909091
12000.0,LSDYNA,7600,4600,60.526315789473685
13200.0,ANSYS,6700,3333,49.74626865671642
13200.0,ABAQUS,2200,812,36.90909090909091
13200.0,LSDYNA,7600,4392,57.78947368421052
14400.0,ANSYS,6700,3237,48.3134328358209
14400.0,ABAQUS,2200,865,39.31818181818182
14400.0,LSDYNA,7600,4560,60.0
15600.0,ANSYS,6700,3192,47.64179104477612
15600.0,ABAQUS,2200,862,39.18181818181819
15600.0,LSDYNA,7600,3560,46.8421052631579
16800.0,ANSYS,6700,4011,59.86567164179104
16800.0,ABAQUS,2200,920,41.81818181818181
16800.0,LSDYNA,7600,4224,55.57894736842105
18000.0,ANSYS,6700,4011,59.86567164179104
18000.0,ABAQUS,2200,1019,46.31818181818182
18000.0,LSDYNA,7600,3888,51.1578947368421
19200.0,ANSYS,6700,4035,60.223880597014926
19200.0,ABAQUS,2200,964,43.81818181818182
19200.0,LSDYNA,7600,3808,50.10526315789474
20400.0,ANSYS,6700,3497,52.19402985074627
20400.0,ABAQUS,2200,1076,48.90909090909091
20400.0,LSDYNA,7600,4480,58.94736842105262
21600.0,ANSYS,6700,4384,65.43283582089552
21600.0,ABAQUS,2200,972,44.18181818181818
21600.0,LSDYNA,7600,4056,53.368421052631575
22800.0,ANSYS,6700,4371,65.23880597014924
22800.0,ABAQUS,2200,1073,48.77272727272727
22800.0,LSDYNA,7600,3696,48.63157894736842
24000.0,ANSYS,6700,3553,53.02985074626866
24000.0,ABAQUS,2200,1240,56.36363636363636
24000.0,LSDYNA,7600,4136,54.421052631578945
25200.0,ANSYS,6700,4075,60.820895522388064
25200.0,ABAQUS,2200,1227,55.77272727272727
25200.0,LSDYNA,7600,3560,46.8421052631579
26400.0,ANSYS,6700,4067,60.70149253731343
26400.0,ABAQUS,2200,1285,58.409090909090914
26400.0,LSDYNA,7600,2976,39.1578947368421
27600.0,ANSYS,6700,4091,61.05970149253731
27600.0,ABAQUS,2200,1235,56.13636363636364
27600.0,LSDYNA,7600,3264,42.94736842105264
28800.0,ANSYS,6700,3854,57.52238805970149
28800.0,ABAQUS,2200,1211,55.04545454545454
28800.0,LSDYNA,7600,3720,48.94736842105264
30000.0,ANSYS,6700,3810,56.865671641791046
30000.0,ABAQUS,2200,1311,59.59090909090909
30000.0,LSDYNA,7600,3720,48.94736842105264
31200.0,ANSYS,6700,4120,61.49253731343284
31200.0,ABAQUS,2200,1221,55.50000000000001
31200.0,LSDYNA,7600,3648,48.0
32400.0,ANSYS,6700,3963,59.149253731343286
32400.0,ABAQUS,2200,1272,57.81818181818181
32400.0,LSDYNA,7600,3680,48.421052631578945
33600.0,ANSYS,6700,3823,57.059701492537314
33600.0,ABAQUS,2200,1167,53.04545454545454
33600.0,LSDYNA,7600,4232,55.684210526315795
34800.0,ANSYS,6700,4204,62.74626865671642
34800.0,ABAQUS,2200,1054,47.90909090909091
34800.0,LSDYNA,7600,4720,62.10526315789474
36000.0,ANSYS,6700,4441,66.28358208955224
36000.0,ABAQUS,2200,998,45.36363636363636
36000.0,LSDYNA,7600,4456,58.631578947368425
37200.0,ANSYS,6700,4269,63.71641791044777
37200.0,ABAQUS,2200,991,45.04545454545455
37200.0,LSDYNA,7600,4528,59.578947368421055
38400.0,ANSYS,6700,4055,60.52238805970149
38400.0,ABAQUS,2200,1102,50.090909090909086
38400.0,LSDYNA,7600,4624,60.8421052631579
39600.0,ANSYS,6700,4273,63.776119402985074
39600.0,ABAQUS,2200,1125,51.13636363636363
39600.0,LSDYNA,7600,4456,58.631578947368425
40800.0,ANSYS,6700,3560,53.13432835820896
40800.0,ABAQUS,2200,1199,54.50000000000001
40800.0,LSDYNA,7600,4624,60.8421052631579
42000.0,ANSYS,6700,4016,59.940298507462686
42000.0,ABAQUS,2200,1080,49.09090909090909
42000.0,LSDYNA,7600,4752,62.526315789473685
43200.0,ANSYS,6700,3926,58.59701492537314
43200.0,ABAQUS,2200,1109,50.409090909090914
43200.0,LSDYNA,7600,4648,61.1578947368421
44400.0,ANSYS,6700,4891,73.0
44400.0,ABAQUS,2200,914,41.54545454545455
44400.0,LSDYNA,7600,4480,58.94736842105262
45600.0,ANSYS,6700,4169,62.223880597014926
45600.0,ABAQUS,2200,1029,46.77272727272727
45600.0,LSDYNA,7600,4744,62.421052631578945
46800.0,ANSYS,6700,4547,67.86567164179105
46800.0,ABAQUS,2200,928,42.18181818181818
46800.0,LSDYNA,7600,3928,51.68421052631579
48000.0,ANSYS,6700,4888,72.95522388059702
48000.0,ABAQUS,2200,935,42.5
48000.0,LSDYNA,7600,4352,57.263157894736835
49200.0,ANSYS,6700,4389,65.50746268656717
49200.0,ABAQUS,2200,942,42.81818181818181
49200.0,LSDYNA,7600,4280,56.315789473684205
50400.0,ANSYS,6700,4891,73.0
50400.0,ABAQUS,2200,938,42.63636363636364
50400.0,LSDYNA,7600,4184,55.05263157894736
51600.0,ANSYS,6700,4058,60.56716417910448
51600.0,ABAQUS,2200,1021,46.409090909090914
51600.0,LSDYNA,7600,4904,64.52631578947368
52800.0,ANSYS,6700,3651,54.492537313432834
52800.0,ABAQUS,2200,1171,53.22727272727272
52800.0,LSDYNA,7600,4784,62.94736842105263
54000.0,ANSYS,6700,3840,57.3134328358209
54000.0,ABAQUS,2200,1135,51.590909090909086
54000.0,LSDYNA,7600,5024,66.10526315789474
55200.0,ANSYS,6700,3972,59.28358208955223
55200.0,ABAQUS,2200,1161,52.77272727272727
55200.0,LSDYNA,7600,5000,65.78947368421053
56400.0,ANSYS,6700,3923,58.55223880597015
56400.0,ABAQUS,2200,1124,51.090909090909086
56400.0,LSDYNA,7600,5408,71.15789473684211
57600.0,ANSYS,6700,4064,60.65671641791045
57600.0,ABAQUS,2200,975,44.31818181818182
57600.0,LSDYNA,7600,5360,70.52631578947368
58800.0,ANSYS,6700,4231,63.14925373134328
58800.0,ABAQUS,2200,1128,51.272727272727266
58800.0,LSDYNA,7600,4952,65.15789473684211
