,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(5, 30, 390), (2, 390, None), (6, 3840, None), (7, 4650, None), (10, 5280, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,65.35706137348848,30,5760.1461313637155,True,96.8336729207942,111.69228269282227,14.858609772028075
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(3, 60, 3540), (1, 3540, None)]}",309.54978900857253,127521.02370708411,60,35.786038003,1,27.78918548939083,60,69322.742,True,212.89538778614343,243.81133194134344,30.9159441552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(4, 1200, 5670), (1, 5670, None)]}",330.5774711754339,128545.4582720428,1200,1187.5032099999999,1,47.25302304357746,1200,22031.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(5, 1230, 6690), (2, 6690, None)]}",295.26855467250385,128825.07572848818,1230,1205.406992515,1,71.83664156970111,1230,26756.858999999997,True,180.1906600501939,207.5417760709939,27.3511160208
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(4, 6600, None), (6, 7860, None)]}",57.825321252479114,20757.871657632044,6600,6595.128387259,3,7.665982203969882,6600,8153.834999999999,True,12.135295459730763,15.37131421973076,3.2360187599999963
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(2, 6630, None)]}",293.5168981771201,134375.87449434822,6630,6589.030703689,3,,6630,33064.367999999995,True,80.41483915126624,101.85839847286623,21.443559321599995
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(2, 6660, None)]}",91.00759406898061,37673.82273093064,6660,6629.006231677,3,2.007757243896874,6660,17738.147999999997,True,33.70035135751767,42.686945015117665,8.986593657599999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(6, 6690, 7980), (1, 7980, None)]}",88.24903114605627,37842.07973381173,6690,6633.656958263,3,11.772758384668034,6690,20153.818,True,30.289479047836334,38.36652362863633,8.077044580799999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(3, 6720, 7680), (2, 7680, None)]}",98.97570184637311,37989.47045148376,6720,6632.656958263,3,4.380561259411362,6720,23381.699999999993,True,52.14601870864702,66.05136574864702,13.905347039999993
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(2, 6750, None)]}",310.3508838593914,134447.40057972845,6750,6638.864645567,3,6.114533424595026,6750,36658.530999999995,True,90.98343904479425,115.24523939199425,24.261800347199994
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(6, 6780, None)]}",310.4901833144852,134457.94817682597,6780,6606.530121844,3,,6780,22665.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x138b97e00>: [(4, 6810, None)]}",281.9460745575701,134568.84567237462,6810,6607.571241181,1,,6810,33394.424999999996,True,281.0278405201916,324.1584116401916,43.13057111999999
