Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763944407.9245188,ANSYS,6700,0,0.0
1763944407.9245188,ABAQUS,2200,0,0.0
1763944407.9245188,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,237,3.537313432835821
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,378,5.641791044776119
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,141,2.1044776119402986
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,141,2.1044776119402986
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,141,2.1044776119402986
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,567,8.46268656716418
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,96,1.263157894736842
8400.0,ANSYS,6700,756,11.283582089552239
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,672,8.842105263157894
9600.0,ANSYS,6700,849,12.671641791044777
9600.0,ABAQUS,2200,137,6.2272727272727275
9600.0,LSDYNA,7600,1104,14.526315789473685
10800.0,ANSYS,6700,1464,21.850746268656717
10800.0,ABAQUS,2200,361,16.40909090909091
10800.0,LSDYNA,7600,1584,20.842105263157894
12000.0,ANSYS,6700,1650,24.62686567164179
12000.0,ABAQUS,2200,417,18.954545454545453
12000.0,LSDYNA,7600,2112,27.789473684210524
13200.0,ANSYS,6700,1650,24.62686567164179
13200.0,ABAQUS,2200,504,22.90909090909091
13200.0,LSDYNA,7600,3048,40.10526315789474
14400.0,ANSYS,6700,1887,28.16417910447761
14400.0,ABAQUS,2200,549,24.954545454545453
14400.0,LSDYNA,7600,3528,46.421052631578945
15600.0,ANSYS,6700,2265,33.80597014925373
15600.0,ABAQUS,2200,767,34.86363636363636
15600.0,LSDYNA,7600,3336,43.89473684210527
16800.0,ANSYS,6700,2494,37.223880597014926
16800.0,ABAQUS,2200,756,34.36363636363636
16800.0,LSDYNA,7600,2832,37.26315789473684
18000.0,ANSYS,6700,2241,33.44776119402985
18000.0,ABAQUS,2200,974,44.27272727272727
18000.0,LSDYNA,7600,3024,39.78947368421053
19200.0,ANSYS,6700,2776,41.43283582089553
19200.0,ABAQUS,2200,858,39.0
19200.0,LSDYNA,7600,3488,45.89473684210526
20400.0,ANSYS,6700,2837,42.343283582089555
20400.0,ABAQUS,2200,880,40.0
20400.0,LSDYNA,7600,3456,45.473684210526315
21600.0,ANSYS,6700,2885,43.059701492537314
21600.0,ABAQUS,2200,915,41.590909090909086
21600.0,LSDYNA,7600,3552,46.73684210526316
22800.0,ANSYS,6700,3407,50.85074626865672
22800.0,ABAQUS,2200,880,40.0
22800.0,LSDYNA,7600,3264,42.94736842105264
24000.0,ANSYS,6700,4310,64.32835820895522
24000.0,ABAQUS,2200,965,43.86363636363637
24000.0,LSDYNA,7600,3024,39.78947368421053
25200.0,ANSYS,6700,3301,49.26865671641791
25200.0,ABAQUS,2200,1060,48.18181818181818
25200.0,LSDYNA,7600,2880,37.89473684210527
26400.0,ANSYS,6700,3631,54.194029850746276
26400.0,ABAQUS,2200,1145,52.04545454545455
26400.0,LSDYNA,7600,3168,41.68421052631579
27600.0,ANSYS,6700,3535,52.76119402985074
27600.0,ABAQUS,2200,1067,48.5
27600.0,LSDYNA,7600,3600,47.368421052631575
28800.0,ANSYS,6700,3436,51.28358208955224
28800.0,ABAQUS,2200,995,45.22727272727273
28800.0,LSDYNA,7600,3912,51.473684210526315
30000.0,ANSYS,6700,3484,52.0
30000.0,ABAQUS,2200,899,40.86363636363636
30000.0,LSDYNA,7600,3480,45.78947368421053
31200.0,ANSYS,6700,3199,47.74626865671642
31200.0,ABAQUS,2200,1079,49.04545454545455
31200.0,LSDYNA,7600,3192,42.0
32400.0,ANSYS,6700,3010,44.92537313432835
32400.0,ABAQUS,2200,981,44.59090909090909
