Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763926432.741816,ANSYS,6700,0,0.0
1763926432.741816,ABAQUS,2200,0,0.0
1763926432.741816,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1069,15.955223880597014
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,999,14.910447761194028
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,816,10.73684210526316
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,960,12.631578947368421
9600.0,ANSYS,6700,1278,19.074626865671643
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1680,22.105263157894736
10800.0,ANSYS,6700,2557,38.16417910447761
10800.0,ABAQUS,2200,627,28.499999999999996
10800.0,LSDYNA,7600,3576,47.05263157894737
12000.0,ANSYS,6700,3006,44.865671641791046
12000.0,ABAQUS,2200,710,32.27272727272727
12000.0,LSDYNA,7600,3640,47.89473684210526
13200.0,ANSYS,6700,3049,45.507462686567166
13200.0,ABAQUS,2200,780,35.45454545454545
13200.0,LSDYNA,7600,3784,49.78947368421053
14400.0,ANSYS,6700,2716,40.537313432835816
14400.0,ABAQUS,2200,835,37.95454545454545
14400.0,LSDYNA,7600,3840,50.526315789473685
15600.0,ANSYS,6700,3708,55.343283582089555
15600.0,ABAQUS,2200,905,41.13636363636364
15600.0,LSDYNA,7600,3160,41.578947368421055
16800.0,ANSYS,6700,3661,54.64179104477612
16800.0,ABAQUS,2200,1001,45.5
16800.0,LSDYNA,7600,3256,42.84210526315789
18000.0,ANSYS,6700,3517,52.49253731343284
18000.0,ABAQUS,2200,1087,49.40909090909091
18000.0,LSDYNA,7600,3160,41.578947368421055
19200.0,ANSYS,6700,3794,56.62686567164179
19200.0,ABAQUS,2200,960,43.63636363636363
19200.0,LSDYNA,7600,3520,46.31578947368421
20400.0,ANSYS,6700,4149,61.92537313432835
20400.0,ABAQUS,2200,839,38.13636363636363
20400.0,LSDYNA,7600,3832,50.421052631578945
21600.0,ANSYS,6700,4484,66.92537313432835
21600.0,ABAQUS,2200,797,36.22727272727273
21600.0,LSDYNA,7600,4048,53.26315789473684
22800.0,ANSYS,6700,4325,64.55223880597015
22800.0,ABAQUS,2200,953,43.31818181818182
22800.0,LSDYNA,7600,4216,55.47368421052632
24000.0,ANSYS,6700,4610,68.80597014925374
24000.0,ABAQUS,2200,866,39.36363636363636
24000.0,LSDYNA,7600,4368,57.47368421052632
25200.0,ANSYS,6700,4393,65.56716417910448
25200.0,ABAQUS,2200,1112,50.54545454545455
25200.0,LSDYNA,7600,3752,49.368421052631575
26400.0,ANSYS,6700,4605,68.73134328358209
26400.0,ABAQUS,2200,988,44.90909090909091
26400.0,LSDYNA,7600,4104,54.0
27600.0,ANSYS,6700,4802,71.67164179104478
27600.0,ABAQUS,2200,957,43.5
27600.0,LSDYNA,7600,4208,55.368421052631575
28800.0,ANSYS,6700,5010,74.77611940298507
28800.0,ABAQUS,2200,910,41.36363636363637
28800.0,LSDYNA,7600,3072,40.421052631578945
30000.0,ANSYS,6700,4748,70.86567164179104
30000.0,ABAQUS,2200,895,40.68181818181818
30000.0,LSDYNA,7600,3776,49.684210526315795
31200.0,ANSYS,6700,4523,67.50746268656717
31200.0,ABAQUS,2200,884,40.18181818181818
31200.0,LSDYNA,7600,4232,55.684210526315795
32400.0,ANSYS,6700,4069,60.731343283582085
32400.0,ABAQUS,2200,847,38.5
32400.0,LSDYNA,7600,4568,60.10526315789474
33600.0,ANSYS,6700,3642,54.35820895522389
33600.0,ABAQUS,2200,846,38.45454545454545
33600.0,LSDYNA,7600,5240,68.94736842105263
34800.0,ANSYS,6700,3071,45.83582089552239
34800.0,ABAQUS,2200,999,45.40909090909091
34800.0,LSDYNA,7600,5104,67.15789473684211
36000.0,ANSYS,6700,2740,40.8955223880597
36000.0,ABAQUS,2200,1033,46.95454545454545
36000.0,LSDYNA,7600,5216,68.63157894736842
37200.0,ANSYS,6700,2691,40.16417910447761
37200.0,ABAQUS,2200,1034,47.0
37200.0,LSDYNA,7600,5024,66.10526315789474
38400.0,ANSYS,6700,2975,44.40298507462687
38400.0,ABAQUS,2200,983,44.68181818181819
38400.0,LSDYNA,7600,4952,65.15789473684211
39600.0,ANSYS,6700,3042,45.40298507462687
39600.0,ABAQUS,2200,1125,51.13636363636363
39600.0,LSDYNA,7600,4152,54.63157894736842
40800.0,ANSYS,6700,3231,48.223880597014926
40800.0,ABAQUS,2200,1102,50.090909090909086
40800.0,LSDYNA,7600,3888,51.1578947368421
42000.0,ANSYS,6700,3186,47.55223880597015
42000.0,ABAQUS,2200,1193,54.22727272727273
42000.0,LSDYNA,7600,3648,48.0
43200.0,ANSYS,6700,3446,51.43283582089552
43200.0,ABAQUS,2200,1183,53.77272727272727
43200.0,LSDYNA,7600,3624,47.68421052631579
44400.0,ANSYS,6700,3492,52.11940298507463
44400.0,ABAQUS,2200,1153,52.40909090909091
44400.0,LSDYNA,7600,3856,50.73684210526316
45600.0,ANSYS,6700,3255,48.582089552238806
45600.0,ABAQUS,2200,1270,57.72727272727273
45600.0,LSDYNA,7600,3696,48.63157894736842
46800.0,ANSYS,6700,2948,44.0
46800.0,ABAQUS,2200,1367,62.13636363636363
46800.0,LSDYNA,7600,3576,47.05263157894737
48000.0,ANSYS,6700,3233,48.25373134328358
48000.0,ABAQUS,2200,1276,57.99999999999999
48000.0,LSDYNA,7600,3576,47.05263157894737
49200.0,ANSYS,6700,3409,50.88059701492538
49200.0,ABAQUS,2200,1277,58.04545454545455
49200.0,LSDYNA,7600,3592,47.26315789473684
50400.0,ANSYS,6700,2982,44.50746268656716
50400.0,ABAQUS,2200,1251,56.86363636363636
50400.0,LSDYNA,7600,3736,49.1578947368421
51600.0,ANSYS,6700,3424,51.104477611940304
51600.0,ABAQUS,2200,1237,56.22727272727273
51600.0,LSDYNA,7600,3688,48.526315789473685
52800.0,ANSYS,6700,3424,51.104477611940304
52800.0,ABAQUS,2200,1165,52.95454545454545
52800.0,LSDYNA,7600,3592,47.26315789473684
54000.0,ANSYS,6700,3581,53.44776119402985
54000.0,ABAQUS,2200,1114,50.63636363636363
54000.0,LSDYNA,7600,3552,46.73684210526316
55200.0,ANSYS,6700,3414,50.95522388059701
55200.0,ABAQUS,2200,1114,50.63636363636363
55200.0,LSDYNA,7600,3888,51.1578947368421
56400.0,ANSYS,6700,3818,56.985074626865675
56400.0,ABAQUS,2200,1101,50.04545454545455
56400.0,LSDYNA,7600,3600,47.368421052631575
57600.0,ANSYS,6700,3702,55.25373134328358
57600.0,ABAQUS,2200,1153,52.40909090909091
57600.0,LSDYNA,7600,3672,48.31578947368421
58800.0,ANSYS,6700,3561,53.14925373134328
58800.0,ABAQUS,2200,1130,51.36363636363637
58800.0,LSDYNA,7600,3944,51.89473684210526
60000.0,ANSYS,6700,3657,54.58208955223881
60000.0,ABAQUS,2200,1105,50.227272727272734
60000.0,LSDYNA,7600,4112,54.10526315789473
61200.0,ANSYS,6700,3420,51.04477611940299
61200.0,ABAQUS,2200,1094,49.72727272727273
61200.0,LSDYNA,7600,4112,54.10526315789473
62400.0,ANSYS,6700,3872,57.791044776119406
62400.0,ABAQUS,2200,1092,49.63636363636363
62400.0,LSDYNA,7600,4160,54.736842105263165
63600.0,ANSYS,6700,3635,54.25373134328358
63600.0,ABAQUS,2200,1085,49.31818181818181
63600.0,LSDYNA,7600,4424,58.21052631578948
64800.0,ANSYS,6700,3635,54.25373134328358
64800.0,ABAQUS,2200,1076,48.90909090909091
64800.0,LSDYNA,7600,4376,57.578947368421055
66000.0,ANSYS,6700,3635,54.25373134328358
66000.0,ABAQUS,2200,1076,48.90909090909091
66000.0,LSDYNA,7600,4472,58.8421052631579
67200.0,ANSYS,6700,3397,50.70149253731343
67200.0,ABAQUS,2200,1091,49.59090909090909
67200.0,LSDYNA,7600,4904,64.52631578947368
68400.0,ANSYS,6700,3253,48.55223880597015
68400.0,ABAQUS,2200,1137,51.68181818181819
68400.0,LSDYNA,7600,5000,65.78947368421053
69600.0,ANSYS,6700,3864,57.67164179104478
69600.0,ABAQUS,2200,1091,49.59090909090909
69600.0,LSDYNA,7600,4424,58.21052631578948
70800.0,ANSYS,6700,3817,56.970149253731336
70800.0,ABAQUS,2200,1062,48.27272727272727
70800.0,LSDYNA,7600,4448,58.526315789473685
72000.0,ANSYS,6700,3628,54.149253731343286
72000.0,ABAQUS,2200,1045,47.5
72000.0,LSDYNA,7600,4688,61.68421052631579
73200.0,ANSYS,6700,3819,56.99999999999999
73200.0,ABAQUS,2200,1055,47.95454545454545
73200.0,LSDYNA,7600,4880,64.21052631578948
74400.0,ANSYS,6700,3963,59.149253731343286
74400.0,ABAQUS,2200,1112,50.54545454545455
74400.0,LSDYNA,7600,4424,58.21052631578948
75600.0,ANSYS,6700,3870,57.76119402985075
75600.0,ABAQUS,2200,1086,49.36363636363637
75600.0,LSDYNA,7600,4616,60.73684210526316
76800.0,ANSYS,6700,4417,65.92537313432835
76800.0,ABAQUS,2200,989,44.95454545454545
76800.0,LSDYNA,7600,4544,59.78947368421053
78000.0,ANSYS,6700,4513,67.35820895522389
78000.0,ABAQUS,2200,1024,46.54545454545455
78000.0,LSDYNA,7600,4544,59.78947368421053
79200.0,ANSYS,6700,4302,64.2089552238806
79200.0,ABAQUS,2200,1035,47.04545454545455
79200.0,LSDYNA,7600,4568,60.10526315789474
80400.0,ANSYS,6700,4135,61.71641791044776
80400.0,ABAQUS,2200,1070,48.63636363636364
80400.0,LSDYNA,7600,4440,58.42105263157895
81600.0,ANSYS,6700,3946,58.8955223880597
81600.0,ABAQUS,2200,1050,47.72727272727273
81600.0,LSDYNA,7600,4664,61.36842105263158
82800.0,ANSYS,6700,3544,52.8955223880597
82800.0,ABAQUS,2200,999,45.40909090909091
82800.0,LSDYNA,7600,4496,59.15789473684211
84000.0,ANSYS,6700,3307,49.35820895522388
84000.0,ABAQUS,2200,999,45.40909090909091
84000.0,LSDYNA,7600,4208,55.368421052631575
85200.0,ANSYS,6700,3049,45.507462686567166
85200.0,ABAQUS,2200,999,45.40909090909091
85200.0,LSDYNA,7600,4208,55.368421052631575
86400.0,ANSYS,6700,3049,45.507462686567166
86400.0,ABAQUS,2200,888,40.36363636363636
86400.0,LSDYNA,7600,4112,54.10526315789473
87600.0,ANSYS,6700,2789,41.62686567164179
87600.0,ABAQUS,2200,837,38.04545454545455
87600.0,LSDYNA,7600,3680,48.421052631578945
88800.0,ANSYS,6700,2696,40.23880597014926
88800.0,ABAQUS,2200,802,36.45454545454545
88800.0,LSDYNA,7600,3680,48.421052631578945
90000.0,ANSYS,6700,2696,40.23880597014926
90000.0,ABAQUS,2200,802,36.45454545454545
90000.0,LSDYNA,7600,3680,48.421052631578945
91200.0,ANSYS,6700,2696,40.23880597014926
91200.0,ABAQUS,2200,767,34.86363636363636
91200.0,LSDYNA,7600,3536,46.526315789473685
