Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763926074.622997,ANSYS,6700,0,0.0
1763926074.622997,ABAQUS,2200,0,0.0
1763926074.622997,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,237,3.537313432835821
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,378,5.641791044776119
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,141,2.1044776119402986
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,141,2.1044776119402986
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,141,2.1044776119402986
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,567,8.46268656716418
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,288,3.7894736842105265
8400.0,ANSYS,6700,756,11.283582089552239
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,912,12.0
9600.0,ANSYS,6700,849,12.671641791044777
9600.0,ABAQUS,2200,269,12.227272727272727
9600.0,LSDYNA,7600,1344,17.684210526315788
10800.0,ANSYS,6700,1887,28.16417910447761
10800.0,ABAQUS,2200,442,20.09090909090909
10800.0,LSDYNA,7600,2352,30.94736842105263
12000.0,ANSYS,6700,1983,29.597014925373134
12000.0,ABAQUS,2200,523,23.772727272727273
12000.0,LSDYNA,7600,3432,45.15789473684211
13200.0,ANSYS,6700,2148,32.059701492537314
13200.0,ABAQUS,2200,684,31.09090909090909
13200.0,LSDYNA,7600,3112,40.94736842105263
14400.0,ANSYS,6700,2595,38.731343283582085
14400.0,ABAQUS,2200,664,30.181818181818183
14400.0,LSDYNA,7600,2728,35.89473684210526
15600.0,ANSYS,6700,2390,35.67164179104478
15600.0,ABAQUS,2200,797,36.22727272727273
15600.0,LSDYNA,7600,2536,33.36842105263158
16800.0,ANSYS,6700,2342,34.95522388059701
16800.0,ABAQUS,2200,894,40.63636363636364
16800.0,LSDYNA,7600,3160,41.578947368421055
18000.0,ANSYS,6700,2880,42.98507462686567
18000.0,ABAQUS,2200,934,42.45454545454545
18000.0,LSDYNA,7600,3224,42.421052631578945
19200.0,ANSYS,6700,4017,59.95522388059702
19200.0,ABAQUS,2200,1036,47.090909090909086
19200.0,LSDYNA,7600,3096,40.73684210526316
20400.0,ANSYS,6700,3636,54.26865671641791
20400.0,ABAQUS,2200,1009,45.86363636363636
20400.0,LSDYNA,7600,3240,42.63157894736842
21600.0,ANSYS,6700,3543,52.88059701492537
21600.0,ABAQUS,2200,1009,45.86363636363636
21600.0,LSDYNA,7600,2856,37.57894736842105
22800.0,ANSYS,6700,3639,54.3134328358209
22800.0,ABAQUS,2200,925,42.04545454545455
22800.0,LSDYNA,7600,3352,44.10526315789474
24000.0,ANSYS,6700,4299,64.16417910447761
24000.0,ABAQUS,2200,779,35.40909090909091
24000.0,LSDYNA,7600,2776,36.526315789473685
25200.0,ANSYS,6700,4773,71.23880597014926
25200.0,ABAQUS,2200,836,38.0
25200.0,LSDYNA,7600,3064,40.31578947368421
26400.0,ANSYS,6700,4171,62.25373134328358
26400.0,ABAQUS,2200,731,33.22727272727273
26400.0,LSDYNA,7600,3208,42.21052631578948
