,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(3, 60, None)]}",309.54978900857253,127489.2374744621,60,3.999805381,1,255.51098790782572,60,32057.276,True,294.4452733446257,38.9342854368
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(4, 1200.4, None)]}",330.5774711754339,128532.5701942618,1200.4,1174.615132219,1,105.04843866453723,1200.4,11137.68,True,121.17068173653723,16.122243072
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(5, 1230.4, None)]}",295.26855467250385,128816.25538781719,1230.4,1196.586651844,1,285.7608316221765,1230.4,22949.875,True,329.80792692217653,44.047095299999995
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(4, 6570.999999999999, None)]}",57.825321252479114,20726.988246540044,6570.999999999999,6564.244976167,3,9.453707506274235,6570.999999999999,8124.834999999998,True,11.974649410274234,2.5209419039999985
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(2, 6600.999999999999, None)]}",91.00759406898061,37626.27921466564,6600.999999999999,6581.462715412,3,13.964900752908965,6600.999999999999,11191.612,True,17.688805207308967,3.7239044544
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(6, 6630.999999999999, None)]}",88.24903114605627,37797.089850899734,6630.999999999999,6588.667075351,3,43.50698608259184,6630.999999999999,11398.278,True,55.10863382339184,11.601647740800004
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(3, 6660.999999999999, None)]}",98.97570184637311,37939.64320225276,6660.999999999999,6582.829709032,3,28.4819986310746,6660.999999999999,12902.829999999998,True,36.0770573750746,7.595058743999999
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(2, 6691.199999999999, None)]}",293.5168981771201,134344.30818028722,6691.199999999999,6557.4643896279995,3,43.089472963723466,6691.199999999999,20855.786999999997,True,54.579785938123464,11.490312974399998
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(2, 6721.199999999999, None)]}",310.3508838593914,134417.21280283947,6721.199999999999,6608.676868678,3,37.40361700509545,6721.199999999999,19016.704,True,47.37772984989545,9.974112844800002
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(6, 6751.199999999999, None)]}",310.4901833144852,134417.22733327147,6751.199999999999,6565.809278289499,3,144.97091489847136,6751.199999999999,22636.388,True,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(4, 6781.199999999999, None)]}",281.9460745575701,134541.1779783916,6781.199999999999,6579.903547198,1,293.35347973229904,6781.199999999999,34531.594999999994,True,338.375720580299,45.022240847999996
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x12ac0b8c0>: [(6, 7171.399999999999, None)]}",308.5846884800438,135252.28227927614,7171.399999999999,7152.068523145,2,21.812242277691865,7171.399999999999,12218.368999999999,True,34.09454603609187,12.282303758400001
