,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 30, 390), (2, 390, None), (6, 3840, None), (7, 4650, None), (10, 5280, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,65.35706137348848,30,5760.1461313637155,True,96.8336729207942,111.69228269282227,14.858609772028075
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 60, 3540), (1, 3540, None)]}",309.54978900857253,127496.5699430801,60,11.332273999,1,27.78918548939083,60,69322.742,True,212.89538778614343,243.81133194134344,30.9159441552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 1260, 5730), (1, 5730, None)]}",330.5774711754339,128587.47448312181,1260,1229.519421079,1,47.25302304357746,1260,22091.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 1290, 6750), (2, 6750, None)]}",295.26855467250385,128868.86149050319,1290,1249.19275453,1,71.83664156970111,1290,26816.858999999997,True,180.1906600501939,207.5417760709939,27.3511160208
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 6630, None), (6, 7890, None)]}",57.825321252479114,20781.402279438043,6630,6618.659009065,3,7.665982203969882,6630,8183.834999999999,True,12.135295459730763,15.37131421973076,3.2360187599999963
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 6660, None), (7, 9750, None)]}",91.00759406898061,37687.36459253764,6660,6642.548093284,3,9.399954369153546,6660,12507.051999999998,True,47.14193931097419,59.71288993177418,12.57095062079999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 6690, 7650), (2, 7650, None)]}",98.97570184637311,38003.771509146754,6690,6646.958015926,3,4.380561259411362,6690,23351.699999999993,True,52.14601870864702,66.05136574864702,13.905347039999993
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 6720, None)]}",293.5168981771201,134396.02614529722,6720,6609.182354638,3,,6720,33154.367999999995,True,80.41483915126624,101.85839847286623,21.443559321599995
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(6, 6750, None)]}",310.4901833144852,134484.23516956498,6750,6632.817114583,3,,6750,22635.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 6780, None)]}",281.9460745575701,134598.7843029886,6780,6637.509871795,1,258.69488843258046,6780,33169.424999999996,True,278.9664670317134,321.7806701517134,42.814203119999995
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(6, 7230, 8520), (1, 8520, None), (5, 10050, None)]}",88.24903114605627,38418.33992730273,7230,7209.917151754,3,14.09993155373032,7230,12668.626,True,37.99795573807894,48.130555971678945,10.132600233600002
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 7260, None)]}",310.3508838593914,135024.12383941346,7260,7215.5879052519995,3,6.114533424595026,7260,37168.530999999995,True,90.98343904479425,115.24523939199425,24.261800347199994
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(6, 7290, 9300), (2, 9300, None)]}",308.5846884800438,135330.00400785313,7290,7229.790251721999,2,8.686918223226783,7290,14773.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 7830, None)]}",89.7921856815224,39064.091491632265,7830,7815.362463846999,1,,7830,19860.115999999998,True,64.95841782645067,74.71724792565067,9.758830099199999
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 7860, None)]}",300.8642397517245,135247.95350982412,7860,7832.517152922999,3,,7860,42497.921,True,105.37051030496615,133.46879182016613,28.0982815152
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 7890, None)]}",317.6420201174764,135394.01844119164,7890,7824.954284799999,2,,7890,31641.023000000005,True,76.61562307231429,105.5158678587143,28.90024478640001
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 7920, None)]}",290.6639501784463,135413.8859031909,7920,7840.000174809999,2,,7920,21436.760999999995,True,49.23022256846524,71.15981561486522,21.92959304639999
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 7950, 9960), (1, 9960, None)]}",322.3613792231315,135515.86331575733,7950,7808.704451946999,2,6.483821870550658,7950,39914.176,True,67.26193669825952,81.85711848385952,14.595181785600001
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 8400, 9690), (2, 9690, None)]}",100.9864715008785,39567.188320347486,8400,8397.455830399,2,5.162319741998986,8400,14336.408,True,17.793439381213062,24.178725550813063,6.3852861696
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 8430, None)]}",64.77903730143166,22386.064001283346,8430,8411.691981868,2,4.648583289081818,8430,18109.527000000002,True,26.313501437670336,34.16553374007034,7.852032302400001
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 8460, 9390), (1, 9390, None)]}",46.55013787044631,22616.447007535382,8460,8429.569147856,1,14.261921058635638,8460,18760.518,True,38.60363267168606,44.290354772486054,5.6867221008
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 8490, None)]}",57.77199384513077,22631.941641668465,8490,8455.099432964,2,,8490,10206.369000000002,True,5.536632268723969,7.6251100679239725,2.088477799200003
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 8520, 9120), (2, 9120, None)]}",56.56222725445129,22655.35031817642,8520,8434.961215793,1,6.342687656856034,8520,12892.168,True,26.71107521484523,30.744497896445232,4.033422681599999
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 8550, None)]}",94.51083597672981,39458.1343615799,8550,8427.781780445,1,,8550,14426.974000000002,True,62.126350749106415,71.66115336670642,9.534802617600002
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 8580, 10020), (1, 10020, None)]}",105.56808496111117,39570.33488108328,8580,8413.678055959,3,10.951403148528405,8580,11613.282,True,13.374830025096964,16.941385204296964,3.5665551791999994
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(3, 8610, None)]}",295.24467469152273,136021.6736382843,8610,8447.737689755,3,,8610,23439.561,True,67.66854209445586,85.71315191925586,18.044609824800002
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 8640, None)]}",332.81097832014945,136226.88537264202,8640,8426.781780445,3,,8640,54890.428,True,140.69641189444062,178.2147590880406,37.5183471936
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 9030, None)]}",76.07511246679637,23156.392039972154,9030,9019.480657142,3,7.848505589778689,9030,11608.969000000001,True,15.690738459198423,19.874857764798424,4.184119305600001
lamf-test-794e981d-7b48-479b-88a9-08c76168b3f4,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 9060, None)]}",55.43753343799916,23213.722420086877,9060,9035.982403459999,3,,9060,13278.055,True,12.831561335462773,16.253247551462774,3.4216862160000003
lamf-test-d89dd74a-ca32-43e3-9fdb-057b16e15c3a,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 9090, None), (6, 10260, None)]}",52.589033620058174,23244.88703802401,9090,9036.982403459999,1,6.317590691307323,9090,12573.723000000002,True,55.23499840292041,63.69167079332042,8.456672390400007
lamf-test-9d73df9e-a4e9-43ed-b3cd-731892da568c,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(6, 9120, None)]}",116.24356079750007,40157.69792293884,9120,9041.847144119998,3,,9120,12139.289365149953,True,27.5545458831846,34.90228848221352,7.347742599028925
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 9150, None)]}",82.04480128359563,40188.47592564421,9150,9025.659661918999,2,,9150,17814.185999999998,True,31.556362145826252,45.613137512226245,14.056775366399997
lamf-test-700b88cb-1fe1-443f-85f3-4e83586778d7,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(2, 9180, None)]}",323.88597973304996,136320.6097630747,9180,9042.847144119998,1,,9180,40838.967,True,170.94734633812456,196.62910036852455,25.681754030399997
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 9210, None)]}",291.443531643958,136945.69681331105,9210,9006.668320604,2,69.86784384137319,9210,32312.549221242898,True,92.45174103513605,139.30371085581663,46.851969820680594
lamf-test-cacf2328-5a7f-4177-ad3a-d6767db7f233,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(5, 9240, None)]}",299.34289693362723,136975.41261884553,9240,9050.922158745998,2,,9240,23301.842999999997,True,56.272658703713354,84.79007630771335,28.51741760399999
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(4, 9270, None)]}",290.8535591080783,137062.7395480575,9270,9028.594006849999,3,,9270,18206.862,True,54.372877024868814,68.87204193366881,14.499164908800001
lamf-test-50c28631-c9b3-47d9-9e36-b5f64438ea4d,"{<resource_manager.instance.OnPremInstance object at 0x11c543e00>: [(6, 9630, None)]}",57.792712238435485,23515.08589258333,9630,9624.345168225997,3,,9630,13220.606327692522,True,32.76848120184824,41.50658076092076,8.738099559072522
