,Timestamp,On-prem,Cloud
0,1763814197.840555,148,31
1,1200.0,146,31
2,2400.0,143,31
3,3600.0,143,31
4,4800.0,137,31
5,6000.0,137,31
6,7200.0,132,31
7,8400.0,120,31
8,9600.0,99,31
9,10800.0,64,31
10,12000.0,24,31
11,13200.0,28,15
12,14400.0,3,15
13,15600.0,2,0
14,16800.0,0,0
15,18000.0,7,0
16,19200.0,-1,0
17,20400.0,3,0
18,21600.0,2,0
19,22800.0,3,1
20,24000.0,2,0
21,25200.0,-5,0
22,26400.0,-3,0
23,27600.0,10,0
24,28800.0,0,0
25,30000.0,-6,0
26,31200.0,0,0
27,32400.0,-1,0
28,33600.0,0,3
29,34800.0,3,0
30,36000.0,2,0
31,37200.0,5,0
32,38400.0,1,0
33,39600.0,2,0
34,40800.0,2,0
35,42000.0,4,3
36,43200.0,22,3
37,44400.0,23,8
38,45600.0,40,8
39,46800.0,32,11
40,48000.0,44,15
41,49200.0,58,15
42,50400.0,66,15
43,51600.0,51,15
44,52800.0,59,15
45,54000.0,84,15
46,55200.0,94,16
47,56400.0,88,16
48,57600.0,84,16
49,58800.0,77,11
50,60000.0,70,8
51,61200.0,90,8
52,62400.0,102,8
53,63600.0,122,7
54,64800.0,140,7
55,66000.0,140,7
56,67200.0,140,7
57,68400.0,148,7
58,69600.0,148,10
59,70800.0,148,10
60,72000.0,148,10
61,73200.0,148,10
62,74400.0,148,10
63,75600.0,148,9
64,76800.0,148,9
65,78000.0,148,9
66,79200.0,148,9
67,80400.0,148,9
68,81600.0,148,9
69,82800.0,148,9
70,84000.0,148,9
71,85200.0,148,9
72,86400.0,148,17
73,87600.0,148,17
74,88800.0,148,17
75,90000.0,148,17
76,91200.0,148,17
77,92400.0,148,14
78,93600.0,148,14
79,94800.0,148,14
80,96000.0,148,14
81,97200.0,148,14
82,98400.0,148,14
83,99600.0,148,15
84,100800.0,148,15
85,102000.0,148,15
86,103200.0,148,22
87,104400.0,148,22
88,105600.0,148,22
89,106800.0,148,22
90,108000.0,148,21
91,109200.0,148,21
92,110400.0,148,21
93,111600.0,148,21
94,112800.0,148,21
95,114000.0,148,21
96,115200.0,148,21
97,116400.0,148,21
98,117600.0,148,21
99,118800.0,148,24
100,120000.0,148,27
101,121200.0,148,27
102,122400.0,148,27
103,123600.0,148,27
104,124800.0,148,27
105,126000.0,148,27
106,127200.0,148,27
107,128400.0,148,27
108,129600.0,148,27
109,130800.0,148,27
110,132000.0,148,27
111,133200.0,148,27
112,134400.0,148,27
113,135600.0,148,27
114,136800.0,148,27
115,138000.0,148,30
116,139200.0,148,30
117,140400.0,148,30
118,141600.0,148,30
119,142800.0,148,31
120,144000.0,148,31
121,145200.0,148,31
122,146400.0,148,31
123,147600.0,148,31
124,148800.0,148,31
125,150000.0,148,31
126,151200.0,148,31
127,152400.0,148,31
128,153600.0,148,31
129,154800.0,148,31
130,156000.0,148,31
131,157200.0,148,31
132,158400.0,148,31
133,159600.0,148,31
134,160800.0,148,31
135,162000.0,148,31
136,163200.0,148,31
137,164400.0,148,31
138,165600.0,148,31
139,166800.0,148,31
140,168000.0,148,31
141,169200.0,148,31
142,170400.0,148,31
143,171600.0,148,31
144,172800.0,148,31
145,174000.0,148,31
146,175200.0,148,31
147,176400.0,148,31
148,177600.0,148,31
149,178800.0,148,31
150,180000.0,148,31
151,181200.0,148,31
152,182400.0,148,31
153,183600.0,148,31
154,184800.0,148,31
155,186000.0,148,31
