Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763814477.6374972,ANSYS,6700,0,0.0
1763814477.6374972,ABAQUS,2200,0,0.0
1763814477.6374972,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,167,2.4925373134328357
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,308,4.597014925373134
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,308,4.597014925373134
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,643,9.597014925373134
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,643,9.597014925373134
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,521,7.776119402985075
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,288,3.7894736842105265
8400.0,ANSYS,6700,710,10.597014925373134
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,1008,13.263157894736842
9600.0,ANSYS,6700,803,11.985074626865671
9600.0,ABAQUS,2200,269,12.227272727272727
9600.0,LSDYNA,7600,1272,16.736842105263158
10800.0,ANSYS,6700,1986,29.641791044776117
10800.0,ABAQUS,2200,420,19.090909090909093
10800.0,LSDYNA,7600,2280,30.0
12000.0,ANSYS,6700,3369,50.28358208955224
12000.0,ABAQUS,2200,538,24.454545454545453
12000.0,LSDYNA,7600,3968,52.21052631578947
13200.0,ANSYS,6700,3318,49.52238805970149
13200.0,ABAQUS,2200,602,27.363636363636363
13200.0,LSDYNA,7600,4376,57.578947368421055
14400.0,ANSYS,6700,3410,50.8955223880597
14400.0,ABAQUS,2200,835,37.95454545454545
14400.0,LSDYNA,7600,4376,57.578947368421055
15600.0,ANSYS,6700,2878,42.95522388059702
15600.0,ABAQUS,2200,812,36.90909090909091
15600.0,LSDYNA,7600,4112,54.10526315789473
16800.0,ANSYS,6700,3427,51.14925373134328
16800.0,ABAQUS,2200,998,45.36363636363636
16800.0,LSDYNA,7600,3992,52.526315789473685
18000.0,ANSYS,6700,3822,57.04477611940298
18000.0,ABAQUS,2200,1039,47.22727272727273
18000.0,LSDYNA,7600,4088,53.789473684210535
19200.0,ANSYS,6700,3971,59.26865671641791
19200.0,ABAQUS,2200,1084,49.27272727272727
19200.0,LSDYNA,7600,3872,50.94736842105263
20400.0,ANSYS,6700,3682,54.95522388059702
20400.0,ABAQUS,2200,1144,52.0
20400.0,LSDYNA,7600,3976,52.31578947368421
21600.0,ANSYS,6700,3758,56.08955223880597
21600.0,ABAQUS,2200,1171,53.22727272727272
21600.0,LSDYNA,7600,3976,52.31578947368421
22800.0,ANSYS,6700,3666,54.71641791044776
22800.0,ABAQUS,2200,1025,46.590909090909086
22800.0,LSDYNA,7600,4360,57.36842105263158
24000.0,ANSYS,6700,4233,63.179104477611936
24000.0,ABAQUS,2200,1189,54.04545454545454
24000.0,LSDYNA,7600,3616,47.578947368421055
25200.0,ANSYS,6700,3997,59.65671641791045
25200.0,ABAQUS,2200,1365,62.04545454545455
25200.0,LSDYNA,7600,3688,48.526315789473685
26400.0,ANSYS,6700,4330,64.62686567164178
26400.0,ABAQUS,2200,1439,65.4090909090909
26400.0,LSDYNA,7600,2824,37.15789473684211
27600.0,ANSYS,6700,4498,67.13432835820895
27600.0,ABAQUS,2200,1377,62.590909090909086
27600.0,LSDYNA,7600,2536,33.36842105263158
28800.0,ANSYS,6700,4335,64.70149253731343
28800.0,ABAQUS,2200,1392,63.272727272727266
28800.0,LSDYNA,7600,2784,36.63157894736842
30000.0,ANSYS,6700,4524,67.52238805970148
30000.0,ABAQUS,2200,1223,55.59090909090909
30000.0,LSDYNA,7600,3336,43.89473684210527
31200.0,ANSYS,6700,4713,70.34328358208955
31200.0,ABAQUS,2200,1210,55.00000000000001
31200.0,LSDYNA,7600,3152,41.473684210526315
32400.0,ANSYS,6700,5190,77.46268656716417
32400.0,ABAQUS,2200,1250,56.81818181818182
32400.0,LSDYNA,7600,2936,38.631578947368425
33600.0,ANSYS,6700,4932,73.61194029850746
33600.0,ABAQUS,2200,1226,55.72727272727273
33600.0,LSDYNA,7600,3368,44.315789473684205
34800.0,ANSYS,6700,5217,77.86567164179104
34800.0,ABAQUS,2200,1150,52.27272727272727
34800.0,LSDYNA,7600,3544,46.63157894736842
36000.0,ANSYS,6700,4312,64.35820895522389
36000.0,ABAQUS,2200,1189,54.04545454545454
36000.0,LSDYNA,7600,3232,42.526315789473685
37200.0,ANSYS,6700,4594,68.56716417910448
37200.0,ABAQUS,2200,1206,54.81818181818182
37200.0,LSDYNA,7600,3496,46.0
38400.0,ANSYS,6700,4136,61.731343283582085
38400.0,ABAQUS,2200,1108,50.36363636363637
38400.0,LSDYNA,7600,4096,53.89473684210526
39600.0,ANSYS,6700,4043,60.343283582089555
39600.0,ABAQUS,2200,1151,52.31818181818182
39600.0,LSDYNA,7600,4432,58.31578947368421
40800.0,ANSYS,6700,3969,59.23880597014926
40800.0,ABAQUS,2200,1111,50.5
40800.0,LSDYNA,7600,4624,60.8421052631579
42000.0,ANSYS,6700,3873,57.805970149253724
42000.0,ABAQUS,2200,1062,48.27272727272727
42000.0,LSDYNA,7600,5176,68.10526315789474
43200.0,ANSYS,6700,3828,57.134328358208954
43200.0,ABAQUS,2200,1049,47.68181818181818
43200.0,LSDYNA,7600,5176,68.10526315789474
44400.0,ANSYS,6700,4258,63.55223880597015
44400.0,ABAQUS,2200,1002,45.54545454545455
44400.0,LSDYNA,7600,4936,64.94736842105263
45600.0,ANSYS,6700,4258,63.55223880597015
