,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 60, None)]}",309.54978900857253,127518.24926107311,60,33.011591992,1,199.35783595710703,60,25025.297000000002,True,229.73560934670704,30.377773389600005
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 1230.4, None)]}",330.5774711754339,128572.7482091878,1230.4,1214.793147145,1,105.04843866453723,1230.4,11167.68,True,121.17068173653723,16.122243072
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 1260.4, None)]}",295.26855467250385,128857.54910365818,1260.4,1237.880367685,1,228.7452470149821,1260.4,18646.361,True,264.00397592298214,35.258728907999995
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 6600.999999999999, None)]}",293.5168981771201,134384.1728510842,6600.999999999999,6597.3290604250005,3,42.916477298653874,6600.999999999999,20708.718999999997,True,54.36065895145387,11.444181652799998
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 6630.999999999999, None)]}",57.825321252479114,20778.264847479044,6630.999999999999,6615.521577106,3,9.453707506274235,6630.999999999999,8184.834999999998,True,11.974649410274234,2.5209419039999985
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(6, 6660.999999999999, None)]}",310.4901833144852,134486.66016650997,6660.999999999999,6635.242111528,3,144.97091489847134,6660.999999999999,22546.188,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 6690.999999999999, None)]}",281.9460745575701,134597.5165427216,6690.999999999999,6636.242111528,1,291.2921062438207,6690.999999999999,34246.39499999999,True,335.99797909182064,44.705872847999984
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 6721.199999999999, None)]}",91.00759406898061,37690.82739322964,6721.199999999999,6646.010893976,3,13.371699749030347,6721.199999999999,11116.812,True,16.937420203430346,3.5657204544000005
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 7261.399999999999, None)]}",98.97570184637311,38590.60857028326,7261.399999999999,7233.7950770625,3,26.998996121378045,7261.399999999999,13178.229999999998,True,34.19859486537804,7.199598743999999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(6, 7291.399999999999, None)]}",88.24903114605627,38452.520494149736,7291.399999999999,7244.097718601,3,43.50698608259184,7291.399999999999,12058.678,True,55.10863382339184,11.601647740800004
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 7321.399999999999, None)]}",310.3508838593914,135063.50887423145,7321.399999999999,7254.972940070001,3,37.434037569396914,7321.399999999999,19626.904,True,47.416262414196915,9.982224844800001
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(6, 7831.799999999998, None)]}",308.5846884800438,135930.04979421714,7831.799999999998,7829.836038086,2,24.04287864712174,7831.799999999998,13394.899,True,37.58123637352174,13.538357726400003
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 7861.799999999998, None)]}",322.3613792231315,135544.50805790434,7861.799999999998,7837.349194094,2,25.755108201405882,7861.799999999998,15845.944,True,35.47021462060589,9.715106419200001
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 7892.199999999998, None)]}",89.7921856815224,39097.198843306265,7892.199999999998,7848.469815521,1,32.774160535226564,7892.199999999998,13961.882209544985,True,37.69788674360946,4.923726208382893
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 7922.199999999998, None)]}",317.6420201174764,135422.64347518663,7922.199999999998,7853.579318795,2,75.3414391723802,7922.199999999998,31278.223,True,103.76104795878021,28.41960878640001
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 8402.399999999998, None)]}",300.8642397517245,135813.17299821513,8402.399999999998,8397.736641314,3,104.18410829720891,8402.399999999998,42650.320999999996,True,131.9660218124089,27.781913515200003
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 8432.399999999998, None)]}",290.6639501784463,135973.7162590399,8432.399999999998,8399.830530659001,2,53.554414883964206,8432.399999999998,23136.420999999995,True,77.4102185543642,23.855803670399993
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 8462.399999999998, None)]}",100.9864715008785,39574.22092166248,8462.399999999998,8404.488431714,2,14.098799441978688,8462.399999999998,11985.516,True,21.24367868997869,7.144879248000003
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 8492.399999999998, None)]}",64.77903730143166,22380.27343469835,8492.399999999998,8405.901415283,2,15.704327954793428,8492.399999999998,14269.3,True,20.39054923479343,4.686221280000001
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 8522.399999999998, None)]}",105.56808496111117,39583.22365150528,8522.399999999998,8426.566826381,3,17.08412807057571,8522.399999999998,10768.791999999998,True,21.63981104657571,4.555682975999999
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(2, 8552.599999999999, None)]}",332.81097832014945,136234.95196725303,8552.599999999999,8434.848375056,3,84.4204433319635,8552.599999999999,36303.7102342997,True,106.93214395402742,22.51170062206392
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 8582.8, None)]}",94.51083597672981,39481.021357049896,8582.8,8450.668775915,1,35.27310259335311,8582.8,11919.534,True,40.686619834953106,5.4135172416
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 9033.0, None)]}",46.55013787044631,23202.805973584385,9033.0,9015.928113905,1,59.77941387177734,9033.0,13576.581000000002,True,68.99379613977734,9.214382268000003
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 9063.0, None)]}",56.56222725445129,23237.317216288422,9063.0,9016.928113905,1,21.330881435850657,9063.0,11080.840000000002,True,24.60462505185066,3.273743616000003
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 9093.400000000001, None)]}",295.24467469152273,136593.97070593928,9093.400000000001,9020.03475741,3,66.73310974218572,9093.400000000001,23717.961000000003,True,84.52827556698571,17.7951658248
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(3, 9123.400000000001, None)]}",57.77199384513077,23210.591946897464,9123.400000000001,9033.749738192999,2,3.339523099356362,9123.400000000001,10158.660000000003,True,4.599227467356364,1.2597043680000026
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(5, 9153.400000000001, None)]}",291.443531643958,136977.01246593706,9153.400000000001,9037.983973229999,2,99.6808206121635,9153.400000000001,34062.407,True,150.1962868081635,50.51546619599999
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x11bd1f770>: [(4, 9183.400000000001, None)]}",76.07511246679637,23181.91908341615,9183.400000000001,9045.007700585998,3,15.964523537911631,9183.400000000001,11807.369000000002,True,20.221650843511632,4.257127305600002
