Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763815011.546992,ANSYS,6700,0,0.0
1763815011.546992,ABAQUS,2200,0,0.0
1763815011.546992,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,567,8.46268656716418
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1104,14.526315789473685
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1104,14.526315789473685
9600.0,ANSYS,6700,2052,30.626865671641788
9600.0,ABAQUS,2200,493,22.40909090909091
9600.0,LSDYNA,7600,2424,31.894736842105264
10800.0,ANSYS,6700,2169,32.37313432835821
10800.0,ABAQUS,2200,574,26.090909090909093
10800.0,LSDYNA,7600,3408,44.8421052631579
12000.0,ANSYS,6700,2403,35.865671641791046
12000.0,ABAQUS,2200,595,27.045454545454543
12000.0,LSDYNA,7600,3696,48.63157894736842
13200.0,ANSYS,6700,2259,33.71641791044776
13200.0,ABAQUS,2200,687,31.227272727272727
13200.0,LSDYNA,7600,3504,46.10526315789474
14400.0,ANSYS,6700,2166,32.32835820895522
14400.0,ABAQUS,2200,839,38.13636363636363
14400.0,LSDYNA,7600,3200,42.10526315789473
15600.0,ANSYS,6700,2560,38.2089552238806
15600.0,ABAQUS,2200,876,39.81818181818182
15600.0,LSDYNA,7600,3296,43.368421052631575
16800.0,ANSYS,6700,2717,40.55223880597015
16800.0,ABAQUS,2200,811,36.86363636363637
16800.0,LSDYNA,7600,3440,45.26315789473684
18000.0,ANSYS,6700,3425,51.11940298507462
18000.0,ABAQUS,2200,776,35.27272727272727
18000.0,LSDYNA,7600,3152,41.473684210526315
19200.0,ANSYS,6700,3377,50.40298507462686
19200.0,ABAQUS,2200,937,42.59090909090909
19200.0,LSDYNA,7600,3392,44.631578947368425
20400.0,ANSYS,6700,3755,56.04477611940298
20400.0,ABAQUS,2200,938,42.63636363636364
20400.0,LSDYNA,7600,3440,45.26315789473684
21600.0,ANSYS,6700,3127,46.67164179104478
21600.0,ABAQUS,2200,989,44.95454545454545
21600.0,LSDYNA,7600,3344,44.0
22800.0,ANSYS,6700,3367,50.25373134328358
22800.0,ABAQUS,2200,1014,46.09090909090909
22800.0,LSDYNA,7600,3648,48.0
24000.0,ANSYS,6700,3250,48.507462686567166
24000.0,ABAQUS,2200,1014,46.09090909090909
24000.0,LSDYNA,7600,3264,42.94736842105264
25200.0,ANSYS,6700,3692,55.1044776119403
25200.0,ABAQUS,2200,932,42.36363636363637
25200.0,LSDYNA,7600,3216,42.31578947368421
26400.0,ANSYS,6700,3215,47.98507462686567
26400.0,ABAQUS,2200,872,39.63636363636363
26400.0,LSDYNA,7600,2832,37.26315789473684
27600.0,ANSYS,6700,3971,59.26865671641791
27600.0,ABAQUS,2200,1029,46.77272727272727
27600.0,LSDYNA,7600,2544,33.473684210526315
28800.0,ANSYS,6700,3212,47.940298507462686
28800.0,ABAQUS,2200,1125,51.13636363636363
28800.0,LSDYNA,7600,2832,37.26315789473684
30000.0,ANSYS,6700,3212,47.940298507462686
30000.0,ABAQUS,2200,1079,49.04545454545455
30000.0,LSDYNA,7600,2592,34.10526315789474
31200.0,ANSYS,6700,3401,50.76119402985074
31200.0,ABAQUS,2200,1123,51.04545454545455
31200.0,LSDYNA,7600,3360,44.21052631578947
32400.0,ANSYS,6700,3401,50.76119402985074
32400.0,ABAQUS,2200,1209,54.95454545454545
32400.0,LSDYNA,7600,2832,37.26315789473684
33600.0,ANSYS,6700,3260,48.656716417910445
33600.0,ABAQUS,2200,1209,54.95454545454545
33600.0,LSDYNA,7600,2832,37.26315789473684
34800.0,ANSYS,6700,3260,48.656716417910445
34800.0,ABAQUS,2200,1200,54.54545454545454
34800.0,LSDYNA,7600,2856,37.57894736842105
36000.0,ANSYS,6700,3260,48.656716417910445
36000.0,ABAQUS,2200,1118,50.81818181818182
36000.0,LSDYNA,7600,3168,41.68421052631579
37200.0,ANSYS,6700,3401,50.76119402985074
37200.0,ABAQUS,2200,1093,49.68181818181818
37200.0,LSDYNA,7600,3360,44.21052631578947
38400.0,ANSYS,6700,3449,51.47761194029851
38400.0,ABAQUS,2200,1043,47.409090909090914
38400.0,LSDYNA,7600,3096,40.73684210526316
39600.0,ANSYS,6700,2690,40.14925373134328
39600.0,ABAQUS,2200,957,43.5
39600.0,LSDYNA,7600,3096,40.73684210526316
40800.0,ANSYS,6700,2972,44.35820895522388
40800.0,ABAQUS,2200,1051,47.77272727272727
40800.0,LSDYNA,7600,3480,45.78947368421053
42000.0,ANSYS,6700,3587,53.53731343283582
42000.0,ABAQUS,2200,922,41.90909090909091
42000.0,LSDYNA,7600,3736,49.1578947368421
43200.0,ANSYS,6700,3808,56.835820895522396
43200.0,ABAQUS,2200,877,39.86363636363636
43200.0,LSDYNA,7600,4120,54.21052631578947
44400.0,ANSYS,6700,3505,52.3134328358209
44400.0,ABAQUS,2200,1028,46.72727272727273
44400.0,LSDYNA,7600,4216,55.47368421052632
45600.0,ANSYS,6700,3271,48.82089552238806
45600.0,ABAQUS,2200,935,42.5
45600.0,LSDYNA,7600,4456,58.631578947368425
46800.0,ANSYS,6700,3412,50.92537313432835
46800.0,ABAQUS,2200,920,41.81818181818181
46800.0,LSDYNA,7600,4560,60.0
48000.0,ANSYS,6700,3231,48.223880597014926
48000.0,ABAQUS,2200,942,42.81818181818181
48000.0,LSDYNA,7600,3792,49.89473684210527
49200.0,ANSYS,6700,3231,48.223880597014926
49200.0,ABAQUS,2200,826,37.54545454545454
49200.0,LSDYNA,7600,3840,50.526315789473685
50400.0,ANSYS,6700,2994,44.6865671641791
50400.0,ABAQUS,2200,658,29.909090909090907
50400.0,LSDYNA,7600,3816,50.21052631578947
51600.0,ANSYS,6700,2994,44.6865671641791
51600.0,ABAQUS,2200,764,34.72727272727273
51600.0,LSDYNA,7600,3672,48.31578947368421
52800.0,ANSYS,6700,3186,47.55223880597015
52800.0,ABAQUS,2200,708,32.18181818181819
52800.0,LSDYNA,7600,3816,50.21052631578947
54000.0,ANSYS,6700,3000,44.776119402985074
54000.0,ABAQUS,2200,708,32.18181818181819
54000.0,LSDYNA,7600,4008,52.73684210526316
55200.0,ANSYS,6700,2952,44.059701492537314
55200.0,ABAQUS,2200,794,36.09090909090909
55200.0,LSDYNA,7600,4344,57.15789473684211
56400.0,ANSYS,6700,2952,44.059701492537314
56400.0,ABAQUS,2200,859,39.04545454545455
56400.0,LSDYNA,7600,3944,51.89473684210526
57600.0,ANSYS,6700,2952,44.059701492537314
57600.0,ABAQUS,2200,910,41.36363636363637
57600.0,LSDYNA,7600,3896,51.26315789473684
58800.0,ANSYS,6700,3282,48.98507462686567
58800.0,ABAQUS,2200,890,40.45454545454545
58800.0,LSDYNA,7600,4088,53.789473684210535
60000.0,ANSYS,6700,3090,46.11940298507463
60000.0,ABAQUS,2200,977,44.40909090909091
60000.0,LSDYNA,7600,4088,53.789473684210535
61200.0,ANSYS,6700,3042,45.40298507462687
61200.0,ABAQUS,2200,926,42.09090909090909
61200.0,LSDYNA,7600,4280,56.315789473684205
62400.0,ANSYS,6700,3609,53.865671641791046
62400.0,ABAQUS,2200,820,37.27272727272727
62400.0,LSDYNA,7600,4424,58.21052631578948
63600.0,ANSYS,6700,3702,55.25373134328358
63600.0,ABAQUS,2200,898,40.81818181818182
63600.0,LSDYNA,7600,4856,63.89473684210526
64800.0,ANSYS,6700,3795,56.64179104477613
64800.0,ABAQUS,2200,828,37.63636363636363
64800.0,LSDYNA,7600,4952,65.15789473684211
66000.0,ANSYS,6700,4224,63.04477611940299
66000.0,ABAQUS,2200,863,39.22727272727273
66000.0,LSDYNA,7600,4760,62.63157894736842
67200.0,ANSYS,6700,3939,58.791044776119406
67200.0,ABAQUS,2200,863,39.22727272727273
67200.0,LSDYNA,7600,4472,58.8421052631579
68400.0,ANSYS,6700,3798,56.6865671641791
68400.0,ABAQUS,2200,918,41.72727272727273
68400.0,LSDYNA,7600,4232,55.684210526315795
69600.0,ANSYS,6700,4131,61.65671641791045
69600.0,ABAQUS,2200,867,39.409090909090914
69600.0,LSDYNA,7600,4232,55.684210526315795
70800.0,ANSYS,6700,4035,60.223880597014926
70800.0,ABAQUS,2200,983,44.68181818181819
70800.0,LSDYNA,7600,4136,54.421052631578945
72000.0,ANSYS,6700,4035,60.223880597014926
72000.0,ABAQUS,2200,938,42.63636363636364
72000.0,LSDYNA,7600,4320,56.84210526315789
73200.0,ANSYS,6700,4461,66.58208955223881
73200.0,ABAQUS,2200,938,42.63636363636364
73200.0,LSDYNA,7600,3840,50.526315789473685
74400.0,ANSYS,6700,4176,62.32835820895522
74400.0,ABAQUS,2200,993,45.13636363636363
74400.0,LSDYNA,7600,3456,45.473684210526315
75600.0,ANSYS,6700,4035,60.223880597014926
75600.0,ABAQUS,2200,933,42.40909090909091
75600.0,LSDYNA,7600,3984,52.421052631578945
76800.0,ANSYS,6700,4365,65.14925373134328
76800.0,ABAQUS,2200,1008,45.81818181818182
76800.0,LSDYNA,7600,3480,45.78947368421053
78000.0,ANSYS,6700,4224,63.04477611940299
78000.0,ABAQUS,2200,1008,45.81818181818182
78000.0,LSDYNA,7600,3384,44.526315789473685
79200.0,ANSYS,6700,4746,70.83582089552239
79200.0,ABAQUS,2200,953,43.31818181818182
79200.0,LSDYNA,7600,3480,45.78947368421053
80400.0,ANSYS,6700,4565,68.13432835820895
80400.0,ABAQUS,2200,1092,49.63636363636363
80400.0,LSDYNA,7600,3480,45.78947368421053
81600.0,ANSYS,6700,4376,65.31343283582089
81600.0,ABAQUS,2200,1103,50.13636363636363
81600.0,LSDYNA,7600,3544,46.63157894736842
82800.0,ANSYS,6700,4272,63.76119402985074
82800.0,ABAQUS,2200,1069,48.59090909090909
82800.0,LSDYNA,7600,3544,46.63157894736842
84000.0,ANSYS,6700,3561,53.14925373134328
84000.0,ABAQUS,2200,1069,48.59090909090909
84000.0,LSDYNA,7600,3608,47.473684210526315
85200.0,ANSYS,6700,3558,53.104477611940304
85200.0,ABAQUS,2200,985,44.77272727272727
85200.0,LSDYNA,7600,3544,46.63157894736842
86400.0,ANSYS,6700,3792,56.59701492537314
86400.0,ABAQUS,2200,985,44.77272727272727
