,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 30, 390), (2, 390, None), (8, 3840, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,57.310061601642715,30,6016.852000000001,True,80.64649722412352,93.00452893612352,12.358031712000002
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 60, 3540), (1, 3540, None), (11, 10510.536, 11892.144), (1, 11892.144, None)]}",309.54978900857253,127500.8236611461,60,15.585992065,1,135.62186082591836,60,36196.024999999994,True,227.68140071488324,261.1829848412832,33.50158412639999
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 1230, 5700), (1, 5700, None)]}",330.5774711754339,128561.1657322318,1230,1203.210670189,1,47.25302304357746,1230,22061.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 1260, 6720), (2, 6720, None)]}",295.26855467250385,128848.14802224918,1260,1228.479286276,1,146.88119552817705,1260,26576.858999999997,True,179.0567335158567,206.2374975366567,27.180764020799998
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 6600, 9600), (1, 9600, None), (5, 18537.504, None)]}",293.5168981771201,134369.39753534622,6600,6582.553744687,3,50.29117955738079,6600,23745.840999999997,True,70.25253023043574,88.98619077603573,18.73366054559999
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 6630, None), (6, 7890, None)]}",57.825321252479114,20750.016457755046,6630,6587.273187382,3,7.665982203969882,6630,8183.834999999999,True,12.135295459730763,15.37131421973076,3.2360187599999963
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 6660, None)]}",310.4901833144852,134447.34926937896,6660,6595.931214397,3,,6660,22545.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 6690, 19808.04), (2, 19808.04, None), (4, 33731.256, None)]}",281.9460745575701,134582.34849551262,6690,6621.074064319,1,235.89291170431213,6690,37409.7849640098,True,272.6022494822464,314.13153848426066,41.529289002014245
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 6720, 7380), (1, 7380, None)]}",91.00759406898061,37670.83217136314,6720,6626.0156721095,3,20.865525895505364,6720,26403.693999999996,True,30.943332572819216,39.19473485921921,8.251402286399998
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 6750, 7710), (2, 7710, None), (10, 11982.144, None)]}",98.97570184637311,37985.08167466576,6750,6628.268181445,3,68.35938854665754,6750,15241.481365149955,True,76.86719352315683,97.36473155961468,20.49753803645786
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 6780, 8070), (1, 8070, None), (5, 9510, 10300.536), (5, 14224.824, None)]}",88.24903114605627,37848.08972270973,6780,6639.666947160999,3,27.14655715263518,6780,15006.954,True,34.28440793976727,43.42674713016727,9.142339190399998
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 6810, 8820), (1, 8820, None)]}",310.3508838593914,134449.50176383345,6810,6640.965829671999,3,81.10178416609628,6810,62099.399,True,87.15400258574795,110.39463882014795,23.240636234399997
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 7200, 9210), (2, 9210, None)]}",308.5846884800438,135292.76775626413,7200,7192.554000132999,2,8.686918223226783,7200,14683.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 7230, 9240), (1, 9240, None)]}",322.3613792231315,134908.37824523935,7230,7201.219381428999,2,6.483821870550658,7230,39194.176,True,67.26193669825952,81.85711848385952,14.595181785600001
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 7260, 10360.536), (6, 9480, 10360.536), (1, 10360.536, None), (3, 21438.576, None)]}",89.7921856815224,38469.40127694927,7260,7220.672249163999,1,61.77629386265116,7260,21837.357999999997,True,66.08286044566123,75.88112459926123,9.798264153599995
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 7290, 10941.072), (2, 10941.072, None), (4, 18387.504, None)]}",317.6420201174764,134790.73640555565,7290,7221.672249163999,2,47.35299256948347,7290,26470.089,True,83.43080308769174,113.58375199169174,30.152948904
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 7800, None)]}",300.8642397517245,135201.33754007262,7800,7785.9011831715,3,79.97948437143509,7800,42032.921,True,104.13847745075671,131.90822296595672,27.7697455152
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 7830, 10330.536), (1, 10330.536, None), (3, 20258.04, None)]}",290.6639501784463,135363.3199443469,7830,7789.434215966,2,40.86940464380115,7830,28140.950999999997,True,70.6738889890027,91.5465890242027,20.872700035199998
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 7860, 9150), (2, 9150, None)]}",100.9864715008785,38962.41785985749,7860,7792.685369909,2,5.162319741998986,7860,13796.408,True,17.793439381213062,24.178725550813063,6.3852861696
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 7890, None), (4, 9600, None)]}",64.77903730143166,21800.577838846348,7890,7826.205819430999,2,4.648583289081818,7890,12308.641000000001,True,21.877249113345723,29.856149850945727,7.978900737600004
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 7920, 9360), (1, 9360, None)]}",105.56808496111117,38985.843431805275,7920,7829.186606680999,3,10.951403148528405,7920,10953.282,True,13.374830025096964,16.941385204296964,3.5665551791999994
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 7950, None), (8, 28001.256, None)]}",332.81097832014945,135638.18070101104,7950,7838.077108813999,3,132.63748117727582,7950,35330.39813326626,True,172.47537201713067,218.4679513768586,45.99257935972794
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 8400, None)]}",94.51083597672981,39414.93978830989,8400,8384.587207174998,1,56.38953775952544,8400,14276.974000000002,True,62.126350749106415,71.66115336670642,9.534802617600002
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 8430, 9360), (1, 9360, None)]}",46.55013787044631,22573.94633320938,8430,8387.068473529998,1,12.235911476157883,8430,18915.518,True,39.12420457829493,44.88596267909493,5.7617581008
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 8460, 9060), (2, 9060, None)]}",56.56222725445129,22612.298095131417,8460,8391.908992747998,1,18.824562172028294,8460,12752.168,True,26.279103201764393,30.247629883364393,3.9685266815999998
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 8490, 21618.576), (1, 21618.576, None)]}",295.24467469152273,135972.04682980527,8490,8398.110881275998,3,59.90680355920602,8490,24610.188,True,64.45712981975815,81.64537892375816,17.188249104
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(3, 8520, 9330), (2, 9330, None)]}",57.77199384513077,22576.817173355463,8520,8399.974964650997,2,2.612883440371161,8520,10031.369000000002,True,4.519533857260072,6.074092390060073,1.554558532800002
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 8550, 19238.04), (1, 19238.04, None), (3, 45554.472, None)]}",291.443531643958,136340.00345735805,8550,8400.974964650997,2,103.37311390410095,8550,50618.324,True,122.77800245969524,163.34288588369523,40.564883423999994
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 8580, None)]}",76.07511246679637,22541.21857388615,8580,8404.307191055997,3,7.848505589778689,8580,11348.969000000001,True,16.846719902654197,21.3390952082542,4.492375305600001
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 8610, 12412.68), (2, 12412.68, None), (4, 16366.968, None)]}",82.04480128359563,39570.02947987121,8610,8407.213216145998,2,24.599585930573568,8610,17435.814,True,31.398120897592506,43.3764509807925,11.978330083199994
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 8640, None)]}",290.8535591080783,136442.3587573535,8640,8408.213216145998,3,,8640,17576.862,True,54.372877024868814,68.87204193366881,14.499164908800001
lamf-test-794e981d-7b48-479b-88a9-08c76168b3f4,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 8670, None)]}",55.43753343799916,22596.882274091877,8670,8419.142257464997,3,,8670,12888.055,True,12.831561335462773,16.253247551462774,3.4216862160000003
lamf-test-d89dd74a-ca32-43e3-9fdb-057b16e15c3a,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 8700, None), (6, 13764.288, None)]}",52.589033620058174,22632.86780782701,8700,8424.963173262997,1,27.345383527264435,8700,14125.487000000001,True,34.981958323826916,40.26212726462692,5.280168940800002
lamf-test-9d73df9e-a4e9-43ed-b3cd-731892da568c,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 8730, 10300.536), (1, 10300.536, None)]}",116.24356079750007,39556.33451032383,8730,8440.483731504997,3,14.332977412731005,8730,13689.761999999999,True,19.488085785991327,24.684812261191325,5.1967264752
lamf-test-700b88cb-1fe1-443f-85f3-4e83586778d7,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 9000, None)]}",323.88597973304996,136267.19682974767,9000,8989.434210792997,1,113.61542140086699,9000,40458.967,True,169.86741630542244,195.38693033582243,25.519514030399996
lamf-test-cacf2328-5a7f-4177-ad3a-d6767db7f233,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 9030, 15235.896), (2, 15235.896, None)]}",299.34289693362723,136919.16079941753,9030,8994.670339317998,2,63.206923057307954,9030,33331.231999999996,True,74.02636745762766,101.29086110882766,27.2644936512
lamf-test-76901c5b-cc70-4a21-8b6a-aa4aa3dedd24,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(2, 9060, None)]}",295.82083300729096,136299.79377919965,9060,8996.034590931999,2,,9060,18707.071,True,26.225270783149604,34.050974778349605,7.8257039952
lamf-test-c0570041-d32e-4e8b-8d2d-a250dfe399fc,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(5, 9090, 20228.04), (1, 20228.04, None)]}",309.1917473885502,136829.01440195006,9090,8997.034590931999,1,146.54201232032855,9090,48693.762265491474,True,226.64177076760092,260.77541283848427,34.13364207088334
lamf-test-ca7252f0-85f2-4005-896c-fb17b2f26952,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 9120, 16576.968), (1, 16576.968, None)]}",304.02222934164064,137005.57762482573,9120,9008.923511986999,1,155.1107332877025,9120,57233.773,True,231.79665077192186,266.43432820472185,34.637677432800004
lamf-test-0ae28a41-e363-4bde-bdce-50f826df3b42,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(4, 9150, None)]}",87.69850691765791,40299.48586854023,9150,9021.693476110999,3,34.407848505589776,9150,17057.442,True,48.1097695642254,60.9388034650254,12.829033900799999
lamf-test-9da27dae-e6dc-4f47-b706-a6e8a3713464,"{<resource_manager.instance.OnPremInstance object at 0x1319d7770>: [(6, 9180, None)]}",296.9549680882063,136790.88907930773,9180,9026.237858039,3,,9180,14155.189999999999,True,45.404426192105845,57.51204857610584,12.107622383999997
