,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(5, 30, 390), (2, 390, None), (3, 3840, None), (1, 5580, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,46.65525895505362,30,6281.701999999999,True,58.022094912160604,66.7871968993606,8.765101987199998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(3, 60, 3540), (1, 3540, None), (2, 25538.04, None), (2, 33719.112, None)]}",309.54978900857253,127487.2376690811,60,2.0,1,156.88518183892313,60,39185.202000000005,True,231.2961720282912,265.4929999818912,34.19682795360001
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(4, 1200, 5670), (1, 5670, None)]}",330.5774711754339,128529.81614640681,1200,1171.861084364,1,47.25302304357746,1200,22031.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(5, 1230, 6690), (2, 6690, None), (1, 20605.896, None)]}",295.26855467250385,128848.41703266419,1230,1228.748296691,1,146.97761168149668,1230,26566.858999999997,True,195.93829340634264,225.55304801994265,29.6147546136
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(2, 6600, 9600), (1, 9600, None), (2, 34919.112, None)]}",293.5168981771201,134360.47645295723,6600,6573.6326622980005,3,47.63725302304358,6600,38897.085,True,65.78908053844398,83.33250991204397,17.5434293736
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(4, 6630, None), (1, 7890, None)]}",57.825321252479114,20754.856649044046,6630,6592.113378671001,3,7.665982203969882,6630,8363.795,True,11.269260019773366,14.274340279773366,3.00508026
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(6, 6660, None)]}",310.4901833144852,134445.49601771796,6660,6594.077962736001,3,,6660,22545.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(4, 6690, 11731.608), (2, 11731.608, None), (3, 23656.968, None)]}",281.9460745575701,134569.97439551662,6690,6608.699964323001,1,269.63734245950263,6690,37874.71630974005,True,307.9935945329872,354.68054495634,46.68695042335281
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(2, 6720, 7380), (1, 7380, None), (1, 9780, None)]}",91.00759406898061,37654.51646357664,6720,6609.699964323001,3,5.658224960073008,6720,18425.037999999997,True,31.95691839683625,40.478605222436244,8.521686825599996
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11383b770>: [(3, 6750, 7710), (2, 7710, None), (1, 20455.896, None)]}",98.97570184637311,37975.411546967756,6750,6618.598053747001,3,49.08875199634953,6750,23031.699999999993,True,54.90790782569013,69.54974496809012,14.641837142399991
