,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,52.26499855502318,30,4002.4419999999996,True,60.321110931023185,8.056112375999998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(3, 60, None)]}",309.54978900857253,127505.94245932311,60,20.704790242,1,274.64436116814966,60,34453.320999999996,True,316.4941541609497,41.8497929928
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(4, 1200.2, None)]}",330.5774711754339,128543.18396609981,1200.2,1185.228904057,1,105.04843866453722,1200.2,11137.48,True,121.1706817365372,16.122243071999996
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(5, 1230.2, None)]}",295.26855467250385,128816.6383167362,1230.2,1196.9695807629998,1,255.23520594722032,1230.2,20629.551000000003,True,294.5770897752203,39.341883828
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(2, 6600.999999999999, None)]}",293.5168981771201,134371.0157716312,6600.999999999999,6584.171980972,3,46.96928739828123,6600.999999999999,22040.979,True,59.49419836308123,12.5249109648
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(4, 6630.999999999999, None)]}",57.825321252479114,20751.799891062044,6630.999999999999,6589.056620689,3,10.548604456612676,6630.999999999999,8364.795,True,13.361513464612678,2.8129090080000014
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(6, 6660.999999999999, None)]}",310.4901833144852,134442.407274015,6660.999999999999,6590.989219033,3,144.97091489847134,6660.999999999999,22546.188,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(4, 6691.199999999999, None)]}",281.9460745575701,134553.76168933362,6691.199999999999,6592.48725814,1,291.239250513347,6691.199999999999,34241.594999999994,True,335.93701136134695,44.697760847999994
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(2, 6721.199999999999, None)]}",91.00759406898061,37650.24515022364,6721.199999999999,6605.4286509700005,3,22.536192866377665,6721.199999999999,14129.409999999998,True,28.545732818377665,6.009539951999999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11ed3b770>: [(3, 6751.199999999999, None)]}",98.97570184637311,37980.67585380976,6751.199999999999,6623.862360589001,3,30.11188683550079,6751.199999999999,13350.219999999998,True,38.14157437150079,8.029687535999999
