Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763740703.3252292,ANSYS,6700,0,0.0
1763740703.3252292,ABAQUS,2200,0,0.0
1763740703.3252292,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,237,3.537313432835821
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,378,5.641791044776119
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,378,5.641791044776119
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,141,2.1044776119402986
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,141,2.1044776119402986
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,567,8.46268656716418
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,576,7.578947368421053
8400.0,ANSYS,6700,756,11.283582089552239
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,1200,15.789473684210526
9600.0,ANSYS,6700,849,12.671641791044777
9600.0,ABAQUS,2200,269,12.227272727272727
9600.0,LSDYNA,7600,1440,18.947368421052634
10800.0,ANSYS,6700,2172,32.417910447761194
10800.0,ABAQUS,2200,493,22.40909090909091
10800.0,LSDYNA,7600,2352,30.94736842105263
12000.0,ANSYS,6700,2305,34.40298507462687
12000.0,ABAQUS,2200,565,25.681818181818183
12000.0,LSDYNA,7600,3408,44.8421052631579
13200.0,ANSYS,6700,2353,35.11940298507463
13200.0,ABAQUS,2200,560,25.454545454545453
13200.0,LSDYNA,7600,3536,46.526315789473685
14400.0,ANSYS,6700,2315,34.55223880597015
14400.0,ABAQUS,2200,688,31.272727272727273
14400.0,LSDYNA,7600,3248,42.73684210526316
15600.0,ANSYS,6700,2363,35.268656716417915
15600.0,ABAQUS,2200,880,40.0
