,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(5, 30, 390), (2, 390, None), (3, 3840, None), (1, 5580, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,46.65525895505362,30,6281.701999999999,True,58.022094912160604,66.7871968993606,8.765101987199998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(3, 1200, 4680), (1, 4680, None), (1, 11640, None), (2, 19096.968, None)]}",309.54978900857253,128657.6993832791,1200,1172.461714198,1,137.75673830709562,1200,34398.85,True,258.0811105026998,296.0134163010998,37.9323057984
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(4, 6570, 11040), (1, 11040, None)]}",330.5774711754339,133910.1398229688,6570,6552.184760925999,1,47.25302304357746,6570,27401.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(5, 6600, 12060), (2, 12060, None)]}",295.26855467250385,134203.6691272592,6600,6584.000391285999,1,146.88119552817705,6600,31916.859,True,179.0567335158567,206.2374975366567,27.180764020799998
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(2, 6630, 9630), (1, 9630, None), (2, 35139.648, None)]}",293.5168981771201,134376.03268787923,6630,6589.1888972199995,3,47.9270636550308,6630,39117.085,True,66.07644535706136,83.69650392746135,17.620058570399998
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(4, 6660, None), (1, 7920, None)]}",57.825321252479114,20757.863186025046,6660,6595.119915652,3,7.665982203969882,6660,8393.795,True,11.269260019773366,14.274340279773366,3.00508026
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(6, 7170, None)]}",310.4901833144852,135009.37150895648,7170,7157.9534539745,3,,7170,23055.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(4, 7200, 12180), (2, 12180, None), (2, 33239.112, None)]}",281.9460745575701,135153.87442674162,7200,7192.599995548,1,194.76988181610773,7200,40557.351,True,245.38800593201006,282.42382054001007,37.035814608
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(2, 7770, 8430), (1, 8430, None), (1, 10830, None), (1, 11490, None), (3, 14352.144, None)]}",91.00759406898061,38813.53511517964,7770,7768.718615926,3,20.726187542778916,7770,15470.343999999997,True,30.931070043349276,39.17920238254927,8.248132339199993
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x13a5cb620>: [(3, 7830, 8790), (2, 8790, None), (2, 22827.504, None)]}",98.97570184637311,39156.90522927976,7830,7800.091736059,3,47.0834405658225,7830,23477.187999999995,True,51.03619134534942,64.64558991174941,13.609398566399989
