,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,52.26499855502318,30,4002.4419999999996,True,60.321110931023185,8.056112375999998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(3, 60, None)]}",309.54978900857253,127496.6837643041,60,11.446095223,1,182.2921007049058,60,22888.17935398863,True,210.0694293428392,27.77732863793337
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(4, 1200.2, None)]}",330.5774711754339,128533.4030870938,1200.2,1175.4480250509998,1,105.04843866453722,1200.2,11137.48,True,121.1706817365372,16.122243071999996
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(5, 1230.2, None)]}",295.26855467250385,128831.09175433818,1230.2,1211.4230183649997,1,294.06454217050725,1230.2,23580.805,True,339.39156911050725,45.327026939999996
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(2, 6600.999999999999, None)]}",293.5168981771201,134360.77665863623,6600.999999999999,6573.932867977,3,46.908446269678294,6600.999999999999,22020.979,True,59.41713323447829,12.508686964799999
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(4, 6630.999999999999, None)]}",57.825321252479114,20764.671701352047,6630.999999999999,6601.928430979,3,10.548604456612676,6630.999999999999,8364.795,True,13.361513464612678,2.8129090080000014
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(6, 6660.999999999999, None)]}",310.4901833144852,134483.13646812298,6660.999999999999,6631.718413141,3,144.97091489847134,6660.999999999999,22546.188,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(4, 6691.199999999999, None)]}",281.9460745575701,134593.9928443346,6691.199999999999,6632.718413141,1,261.20393938702557,6691.199999999999,31400.340999999997,True,301.2920497454256,40.088110358399994
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(2, 6721.199999999999, None)]}",91.00759406898061,37678.53491239464,6721.199999999999,6633.718413141,3,22.125515248307853,6721.199999999999,13994.409999999998,True,28.02554320030785,5.900027951999999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11cc07770>: [(3, 7231.399999999999, None)]}",98.97570184637311,38558.50390645476,7231.399999999999,7201.6904132340005,3,31.092950034223122,7231.399999999999,14045.419999999996,True,39.38424957022312,8.291299535999999
