,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,30,4002.4419999999996,True,8.056112375999998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 60, None)]}",309.54978900857253,127502.6787638651,60,17.441094784,60,34633.320999999996,True,42.068816992799995
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 1230.2, None)]}",330.5774711754339,128569.3783904398,1230.2,1211.423328397,1230.2,11167.48,True,16.122243071999996
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 1260.2, None)]}",295.26855467250385,128835.73477096819,1260.2,1216.0660349949999,1260.2,23630.805,True,45.367586939999995
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 6630.999999999999, None)]}",293.5168981771201,134393.07824664222,6630.999999999999,6606.234455983,6630.999999999999,20090.143,True,10.9180568016
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 6660.999999999999, None)]}",57.825321252479114,20770.125391566045,6660.999999999999,6607.382121193,6660.999999999999,8394.795,True,2.8129090080000014
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(6, 6690.999999999999, None)]}",310.4901833144852,134460.20655145496,6690.999999999999,6608.788496473,6690.999999999999,22576.188,True,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 6721.199999999999, None)]}",281.9460745575701,134590.49957153812,6721.199999999999,6629.2251403445,6721.199999999999,27268.668999999998,True,33.336213705599995
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 6751.199999999999, None)]}",91.00759406898061,37702.38638707264,6751.199999999999,6657.569887819,6751.199999999999,13964.409999999998,True,5.851355952
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 7231.399999999999, None)]}",98.97570184637311,38581.598884959756,7231.399999999999,7224.785391738999,7231.399999999999,14045.419999999996,True,8.291299535999999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(6, 7261.399999999999, None)]}",88.24903114605627,38435.185215920734,7261.399999999999,7226.762440371999,7261.399999999999,12266.318,True,12.179968444800002
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 7291.399999999999, None)]}",310.3508838593914,135062.05705869445,7291.399999999999,7253.521124532999,7291.399999999999,20333.033999999996,True,10.5793735008
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(6, 7831.5999999999985, None)]}",308.5846884800438,135902.49180179113,7831.5999999999985,7802.278045659999,7831.5999999999985,12878.569,True,12.282303758400003
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 7861.5999999999985, None)]}",322.3613792231315,135537.41044967034,7861.5999999999985,7830.251585859999,7861.5999999999985,24969.505999999998,True,20.8169000208
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 7891.5999999999985, None)]}",89.7921856815224,39102.70886060427,7891.5999999999985,7853.979832818999,7891.5999999999985,16184.437132355155,True,6.727149481766503
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 7921.799999999998, None)]}",317.6420201174764,135424.88207035864,7921.799999999998,7855.817913966999,7921.799999999998,31467.823,True,28.650800786400005
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 8432.4, None)]}",300.8642397517245,135823.11144430612,8432.4,8407.675087405,8432.4,33246.35,True,20.129076239999996
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 8462.4, None)]}",290.6639501784463,135985.4777521449,8462.4,8411.592023764,8462.4,26731.016,True,29.6390025984
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 8492.4, None)]}",100.9864715008785,39591.35700791748,8492.4,8421.624517969,8492.4,12015.516,True,7.144879248
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 8522.4, None)]}",64.77903730143166,22407.119623482347,8522.4,8432.747604066999,8522.4,12352.416000000001,True,3.1069089792000013
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 8552.6, None)]}",105.56808496111117,39606.045919250275,8552.6,8449.389094126,8552.6,10798.992000000002,True,4.555682976000003
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 8582.6, None)]}",332.81097832014945,136251.02536087704,8582.6,8450.92176868,8582.6,29657.578000000005,True,17.096022153600003
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 8612.6, None)]}",94.51083597672981,39486.528122794894,8612.6,8456.17554166,8612.6,12465.064,True,6.2502375936
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 9033.000000000002, None)]}",46.55013787044631,23201.059948833383,9033.000000000002,9014.182089154001,9033.000000000002,14108.859000000002,True,10.293842052
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 9063.200000000003, None)]}",56.56222725445129,23235.57119153742,9063.200000000003,9015.182089154001,9063.200000000003,12545.664000000002,True,5.6499495936
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 9093.200000000003, None)]}",295.24467469152273,136591.7450608833,9093.200000000003,9017.809112354002,9093.200000000003,23712.761000000006,True,17.789081824800004
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(3, 9123.200000000003, None)]}",57.77199384513077,23196.783545177466,9123.200000000003,9019.941336473,9123.200000000003,10634.569000000003,True,1.8390337992000008
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(5, 9153.200000000003, None)]}",291.443531643958,136975.23027709205,9153.200000000003,9036.201784385,9153.200000000003,35898.176999999996,True,54.23881335599998
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 9183.200000000003, None)]}",76.07511246679637,23183.64239792215,9183.200000000003,9046.731015092,9183.200000000003,11897.169000000004,True,4.403143305600001
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 9213.200000000003, None)]}",82.04480128359563,40215.39916621921,9213.200000000003,9052.582902494,9213.200000000003,17001.552981621528,True,12.635823877382762
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(4, 9603.600000000004, None)]}",290.8535591080783,137633.5881924045,9603.600000000004,9599.442651197,9603.600000000004,18540.462000000003,True,14.4991649088
lamf-test-794e981d-7b48-479b-88a9-08c76168b3f4,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 9633.800000000005, None)]}",55.43753343799916,23778.18266782388,9633.800000000005,9600.442651197,9633.800000000005,13851.855000000005,True,3.4216862160000003
lamf-test-d89dd74a-ca32-43e3-9fdb-057b16e15c3a,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(2, 9664.000000000005, None)]}",52.589033620058174,23810.250737101014,9664.000000000005,9602.346102537,9664.000000000005,13314.325065681864,True,2.9611436932811235
lamf-test-9d73df9e-a4e9-43ed-b3cd-731892da568c,"{<resource_manager.instance.OnPremInstance object at 0x128a77770>: [(6, 9694.000000000005, None)]}",116.24356079750007,40721.46458982384,9694.000000000005,9605.613811005,9694.000000000005,12713.28936514996,True,7.34774259902893
