,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 30, 390), (2, 390, None), (3, 3840, None), (1, 5580, None)]}",64.81020493737797,14109.368596154949,30,1.0,30,6281.701999999999,True,8.765101987199998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 60, 3540), (1, 3540, None), (4, 10500, None), (-1, 15474.288, None), (-2, 17556.432, None), (3, 21546.432, None)]}",309.54978900857253,127525.4419064621,60,40.204237381,60,27010.186,True,34.84054760160001
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 1230, 5700), (1, 5700, None)]}",330.5774711754339,128565.9932075668,1230,1208.038145524,1230,22061.878,True,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 1260, 6720), (2, 6720, None), (0, 20616.432, None)]}",295.26855467250385,128861.91929939418,1260,1242.250563421,1260,26576.858999999997,True,27.180764020799998
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 6600, 9600), (1, 9600, None), (2, 18546.432, None), (2, 24016.968, None)]}",293.5168981771201,134385.7834422982,6600,6598.939651639,6600,26016.650999999998,True,16.774178147999994
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 6630, None), (1, 7890, None)]}",57.825321252479114,20765.663184348043,6630,6602.919913975,6630,8363.795,True,3.00508026
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 6660, None)]}",310.4901833144852,134460.25815736497,6660,6608.840102383,6660,22545.188000000002,True,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 6690, 19806.432), (2, 19806.432, None), (2, 28898.04, None), (-1, 31398.576, None), (-1, 33888.576, None)]}",281.9460745575701,134579.7076595806,6690,6618.433228387,6690,37371.649,True,38.567382110400004
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 6720, 7380), (1, 7380, None), (1, 9780, None), (2, 10440, None)]}",91.00759406898061,37682.48871948364,6720,6637.67222023,6720,15716.989999999998,True,10.605612575999997
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 7230, 8190), (2, 8190, None), (1, 12471.072, None), (1, 18066.432, None)]}",98.97570184637311,38564.063113104756,7230,7207.249619884,7230,19352.25,True,13.5354787776
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 7260, 8550), (1, 8550, None), (1, 9990, None), (1, 11280, None)]}",88.24903114605627,38449.585269548734,7260,7241.162494,7260,13823.698000000002,True,7.865027726400004
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 7290, 9300), (1, 9300, None), (3, 46689.648, None), (-2, 50679.648, None)]}",310.3508838593914,135061.42032888744,7290,7252.884394726,7290,52680.219,True,24.891992423999998
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(6, 7830, 9840), (2, 9840, None)]}",308.5846884800438,135914.00948481914,7830,7813.795728688,7830,15313.935,True,9.331992072
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 7860, 9870), (1, 9870, None), (1, 12901.608, None)]}",322.3613792231315,135531.58878401035,7860,7824.4299202,7860,26288.533,True,14.534861764799999
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 7890, None), (2, 10110, None), (-1, 11550, None), (0, 12040.536, None)]}",89.7921856815224,39074.15894798527,7890,7825.4299202,7890,16057.8,True,9.62221104
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 7920, 11400), (2, 11400, None), (0, 18846.432, None), (0, 21846.432, None), (2, 26836.968, None)]}",317.6420201174764,135423.98751543765,7920,7854.923359046,7920,32301.441,True,25.6224934368
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 8430, None), (3, 18366.432, None), (-1, 23836.968, None)]}",300.8642397517245,135823.6669710621,8430,8408.230614161,8430,27816.651,True,25.611318345600004
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 8460, 10950), (1, 10950, None), (1, 20886.432, None), (0, 30338.04, None)]}",290.6639501784463,135984.13994257693,8460,8410.254214196,8460,35307.486,True,19.768351823999996
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 8490, 9780), (2, 9780, None), (2, 11370, None)]}",100.9864715008785,39587.716401169484,8490,8417.983911221001,8490,12805.006000000001,True,6.234081734400003
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 8520, 8880), (2, 8880, None), (1, 10050, None), (2, 10770, None), (1, 11980.536, None)]}",64.77903730143166,22404.44129803635,8520,8430.069278621002,8520,13023.581000000002,True,7.110553320000005
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 8550, 9990), (1, 9990, None)]}",105.56808496111117,39587.726103745284,8550,8431.069278621002,8550,11583.282,True,3.5665551791999994
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(2, 8580, None), (4, 45189.648, None), (-4, 46689.648, None)]}",332.81097832014945,136235.57733097603,8580,8435.473738779003,8580,51659.174,True,37.3794259488
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 8610, 10200), (2, 10200, None), (0, 13051.608, None), (1, 14953.752, None)]}",94.51083597672981,39476.5390002489,8610,8446.186419114003,8610,15445.753999999999,True,7.034527655999999
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 9030, 9960), (1, 9960, None), (2, 10680, None)]}",46.55013787044631,23204.358777449386,9030,9017.480917770003,9030,13657.294000000002,True,5.800843339200002
lamf-test-8daeea4f-cbbf-4fb6-b9f3-5857c1ab865e,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 9060, 9660), (2, 9660, None), (3, 11980.536, None)]}",56.56222725445129,23238.870020153423,9060,9018.480917770003,9060,12452.464,True,3.8129287872
lamf-test-665b3cd3-6953-4941-a220-b425974f248a,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 9090, 22206.432), (1, 22206.432, None)]}",295.24467469152273,136594.7384080643,9090,9020.802459535003,9090,25195.188,True,17.1723138912
lamf-test-7b6d3b7a-f2bc-4206-bf5c-c8e1aaff27be,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(3, 9120, 9930), (2, 9930, None)]}",57.77199384513077,23202.13613335947,9120,9025.293924655003,9120,10631.369000000002,True,1.554558532800002
lamf-test-e86f1528-c4b7-428d-9220-137c2eee5f81,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(5, 9150, 19806.432), (1, 19806.432, None), (4, 28898.04, None), (-3, 32388.576, None), (1, 34878.576, None)]}",291.443531643958,136974.39112661307,9150,9035.362633906003,9150,38361.022,True,38.63493560159999
lamf-test-905b51bb-7f4b-480b-babc-216c95cb3e5c,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 9180, None), (-2, 10470, None), (1, 11280, None)]}",76.07511246679637,23181.160802526156,9180,9044.249419696003,9180,11868.899000000001,True,3.466540303200002
lamf-test-d53de693-fd3a-47ec-b96e-28dcf292d471,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 9210, 10500), (2, 10500, None), (2, 12901.608, None), (-1, 16605.36, None)]}",82.04480128359563,40211.72616051922,9210,9048.909896794003,9210,18356.075999999997,True,12.180318883199996
lamf-test-d608e81f-e921-488f-9511-ac29f6be8717,"{<resource_manager.instance.OnPremInstance object at 0x11406b620>: [(4, 9600, None)]}",290.8535591080783,137632.0755607205,9600,9597.930019513002,9600,18536.862,True,14.499164908800001
