,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(3, 1200.4, None)]}",309.54978900857253,128670.7364366021,1200.4,1185.498767521,1,254.79230207620353,1200.4,33107.676,True,293.61707551300356,38.8247734368
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(4, 6570.8, None)]}",330.5774711754339,133913.3205765058,6570.8,6555.365514462999,1,105.10129439501105,6570.8,16513.08,True,121.23164946701105,16.130355072000004
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(5, 6600.8, None)]}",295.26855467250385,134214.75908519718,6600.8,6595.0903492239995,1,305.73326518328673,6600.8,29838.29539823721,True,352.8589058509118,47.125640667625056
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(4, 6630.8, None)]}",57.825321252479114,20766.245251140044,6630.8,6603.501980767,3,9.453707506274235,6630.8,8184.634999999999,True,11.974649410274234,2.5209419039999985
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(2, 6660.8, None)]}",293.5168981771201,134384.82222412722,6660.8,6597.978433468,3,42.88605673435242,6660.8,20758.519,True,54.32212638715242,11.4360696528
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(6, 7170.8, None)]}",310.4901833144852,135002.30110244098,7170.8,7150.8830474589995,3,144.97091489847134,7170.8,23055.987999999998,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(4, 7200.8, None)]}",281.9460745575701,135139.1156164126,7200.8,7177.841185218999,1,200.29984569168755,7200.8,26148.588999999996,True,231.04073856528754,30.740892873599993
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(2, 7770.8, None)]}",91.00759406898061,38800.22693012464,7770.8,7755.410430870999,3,13.371699749030348,7770.8,12166.412000000002,True,16.93742020343035,3.5657204544000014
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(3, 7800.8, None)]}",98.97570184637311,39138.20525771176,7800.8,7781.391764491,3,26.542687656856028,7800.8,13617.63,True,33.620606400856026,7.077918743999999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(6, 7830.8, None)]}",88.24903114605627,39010.17189154773,7830.8,7801.7491159989995,3,43.50698608259184,7830.8,12598.078000000001,True,55.10863382339184,11.601647740800004
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(2, 8371.2, None)]}",310.3508838593914,136163.29153587445,8371.2,8354.755601713,3,37.373196440793976,8371.2,20656.704,True,47.339197285593976,9.9660008448
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(2, 8401.2, None)]}",89.7921856815224,39634.11031745726,8401.2,8385.381289672001,1,32.77416053522656,8401.2,14470.882209544987,True,37.69788674360945,4.9237262083828925
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(3, 8431.400000000001, None)]}",317.6420201174764,135968.16438553864,8431.400000000001,8399.100229147001,2,75.98659557741013,8431.400000000001,31987.423000000006,True,104.64956436381013,28.662968786400008
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(3, 8461.400000000001, None)]}",322.3613792231315,136091.39611651434,8461.400000000001,8384.237252704,2,55.18637566274867,8461.400000000001,25569.306,True,76.00327568354867,20.8169000208
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(6, 8491.400000000001, None)]}",308.5846884800438,136467.23565800715,8491.400000000001,8367.021901876,2,21.81224227769187,8491.400000000001,13538.369000000002,True,34.09454603609187,12.282303758400003
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x1124f78c0>: [(5, 8971.800000000003, None)]}",100.9864715008785,40138.20578863549,8971.800000000003,8968.473298687,2,14.078790450730631,8971.800000000003,12489.916000000005,True,21.213529698730635,7.134739248000003
