Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763944228.5917718,ANSYS,6700,0,0.0
1763944228.5917718,ABAQUS,2200,0,0.0
1763944228.5917718,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,567,8.46268656716418
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1440,18.947368421052634
9600.0,ANSYS,6700,2092,31.223880597014926
9600.0,ABAQUS,2200,519,23.59090909090909
9600.0,LSDYNA,7600,3456,45.473684210526315
10800.0,ANSYS,6700,2659,39.6865671641791
10800.0,ABAQUS,2200,655,29.772727272727273
10800.0,LSDYNA,7600,3264,42.94736842105264
12000.0,ANSYS,6700,2185,32.61194029850746
12000.0,ABAQUS,2200,680,30.909090909090907
12000.0,LSDYNA,7600,2592,34.10526315789474
13200.0,ANSYS,6700,2233,33.32835820895522
13200.0,ABAQUS,2200,746,33.909090909090914
13200.0,LSDYNA,7600,2128,28.000000000000004
14400.0,ANSYS,6700,2995,44.70149253731343
14400.0,ABAQUS,2200,983,44.68181818181819
14400.0,LSDYNA,7600,2128,28.000000000000004
15600.0,ANSYS,6700,2947,43.985074626865675
15600.0,ABAQUS,2200,891,40.5
15600.0,LSDYNA,7600,2224,29.263157894736842
16800.0,ANSYS,6700,3085,46.04477611940298
16800.0,ABAQUS,2200,728,33.09090909090909
16800.0,LSDYNA,7600,3040,40.0
18000.0,ANSYS,6700,3463,51.68656716417911
18000.0,ABAQUS,2200,790,35.90909090909091
18000.0,LSDYNA,7600,2800,36.84210526315789
19200.0,ANSYS,6700,3607,53.83582089552239
19200.0,ABAQUS,2200,835,37.95454545454545
19200.0,LSDYNA,7600,2880,37.89473684210527
20400.0,ANSYS,6700,3008,44.8955223880597
20400.0,ABAQUS,2200,912,41.45454545454545
20400.0,LSDYNA,7600,2976,39.1578947368421
21600.0,ANSYS,6700,2297,34.28358208955224
21600.0,ABAQUS,2200,1023,46.5
21600.0,LSDYNA,7600,2976,39.1578947368421
22800.0,ANSYS,6700,2057,30.701492537313435
22800.0,ABAQUS,2200,921,41.86363636363637
22800.0,LSDYNA,7600,3888,51.1578947368421
24000.0,ANSYS,6700,2576,38.44776119402985
24000.0,ABAQUS,2200,941,42.77272727272727
24000.0,LSDYNA,7600,3408,44.8421052631579
25200.0,ANSYS,6700,2999,44.76119402985075
25200.0,ABAQUS,2200,852,38.72727272727273
25200.0,LSDYNA,7600,3448,45.36842105263158
26400.0,ANSYS,6700,3076,45.91044776119403
26400.0,ABAQUS,2200,727,33.04545454545455
26400.0,LSDYNA,7600,3056,40.21052631578947
27600.0,ANSYS,6700,3640,54.328358208955216
27600.0,ABAQUS,2200,589,26.77272727272727
27600.0,LSDYNA,7600,3248,42.73684210526316
28800.0,ANSYS,6700,2953,44.07462686567164
28800.0,ABAQUS,2200,564,25.636363636363633
28800.0,LSDYNA,7600,2096,27.57894736842105
30000.0,ANSYS,6700,3238,48.32835820895522
30000.0,ABAQUS,2200,1010,45.909090909090914
30000.0,LSDYNA,7600,2480,32.631578947368425
31200.0,ANSYS,6700,3856,57.55223880597015
31200.0,ABAQUS,2200,977,44.40909090909091
31200.0,LSDYNA,7600,2224,29.263157894736842
32400.0,ANSYS,6700,3156,47.1044776119403
32400.0,ABAQUS,2200,866,39.36363636363636
32400.0,LSDYNA,7600,2464,32.421052631578945
33600.0,ANSYS,6700,3271,48.82089552238806
33600.0,ABAQUS,2200,823,37.40909090909091
33600.0,LSDYNA,7600,2824,37.15789473684211
34800.0,ANSYS,6700,3226,48.149253731343286
34800.0,ABAQUS,2200,706,32.09090909090909
34800.0,LSDYNA,7600,3232,42.526315789473685
36000.0,ANSYS,6700,3245,48.43283582089552
36000.0,ABAQUS,2200,787,35.77272727272727
36000.0,LSDYNA,7600,3248,42.73684210526316
37200.0,ANSYS,6700,3796,56.656716417910445
37200.0,ABAQUS,2200,945,42.95454545454545
37200.0,LSDYNA,7600,3280,43.15789473684211
38400.0,ANSYS,6700,3058,45.64179104477612
38400.0,ABAQUS,2200,1083,49.22727272727273
38400.0,LSDYNA,7600,3976,52.31578947368421
39600.0,ANSYS,6700,2994,44.6865671641791
39600.0,ABAQUS,2200,982,44.63636363636363
39600.0,LSDYNA,7600,4008,52.73684210526316
40800.0,ANSYS,6700,2994,44.6865671641791
40800.0,ABAQUS,2200,982,44.63636363636363
40800.0,LSDYNA,7600,3672,48.31578947368421
42000.0,ANSYS,6700,2850,42.53731343283582
42000.0,ABAQUS,2200,788,35.81818181818181
42000.0,LSDYNA,7600,3800,50.0
43200.0,ANSYS,6700,3420,51.04477611940299
43200.0,ABAQUS,2200,895,40.68181818181818
43200.0,LSDYNA,7600,4376,57.578947368421055
44400.0,ANSYS,6700,3548,52.95522388059701
44400.0,ABAQUS,2200,801,36.40909090909091
44400.0,LSDYNA,7600,4248,55.89473684210526
45600.0,ANSYS,6700,3314,49.46268656716418
45600.0,ABAQUS,2200,945,42.95454545454545
45600.0,LSDYNA,7600,4584,60.31578947368421
46800.0,ANSYS,6700,2891,43.149253731343286
46800.0,ABAQUS,2200,877,39.86363636363636
46800.0,LSDYNA,7600,3208,42.21052631578948
48000.0,ANSYS,6700,2585,38.582089552238806
48000.0,ABAQUS,2200,830,37.72727272727273
48000.0,LSDYNA,7600,3376,44.42105263157895
49200.0,ANSYS,6700,2915,43.507462686567166
49200.0,ABAQUS,2200,855,38.86363636363636
49200.0,LSDYNA,7600,3920,51.578947368421055
50400.0,ANSYS,6700,3008,44.8955223880597
50400.0,ABAQUS,2200,820,37.27272727272727
50400.0,LSDYNA,7600,4160,54.736842105263165
51600.0,ANSYS,6700,3061,45.6865671641791
51600.0,ABAQUS,2200,897,40.77272727272727
51600.0,LSDYNA,7600,4128,54.315789473684205
52800.0,ANSYS,6700,3263,48.701492537313435
52800.0,ABAQUS,2200,1041,47.31818181818182
52800.0,LSDYNA,7600,3664,48.21052631578947
54000.0,ANSYS,6700,3263,48.701492537313435
54000.0,ABAQUS,2200,917,41.68181818181818
54000.0,LSDYNA,7600,3840,50.526315789473685
55200.0,ANSYS,6700,3098,46.23880597014926
55200.0,ABAQUS,2200,929,42.22727272727273
55200.0,LSDYNA,7600,3320,43.684210526315795
56400.0,ANSYS,6700,2954,44.089552238805965
56400.0,ABAQUS,2200,989,44.95454545454545
56400.0,LSDYNA,7600,2536,33.36842105263158
57600.0,ANSYS,6700,2906,43.37313432835821
57600.0,ABAQUS,2200,1066,48.45454545454545
57600.0,LSDYNA,7600,3160,41.578947368421055
58800.0,ANSYS,6700,2488,37.134328358208954
58800.0,ABAQUS,2200,1086,49.36363636363637
58800.0,LSDYNA,7600,2976,39.1578947368421
60000.0,ANSYS,6700,3199,47.74626865671642
60000.0,ABAQUS,2200,1086,49.36363636363637
60000.0,LSDYNA,7600,2784,36.63157894736842
61200.0,ANSYS,6700,3010,44.92537313432835
61200.0,ABAQUS,2200,1142,51.90909090909091
61200.0,LSDYNA,7600,2400,31.57894736842105
62400.0,ANSYS,6700,3010,44.92537313432835
