Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763927007.5923991,ANSYS,6700,0,0.0
1763927007.5923991,ABAQUS,2200,0,0.0
1763927007.5923991,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1069,15.955223880597014
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,999,14.910447761194028
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1272,16.736842105263158
9600.0,ANSYS,6700,2035,30.37313432835821
9600.0,ABAQUS,2200,507,23.045454545454547
9600.0,LSDYNA,7600,3696,48.63157894736842
10800.0,ANSYS,6700,2618,39.07462686567164
10800.0,ABAQUS,2200,775,35.22727272727273
10800.0,LSDYNA,7600,3928,51.68421052631579
12000.0,ANSYS,6700,2519,37.59701492537314
12000.0,ABAQUS,2200,911,41.40909090909091
12000.0,LSDYNA,7600,3640,47.89473684210526
13200.0,ANSYS,6700,3052,45.55223880597015
13200.0,ABAQUS,2200,915,41.590909090909086
13200.0,LSDYNA,7600,3280,43.15789473684211
14400.0,ANSYS,6700,2988,44.59701492537314
14400.0,ABAQUS,2200,1040,47.27272727272727
14400.0,LSDYNA,7600,2656,34.94736842105263
15600.0,ANSYS,6700,3033,45.26865671641791
15600.0,ABAQUS,2200,1095,49.77272727272727
15600.0,LSDYNA,7600,3376,44.42105263157895
16800.0,ANSYS,6700,2985,44.55223880597015
16800.0,ABAQUS,2200,1095,49.77272727272727
16800.0,LSDYNA,7600,3440,45.26315789473684
18000.0,ANSYS,6700,3930,58.656716417910445
18000.0,ABAQUS,2200,953,43.31818181818182
18000.0,LSDYNA,7600,3008,39.578947368421055
19200.0,ANSYS,6700,4351,64.94029850746269
19200.0,ABAQUS,2200,860,39.09090909090909
19200.0,LSDYNA,7600,2976,39.1578947368421
20400.0,ANSYS,6700,4165,62.16417910447761
20400.0,ABAQUS,2200,901,40.95454545454545
20400.0,LSDYNA,7600,2928,38.526315789473685
