,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(3, 1230.4, None)]}",309.54978900857253,128685.23682106611,1230.4,1199.999151985,1,199.35783595710703,1230.4,26195.697000000004,True,229.73560934670704,30.377773389600005
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(4, 6600.8, None)]}",330.5774711754339,133935.21250062282,6600.8,6577.25743858,1,105.04843866453726,6600.8,16538.08,True,121.17068173653726,16.122243072000003
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(5, 6630.8, None)]}",295.26855467250385,134198.3160186452,6630.8,6578.647282672,1,287.3396589094227,6630.8,28470.274999999998,True,331.6301142094227,44.29045529999999
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(2, 6660.8, None)]}",293.5168981771201,134392.06654439023,6660.8,6605.222753731,3,34.18371891398586,6660.8,17897.843,True,43.299208195585855,9.1154892816
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(4, 7200.8, None)]}",57.825321252479114,21357.852462348044,7200.8,7195.109191975,3,9.453707506274252,7200.8,8754.635000000002,True,11.974649410274255,2.520941904000003
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(6, 7230.8, None)]}",310.4901833144852,135048.82714431296,7230.8,7197.409089330999,3,144.97091489847134,7230.8,23115.987999999998,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(4, 7770.8, None)]}",281.9460745575701,135721.6275195406,7770.8,7760.353088346999,1,293.51204692372033,7770.8,35536.19499999999,True,338.5586237717203,45.04657684799999
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(2, 7800.8, None)]}",91.00759406898061,38844.60464537164,7800.8,7799.7881461179995,3,13.371699749030348,7800.8,12196.412000000002,True,16.93742020343035,3.5657204544000014
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x116103770>: [(3, 8371.0, None)]}",98.97570184637311,39722.449430721754,8371.0,8365.635937501,3,27.31841204654346,8371.0,14357.83,True,34.60318679054346,7.284774744000001
