Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763814775.068219,ANSYS,6700,0,0.0
1763814775.068219,ABAQUS,2200,0,0.0
1763814775.068219,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1069,15.955223880597014
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,999,14.910447761194028
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,816,10.73684210526316
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,183,8.318181818181818
8400.0,LSDYNA,7600,1056,13.894736842105262
9600.0,ANSYS,6700,1324,19.761194029850746
9600.0,ABAQUS,2200,422,19.18181818181818
9600.0,LSDYNA,7600,2160,28.421052631578945
10800.0,ANSYS,6700,2303,34.373134328358205
10800.0,ABAQUS,2200,552,25.09090909090909
10800.0,LSDYNA,7600,4520,59.473684210526315
12000.0,ANSYS,6700,3058,45.64179104477612
12000.0,ABAQUS,2200,779,35.40909090909091
12000.0,LSDYNA,7600,3992,52.526315789473685
13200.0,ANSYS,6700,2915,43.507462686567166
13200.0,ABAQUS,2200,855,38.86363636363636
13200.0,LSDYNA,7600,4016,52.84210526315789
14400.0,ANSYS,6700,2614,39.01492537313433
14400.0,ABAQUS,2200,974,44.27272727272727
14400.0,LSDYNA,7600,3816,50.21052631578947
15600.0,ANSYS,6700,2636,39.34328358208955
15600.0,ABAQUS,2200,968,44.0
