,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,52.26499855502318,30,4002.4419999999996,True,60.321110931023185,8.056112375999998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(3, 60, None)]}",309.54978900857253,127514.24432374611,60,29.006654665,1,189.64300821355238,60,23808.723,True,218.54045435995238,28.897446146400004
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(4, 1230.2, None)]}",330.5774711754339,128583.38844730181,1230.2,1225.433385259,1,105.04843866453722,1230.2,11167.48,True,121.1706817365372,16.122243071999996
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(5, 1260.2, None)]}",295.26855467250385,128856.24255375318,1260.2,1236.5738177800001,1,254.97206806601264,1260.2,20639.551000000003,True,294.27339189401266,39.301323828
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(2, 6600.999999999999, None)]}",293.5168981771201,134373.89367155923,6600.999999999999,6587.0498809,3,40.973893071716475,6600.999999999999,20070.143,True,51.900061873316474,10.9261688016
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(4, 6630.999999999999, None)]}",57.825321252479114,20754.064260435043,6630.999999999999,6591.320990062,3,10.548604456612676,6630.999999999999,8364.795,True,13.361513464612678,2.8129090080000014
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(6, 6660.999999999999, None)]}",310.4901833144852,134459.02047387898,6660.999999999999,6607.6024188970005,3,144.97091489847134,6660.999999999999,22546.188,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(4, 6690.999999999999, None)]}",281.9460745575701,134570.90886993462,6690.999999999999,6609.634438741001,1,249.20126983040532,6690.999999999999,30264.722999999998,True,287.4472780256053,38.2460081952
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(2, 6721.199999999999, None)]}",91.00759406898061,37660.99391075464,6721.199999999999,6616.177411501001,3,18.62214312875503,6721.199999999999,12842.763999999997,True,23.58795584555503,4.965812716799999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x111aab770>: [(3, 6751.199999999999, None)]}",98.97570184637311,37981.20401939176,6751.199999999999,6624.3905261710015,3,30.68227241615331,6751.199999999999,13475.219999999998,True,38.86405995215331,8.181787535999998
