Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763758512.3874261,ANSYS,6700,0,0.0
1763758512.3874261,ABAQUS,2200,0,0.0
1763758512.3874261,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,829,12.37313432835821
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,804,12.0
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1176,15.473684210526315
9600.0,ANSYS,6700,1939,28.940298507462686
9600.0,ABAQUS,2200,420,19.090909090909093
9600.0,LSDYNA,7600,2400,31.57894736842105
10800.0,ANSYS,6700,2795,41.71641791044776
10800.0,ABAQUS,2200,610,27.727272727272727
10800.0,LSDYNA,7600,4256,56.00000000000001
12000.0,ANSYS,6700,3029,45.2089552238806
12000.0,ABAQUS,2200,824,37.45454545454546
12000.0,LSDYNA,7600,3896,51.26315789473684
13200.0,ANSYS,6700,2792,41.67164179104478
13200.0,ABAQUS,2200,995,45.22727272727273
13200.0,LSDYNA,7600,3928,51.68421052631579
14400.0,ANSYS,6700,2760,41.19402985074627
14400.0,ABAQUS,2200,1025,46.590909090909086
14400.0,LSDYNA,7600,4208,55.368421052631575
15600.0,ANSYS,6700,3321,49.56716417910448
15600.0,ABAQUS,2200,1058,48.090909090909086
15600.0,LSDYNA,7600,3776,49.684210526315795
16800.0,ANSYS,6700,3367,50.25373134328358
16800.0,ABAQUS,2200,1146,52.090909090909086
16800.0,LSDYNA,7600,3864,50.8421052631579
18000.0,ANSYS,6700,3723,55.56716417910448
18000.0,ABAQUS,2200,1112,50.54545454545455
18000.0,LSDYNA,7600,3896,51.26315789473684
19200.0,ANSYS,6700,3511,52.40298507462686
19200.0,ABAQUS,2200,1153,52.40909090909091
19200.0,LSDYNA,7600,4040,53.1578947368421
20400.0,ANSYS,6700,3518,52.507462686567166
20400.0,ABAQUS,2200,1212,55.09090909090909
20400.0,LSDYNA,7600,3800,50.0
21600.0,ANSYS,6700,3610,53.88059701492537
21600.0,ABAQUS,2200,1245,56.59090909090909
21600.0,LSDYNA,7600,3800,50.0
22800.0,ANSYS,6700,4056,60.53731343283582
22800.0,ABAQUS,2200,1279,58.13636363636364
22800.0,LSDYNA,7600,3584,47.1578947368421
24000.0,ANSYS,6700,4460,66.56716417910448
24000.0,ABAQUS,2200,1201,54.59090909090909
24000.0,LSDYNA,7600,3392,44.631578947368425
25200.0,ANSYS,6700,4861,72.55223880597015
25200.0,ABAQUS,2200,1319,59.954545454545446
25200.0,LSDYNA,7600,2768,36.421052631578945
26400.0,ANSYS,6700,4324,64.53731343283582
26400.0,ABAQUS,2200,1364,62.0
26400.0,LSDYNA,7600,2912,38.315789473684205
27600.0,ANSYS,6700,4322,64.50746268656717
27600.0,ABAQUS,2200,1293,58.77272727272727
27600.0,LSDYNA,7600,2920,38.421052631578945
28800.0,ANSYS,6700,4085,60.97014925373134
28800.0,ABAQUS,2200,1155,52.5
28800.0,LSDYNA,7600,3544,46.63157894736842
30000.0,ANSYS,6700,4062,60.626865671641795
30000.0,ABAQUS,2200,1363,61.95454545454545
30000.0,LSDYNA,7600,3376,44.42105263157895
31200.0,ANSYS,6700,4038,60.268656716417915
31200.0,ABAQUS,2200,1324,60.18181818181818
31200.0,LSDYNA,7600,3504,46.10526315789474
32400.0,ANSYS,6700,3663,54.67164179104478
32400.0,ABAQUS,2200,1375,62.5
32400.0,LSDYNA,7600,3640,47.89473684210526
33600.0,ANSYS,6700,3949,58.940298507462686
33600.0,ABAQUS,2200,1304,59.27272727272728
33600.0,LSDYNA,7600,3568,46.94736842105263
34800.0,ANSYS,6700,4036,60.23880597014926
34800.0,ABAQUS,2200,1126,51.18181818181819
34800.0,LSDYNA,7600,4056,53.368421052631575
36000.0,ANSYS,6700,4073,60.791044776119406
36000.0,ABAQUS,2200,1148,52.18181818181819
36000.0,LSDYNA,7600,4104,54.0
37200.0,ANSYS,6700,4236,63.223880597014926
37200.0,ABAQUS,2200,1144,52.0
37200.0,LSDYNA,7600,4152,54.63157894736842
38400.0,ANSYS,6700,4118,61.462686567164184
38400.0,ABAQUS,2200,1154,52.45454545454545
38400.0,LSDYNA,7600,4176,54.94736842105263
39600.0,ANSYS,6700,4571,68.22388059701493
39600.0,ABAQUS,2200,1093,49.68181818181818
39600.0,LSDYNA,7600,4064,53.473684210526315
40800.0,ANSYS,6700,4433,66.16417910447761
40800.0,ABAQUS,2200,1043,47.409090909090914
40800.0,LSDYNA,7600,4248,55.89473684210526
42000.0,ANSYS,6700,4196,62.626865671641795
42000.0,ABAQUS,2200,986,44.81818181818182
42000.0,LSDYNA,7600,4712,62.0
43200.0,ANSYS,6700,3992,59.582089552238806
43200.0,ABAQUS,2200,822,37.36363636363637
43200.0,LSDYNA,7600,4808,63.26315789473684
44400.0,ANSYS,6700,3781,56.43283582089552
44400.0,ABAQUS,2200,824,37.45454545454546
