Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763682792.68468,ANSYS,6700,0,0.0
1763682792.68468,ABAQUS,2200,0,0.0
1763682792.68468,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,804,12.0
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,945,14.1044776119403
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,990,14.776119402985074
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,672,8.842105263157894
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,1248,16.42105263157895
9600.0,ANSYS,6700,1464,21.850746268656717
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1968,25.894736842105264
10800.0,ANSYS,6700,2805,41.865671641791046
10800.0,ABAQUS,2200,626,28.454545454545453
10800.0,LSDYNA,7600,4176,54.94736842105263
12000.0,ANSYS,6700,3550,52.98507462686567
12000.0,ABAQUS,2200,776,35.27272727272727
12000.0,LSDYNA,7600,4664,61.36842105263158
13200.0,ANSYS,6700,3574,53.343283582089555
13200.0,ABAQUS,2200,923,41.95454545454545
13200.0,LSDYNA,7600,4616,60.73684210526316
14400.0,ANSYS,6700,3010,44.92537313432835
14400.0,ABAQUS,2200,1129,51.31818181818182
14400.0,LSDYNA,7600,4352,57.263157894736835
15600.0,ANSYS,6700,4045,60.37313432835821
15600.0,ABAQUS,2200,1114,50.63636363636363
15600.0,LSDYNA,7600,3792,49.89473684210527
16800.0,ANSYS,6700,3670,54.77611940298508
16800.0,ABAQUS,2200,1203,54.68181818181819
16800.0,LSDYNA,7600,4208,55.368421052631575
18000.0,ANSYS,6700,4426,66.05970149253731
18000.0,ABAQUS,2200,1204,54.72727272727273
18000.0,LSDYNA,7600,4240,55.78947368421052
19200.0,ANSYS,6700,4660,69.55223880597015
19200.0,ABAQUS,2200,1298,59.0
19200.0,LSDYNA,7600,4256,56.00000000000001
20400.0,ANSYS,6700,4612,68.83582089552239
20400.0,ABAQUS,2200,1357,61.68181818181818
20400.0,LSDYNA,7600,4592,60.421052631578945
21600.0,ANSYS,6700,4628,69.07462686567165
21600.0,ABAQUS,2200,1357,61.68181818181818
21600.0,LSDYNA,7600,4592,60.421052631578945
22800.0,ANSYS,6700,4628,69.07462686567165
22800.0,ABAQUS,2200,1657,75.31818181818181
22800.0,LSDYNA,7600,4232,55.684210526315795
24000.0,ANSYS,6700,4913,73.32835820895522
24000.0,ABAQUS,2200,1499,68.13636363636364
24000.0,LSDYNA,7600,4136,54.421052631578945
25200.0,ANSYS,6700,4913,73.32835820895522
25200.0,ABAQUS,2200,1397,63.5
25200.0,LSDYNA,7600,4016,52.84210526315789
26400.0,ANSYS,6700,5404,80.65671641791045
26400.0,ABAQUS,2200,1368,62.18181818181818
26400.0,LSDYNA,7600,3872,50.94736842105263
27600.0,ANSYS,6700,5148,76.83582089552239
27600.0,ABAQUS,2200,1440,65.45454545454545
27600.0,LSDYNA,7600,3872,50.94736842105263
28800.0,ANSYS,6700,5100,76.11940298507463
28800.0,ABAQUS,2200,1475,67.04545454545455
28800.0,LSDYNA,7600,3680,48.421052631578945
30000.0,ANSYS,6700,4333,64.67164179104478
30000.0,ABAQUS,2200,1614,73.36363636363636
30000.0,LSDYNA,7600,3968,52.21052631578947
31200.0,ANSYS,6700,4144,61.85074626865672
31200.0,ABAQUS,2200,1598,72.63636363636363
31200.0,LSDYNA,7600,4192,55.1578947368421
32400.0,ANSYS,6700,4144,61.85074626865672
32400.0,ABAQUS,2200,1538,69.9090909090909
32400.0,LSDYNA,7600,4192,55.1578947368421
33600.0,ANSYS,6700,4429,66.1044776119403
33600.0,ABAQUS,2200,1608,73.0909090909091
33600.0,LSDYNA,7600,4192,55.1578947368421
34800.0,ANSYS,6700,4426,66.05970149253731
34800.0,ABAQUS,2200,1506,68.45454545454545
34800.0,LSDYNA,7600,4528,59.578947368421055
36000.0,ANSYS,6700,4612,68.83582089552239
36000.0,ABAQUS,2200,1507,68.5
36000.0,LSDYNA,7600,4360,57.36842105263158
37200.0,ANSYS,6700,4508,67.28358208955224
37200.0,ABAQUS,2200,1457,66.22727272727272
37200.0,LSDYNA,7600,4248,55.89473684210526
38400.0,ANSYS,6700,4886,72.92537313432835
38400.0,ABAQUS,2200,1580,71.81818181818181
38400.0,LSDYNA,7600,3960,52.10526315789473
39600.0,ANSYS,6700,4742,70.77611940298507
39600.0,ABAQUS,2200,1459,66.31818181818183
39600.0,LSDYNA,7600,4088,53.789473684210535
40800.0,ANSYS,6700,5312,79.28358208955224
40800.0,ABAQUS,2200,1393,63.31818181818182
40800.0,LSDYNA,7600,4280,56.315789473684205
42000.0,ANSYS,6700,5075,75.74626865671642
42000.0,ABAQUS,2200,1206,54.81818181818182
42000.0,LSDYNA,7600,4520,59.473684210526315
43200.0,ANSYS,6700,4748,70.86567164179104
43200.0,ABAQUS,2200,1215,55.22727272727273
43200.0,LSDYNA,7600,4472,58.8421052631579
44400.0,ANSYS,6700,4793,71.53731343283583
44400.0,ABAQUS,2200,1125,51.13636363636363
44400.0,LSDYNA,7600,4808,63.26315789473684
45600.0,ANSYS,6700,4985,74.40298507462687
45600.0,ABAQUS,2200,1076,48.90909090909091
45600.0,LSDYNA,7600,5192,68.3157894736842
46800.0,ANSYS,6700,5017,74.88059701492537
46800.0,ABAQUS,2200,959,43.59090909090909
46800.0,LSDYNA,7600,5248,69.05263157894737
48000.0,ANSYS,6700,4889,72.97014925373134
48000.0,ABAQUS,2200,1074,48.81818181818181
48000.0,LSDYNA,7600,5248,69.05263157894737
49200.0,ANSYS,6700,4604,68.71641791044776
49200.0,ABAQUS,2200,1018,46.27272727272727
49200.0,LSDYNA,7600,5536,72.84210526315789
50400.0,ANSYS,6700,4841,72.25373134328358
50400.0,ABAQUS,2200,983,44.68181818181819
50400.0,LSDYNA,7600,5104,67.15789473684211
51600.0,ANSYS,6700,4838,72.2089552238806
51600.0,ABAQUS,2200,983,44.68181818181819
51600.0,LSDYNA,7600,5072,66.73684210526316
52800.0,ANSYS,6700,5112,76.29850746268657
52800.0,ABAQUS,2200,988,44.90909090909091
52800.0,LSDYNA,7600,4968,65.36842105263158
54000.0,ANSYS,6700,4977,74.28358208955224
54000.0,ABAQUS,2200,1084,49.27272727272727
54000.0,LSDYNA,7600,4392,57.78947368421052
55200.0,ANSYS,6700,4692,70.02985074626865
55200.0,ABAQUS,2200,1145,52.04545454545455
55200.0,LSDYNA,7600,4184,55.05263157894736
56400.0,ANSYS,6700,3489,52.07462686567165
56400.0,ABAQUS,2200,1237,56.22727272727273
56400.0,LSDYNA,7600,4712,62.0
57600.0,ANSYS,6700,3598,53.701492537313435
57600.0,ABAQUS,2200,1232,56.00000000000001
57600.0,LSDYNA,7600,5144,67.6842105263158
58800.0,ANSYS,6700,3082,46.0
58800.0,ABAQUS,2200,1267,57.59090909090909
58800.0,LSDYNA,7600,5576,73.36842105263159
60000.0,ANSYS,6700,3082,46.0
60000.0,ABAQUS,2200,1303,59.22727272727273
60000.0,LSDYNA,7600,5128,67.47368421052632
61200.0,ANSYS,6700,3505,52.3134328358209
61200.0,ABAQUS,2200,1390,63.18181818181819
