,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(5, 30, 390), (2, 390, None), (3, 3840, None), (1, 5580, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,46.65525895505362,30,6281.701999999999,True,58.022094912160604,66.7871968993606,8.765101987199998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(3, 60, 3540), (1, 3540, None), (1, 33680.184, None), (2, 37661.256, None)]}",309.54978900857253,127533.6606450161,60,48.422975935,1,135.00540999315538,60,48574.173,True,255.34710631987224,292.74099109747226,37.3938847776
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(4, 1200, 5670), (1, 5670, None)]}",330.5774711754339,128554.3118753968,1200,1196.356813354,1,47.25302304357746,1200,22031.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(5, 1260, 6720), (2, 6720, None)]}",295.26855467250385,128854.83842984118,1260,1235.169693868,1,146.88119552817705,1260,26576.858999999997,True,179.0567335158567,206.2374975366567,27.180764020799998
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 6630, 9630), (1, 9630, None)]}",293.5168981771201,134389.9058416342,6630,6603.062050975,3,22.72036504677162,6630,45054.59299999999,True,63.007974750931616,79.80978967173161,16.801814920799995
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(4, 6660, None), (1, 7920, None)]}",57.825321252479114,20766.996430152045,6660,6604.253159778999,3,7.665982203969882,6660,8393.795,True,11.269260019773366,14.274340279773366,3.00508026
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(6, 6690, None)]}",310.4901833144852,134463.47529899096,6690,6612.057244008999,3,,6690,22575.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(4, 6720, 19838.04), (2, 19838.04, None), (2, 28769.112, None)]}",281.9460745575701,134593.0313095006,6720,6631.756878306999,1,243.17331325576092,6720,36085.679,True,265.9111860978021,306.3091781010021,40.39799200319999
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 6750, 7410), (1, 7410, None), (1, 9810, None)]}",91.00759406898061,37682.38700172964,6750,6637.570502475999,3,5.658224960073008,6750,18455.037999999997,True,31.95691839683625,40.478605222436244,8.521686825599996
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(3, 6780, 7740), (2, 7740, None), (2, 20498.04, None)]}",98.97570184637311,37995.58243606576,6780,6638.768942844999,3,43.19123887748117,6780,21782.675999999996,True,51.00710928587722,64.60875278027721,13.60164349439999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(6, 7230, 8520), (1, 8520, None), (1, 9960, None), (1, 11271.072, None)]}",88.24903114605627,38423.007720941736,7230,7214.5849453929995,3,17.951394022359114,7230,13813.698000000002,True,29.5536116814967,37.434428604696706,7.880816923200002
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 7260, 9270), (1, 9270, None), (1, 13903.752, None)]}",310.3508838593914,135043.34759992946,7260,7234.811665767999,3,62.97900068446269,7260,38229.157999999996,True,87.16185869647879,110.40458985487878,23.242731158399994
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(6, 7290, 9300), (2, 9300, None)]}",308.5846884800438,135348.21347201715,7290,7247.999715886,2,8.686918223226783,7290,14773.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(3, 7830, 9840), (1, 9840, None), (1, 12922.68, None)]}",322.3613792231315,135514.25196242635,7830,7807.093098616,2,12.738691943327208,7830,26313.533,True,67.07974951573178,81.63851247733177,14.5587629616
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 7860, None), (2, 10080, None)]}",89.7921856815224,39080.37275950827,7860,7831.643731723,1,11.987223362993383,7860,16185.16,True,77.91867974750932,89.62455533150931,11.705875584000001
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(3, 7890, 11391.072), (2, 11391.072, None)]}",317.6420201174764,135402.04137465663,7890,7832.977218265,2,53.72367987449518,7890,37913.74,True,83.39476603083699,109.17005872203698,25.775292691199997
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 7920, None)]}",300.8642397517245,135250.38475543313,7920,7834.948398532,3,30.20002737850787,7920,42352.921,True,104.74688873678606,132.67887425198606,27.9319855152
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(4, 7950, 13443.216), (1, 13443.216, None), (1, 21378.576, None)]}",290.6639501784463,135412.9234267089,7950,7839.037698328,2,58.30814672806909,7950,31819.968,True,78.48024271628827,99.08107556108827,20.6008328448
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(5, 8430, 9720), (2, 9720, None), (2, 11331.072, None)]}",100.9864715008785,39569.734291992485,8430,8400.001802044,2,9.541970254693503,8430,12765.006000000001,True,17.338182687496136,23.58761881549614,6.249436128000002
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x131c43620>: [(2, 8460, None), (1, 10170, None)]}",64.77903730143166,22388.45071026635,8460,8414.078690851,2,4.648583289081818,8460,15410.415,True,29.5274860244254,37.2911749964254,7.763688972000001
