Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763670061.255948,ANSYS,6700,0,0.0
1763670061.255948,ABAQUS,2200,0,0.0
1763670061.255948,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,804,12.0
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,672,8.842105263157894
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,1200,15.789473684210526
9600.0,ANSYS,6700,1464,21.850746268656717
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1776,23.36842105263158
10800.0,ANSYS,6700,2558,38.17910447761194
10800.0,ABAQUS,2200,553,25.136363636363633
10800.0,LSDYNA,7600,3456,45.473684210526315
12000.0,ANSYS,6700,2369,35.35820895522388
12000.0,ABAQUS,2200,634,28.81818181818182
12000.0,LSDYNA,7600,3408,44.8421052631579
13200.0,ANSYS,6700,2510,37.46268656716418
13200.0,ABAQUS,2200,675,30.681818181818183
13200.0,LSDYNA,7600,3288,43.26315789473684
14400.0,ANSYS,6700,2462,36.74626865671642
14400.0,ABAQUS,2200,774,35.18181818181818
14400.0,LSDYNA,7600,3288,43.26315789473684
15600.0,ANSYS,6700,2699,40.28358208955224
15600.0,ABAQUS,2200,943,42.86363636363637
15600.0,LSDYNA,7600,2808,36.94736842105264
16800.0,ANSYS,6700,3077,45.92537313432835
16800.0,ABAQUS,2200,943,42.86363636363637
16800.0,LSDYNA,7600,3144,41.368421052631575
18000.0,ANSYS,6700,3314,49.46268656716418
18000.0,ABAQUS,2200,959,43.59090909090909
18000.0,LSDYNA,7600,2848,37.473684210526315
19200.0,ANSYS,6700,3681,54.94029850746268
19200.0,ABAQUS,2200,902,41.0
19200.0,LSDYNA,7600,3136,41.26315789473684
20400.0,ANSYS,6700,4155,62.01492537313433
20400.0,ABAQUS,2200,792,36.0
20400.0,LSDYNA,7600,3136,41.26315789473684
21600.0,ANSYS,6700,3588,53.552238805970156
21600.0,ABAQUS,2200,930,42.27272727272727
21600.0,LSDYNA,7600,2944,38.73684210526316
22800.0,ANSYS,6700,3546,52.92537313432836
22800.0,ABAQUS,2200,956,43.45454545454545
22800.0,LSDYNA,7600,3136,41.26315789473684
24000.0,ANSYS,6700,3738,55.791044776119406
24000.0,ABAQUS,2200,951,43.22727272727273
24000.0,LSDYNA,7600,2848,37.473684210526315
25200.0,ANSYS,6700,3972,59.28358208955223
25200.0,ABAQUS,2200,972,44.18181818181818
25200.0,LSDYNA,7600,2512,33.05263157894737
26400.0,ANSYS,6700,4065,60.67164179104477
26400.0,ABAQUS,2200,1046,47.54545454545455
26400.0,LSDYNA,7600,2464,32.421052631578945
27600.0,ANSYS,6700,4025,60.07462686567165
27600.0,ABAQUS,2200,1127,51.227272727272734
27600.0,LSDYNA,7600,2440,32.10526315789474
28800.0,ANSYS,6700,3884,57.97014925373134
28800.0,ABAQUS,2200,1105,50.227272727272734
28800.0,LSDYNA,7600,2200,28.947368421052634
30000.0,ANSYS,6700,3740,55.82089552238806
30000.0,ABAQUS,2200,1207,54.86363636363636
30000.0,LSDYNA,7600,2128,28.000000000000004
31200.0,ANSYS,6700,3876,57.850746268656714
31200.0,ABAQUS,2200,1207,54.86363636363636
31200.0,LSDYNA,7600,1888,24.842105263157897
32400.0,ANSYS,6700,3924,58.56716417910448
32400.0,ABAQUS,2200,1180,53.63636363636364
32400.0,LSDYNA,7600,2128,28.000000000000004
33600.0,ANSYS,6700,3498,52.208955223880594
33600.0,ABAQUS,2200,1241,56.40909090909091
33600.0,LSDYNA,7600,2368,31.157894736842106
34800.0,ANSYS,6700,3075,45.8955223880597
34800.0,ABAQUS,2200,1287,58.5
34800.0,LSDYNA,7600,2368,31.157894736842106
36000.0,ANSYS,6700,2838,42.35820895522388
36000.0,ABAQUS,2200,1252,56.90909090909091
36000.0,LSDYNA,7600,2512,33.05263157894737
37200.0,ANSYS,6700,2460,36.71641791044776
37200.0,ABAQUS,2200,1252,56.90909090909091
37200.0,LSDYNA,7600,3088,40.63157894736842
38400.0,ANSYS,6700,2886,43.07462686567164
38400.0,ABAQUS,2200,1124,51.090909090909086
38400.0,LSDYNA,7600,3088,40.63157894736842
39600.0,ANSYS,6700,2574,38.417910447761194
39600.0,ABAQUS,2200,1046,47.54545454545455
39600.0,LSDYNA,7600,3808,50.10526315789474
40800.0,ANSYS,6700,2981,44.492537313432834
40800.0,ABAQUS,2200,961,43.68181818181818
40800.0,LSDYNA,7600,3760,49.473684210526315
42000.0,ANSYS,6700,2917,43.53731343283582
42000.0,ABAQUS,2200,910,41.36363636363637
42000.0,LSDYNA,7600,3904,51.368421052631575
43200.0,ANSYS,6700,3154,47.07462686567164
43200.0,ABAQUS,2200,910,41.36363636363637
43200.0,LSDYNA,7600,3952,52.0
44400.0,ANSYS,6700,2824,42.149253731343286
44400.0,ABAQUS,2200,968,44.0
44400.0,LSDYNA,7600,3600,47.368421052631575
45600.0,ANSYS,6700,3109,46.40298507462687
45600.0,ABAQUS,2200,922,41.90909090909091
45600.0,LSDYNA,7600,3504,46.10526315789474
46800.0,ANSYS,6700,3109,46.40298507462687
46800.0,ABAQUS,2200,965,43.86363636363637
46800.0,LSDYNA,7600,3648,48.0
48000.0,ANSYS,6700,3860,57.611940298507456
48000.0,ABAQUS,2200,923,41.95454545454545
48000.0,LSDYNA,7600,3680,48.421052631578945
49200.0,ANSYS,6700,3767,56.22388059701493
49200.0,ABAQUS,2200,943,42.86363636363637
49200.0,LSDYNA,7600,3872,50.94736842105263
50400.0,ANSYS,6700,3120,46.56716417910447
50400.0,ABAQUS,2200,923,41.95454545454545
50400.0,LSDYNA,7600,4016,52.84210526315789
51600.0,ANSYS,6700,2766,41.28358208955224
51600.0,ABAQUS,2200,782,35.54545454545455
51600.0,LSDYNA,7600,4824,63.473684210526315
52800.0,ANSYS,6700,2766,41.28358208955224
52800.0,ABAQUS,2200,787,35.77272727272727
52800.0,LSDYNA,7600,3888,51.1578947368421
54000.0,ANSYS,6700,2886,43.07462686567164
54000.0,ABAQUS,2200,837,38.04545454545455
54000.0,LSDYNA,7600,3304,43.473684210526315
55200.0,ANSYS,6700,2721,40.61194029850746
55200.0,ABAQUS,2200,881,40.04545454545455
55200.0,LSDYNA,7600,3464,45.578947368421055
56400.0,ANSYS,6700,2561,38.223880597014926
56400.0,ABAQUS,2200,962,43.72727272727273
56400.0,LSDYNA,7600,3896,51.26315789473684
57600.0,ANSYS,6700,2468,36.83582089552239
57600.0,ABAQUS,2200,967,43.95454545454546
57600.0,LSDYNA,7600,4136,54.421052631578945
58800.0,ANSYS,6700,2561,38.223880597014926
58800.0,ABAQUS,2200,1013,46.04545454545455
58800.0,LSDYNA,7600,4136,54.421052631578945
60000.0,ANSYS,6700,2984,44.53731343283582
60000.0,ABAQUS,2200,1034,47.0
60000.0,LSDYNA,7600,4184,55.05263157894736
61200.0,ANSYS,6700,3032,45.25373134328358
61200.0,ABAQUS,2200,1034,47.0
61200.0,LSDYNA,7600,4184,55.05263157894736
62400.0,ANSYS,6700,2936,43.82089552238806
62400.0,ABAQUS,2200,964,43.81818181818182
62400.0,LSDYNA,7600,4184,55.05263157894736
63600.0,ANSYS,6700,3314,49.46268656716418
63600.0,ABAQUS,2200,888,40.36363636363636
63600.0,LSDYNA,7600,4472,58.8421052631579
64800.0,ANSYS,6700,3029,45.2089552238806
64800.0,ABAQUS,2200,888,40.36363636363636
64800.0,LSDYNA,7600,4616,60.73684210526316
66000.0,ANSYS,6700,3029,45.2089552238806
66000.0,ABAQUS,2200,864,39.27272727272727
66000.0,LSDYNA,7600,4280,56.315789473684205
67200.0,ANSYS,6700,3218,48.02985074626866
67200.0,ABAQUS,2200,865,39.31818181818182
67200.0,LSDYNA,7600,4664,61.36842105263158
68400.0,ANSYS,6700,3503,52.28358208955224
68400.0,ABAQUS,2200,784,35.63636363636364
68400.0,LSDYNA,7600,4376,57.578947368421055
69600.0,ANSYS,6700,3503,52.28358208955224
69600.0,ABAQUS,2200,775,35.22727272727273
69600.0,LSDYNA,7600,4184,55.05263157894736
70800.0,ANSYS,6700,3218,48.02985074626866
70800.0,ABAQUS,2200,830,37.72727272727273
70800.0,LSDYNA,7600,3896,51.26315789473684
72000.0,ANSYS,6700,3692,55.1044776119403
72000.0,ABAQUS,2200,825,37.5
72000.0,LSDYNA,7600,4040,53.1578947368421
73200.0,ANSYS,6700,3692,55.1044776119403
73200.0,ABAQUS,2200,774,35.18181818181818
73200.0,LSDYNA,7600,4328,56.94736842105264
74400.0,ANSYS,6700,3692,55.1044776119403
74400.0,ABAQUS,2200,774,35.18181818181818
74400.0,LSDYNA,7600,4088,53.789473684210535
75600.0,ANSYS,6700,3599,53.71641791044775
75600.0,ABAQUS,2200,764,34.72727272727273
75600.0,LSDYNA,7600,4280,56.315789473684205
76800.0,ANSYS,6700,3458,51.61194029850746
76800.0,ABAQUS,2200,764,34.72727272727273
76800.0,LSDYNA,7600,4024,52.94736842105263
78000.0,ANSYS,6700,3458,51.61194029850746
78000.0,ABAQUS,2200,764,34.72727272727273
78000.0,LSDYNA,7600,3976,52.31578947368421
79200.0,ANSYS,6700,2936,43.82089552238806
79200.0,ABAQUS,2200,723,32.86363636363636
79200.0,LSDYNA,7600,3736,49.1578947368421
80400.0,ANSYS,6700,2699,40.28358208955224
80400.0,ABAQUS,2200,723,32.86363636363636
80400.0,LSDYNA,7600,3736,49.1578947368421
81600.0,ANSYS,6700,2699,40.28358208955224
