,instances,budget,deadline,sched_start_time,submit_time,exec_start_time,finish_time,complete,cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,30,4002.4419999999996,True,8.056112375999998
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 60, None)]}",309.54978900857253,127497.67836456711,60,12.440695486,60,22888.17935398863,True,27.77732863793337
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 1230.2, None)]}",330.5774711754339,128575.19423478881,1230.2,1217.2391727460001,1230.2,11167.48,True,16.122243071999996
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 1260.2, None)]}",295.26855467250385,128845.17470322018,1260.2,1225.5059672470002,1260.2,23610.805,True,45.327026939999996
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 6630.999999999999, None)]}",293.5168981771201,134391.5449019987,6630.999999999999,6604.7011113395,6630.999999999999,22050.979,True,12.508686964799999
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 6660.999999999999, None)]}",57.825321252479114,20773.880882574045,6660.999999999999,6611.137612201,6660.999999999999,8394.795,True,2.8129090080000014
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 6690.999999999999, None)]}",310.4901833144852,134465.96254558198,6690.999999999999,6614.544490599999,6690.999999999999,22576.188,True,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 6721.199999999999, None)]}",281.9460745575701,134603.1341615656,6721.199999999999,6641.859730371999,6721.199999999999,29337.431964009793,True,36.69257473840948
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 6751.199999999999, None)]}",91.00759406898061,37693.60817403364,6751.199999999999,6648.791674779999,6751.199999999999,14024.409999999998,True,5.900027951999999
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 7231.399999999999, None)]}",98.97570184637311,38573.05859106676,7231.399999999999,7216.245097845999,7231.399999999999,14105.419999999996,True,8.364307535999998
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 7261.399999999999, None)]}",88.24903114605627,38434.702596062736,7261.399999999999,7226.279820513999,7261.399999999999,12266.318,True,12.179968444800002
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 7291.399999999999, None)]}",310.3508838593914,135050.58858015394,7291.399999999999,7242.052645992499,7291.399999999999,19741.97169371988,True,10.099903757945567
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(6, 7831.5999999999985, None)]}",308.5846884800438,135930.43665331815,7831.5999999999985,7830.222897186999,7831.5999999999985,12878.569,True,12.282303758400003
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 7861.5999999999985, None)]}",322.3613792231315,135542.25087494333,7861.5999999999985,7835.092011132999,7861.5999999999985,20302.625,True,15.138239220000003
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 7891.5999999999985, None)]}",89.7921856815224,39087.49487804127,7891.5999999999985,7838.765850255999,7891.5999999999985,16179.437132355155,True,6.723093481766503
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(3, 7921.799999999998, None)]}",317.6420201174764,135415.73538749764,7921.799999999998,7846.671231105999,7921.799999999998,26040.523999999998,True,22.0468633632
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 8432.4, None)]}",300.8642397517245,135831.09507768112,8432.4,8415.658720779998,8432.4,42885.320999999996,True,27.948209515199995
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(4, 8462.4, None)]}",290.6639501784463,135997.93337500593,8462.4,8424.047646624998,8462.4,25859.650999999998,True,28.225300022399995
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 8492.4, None)]}",100.9864715008785,39596.02140915948,8492.4,8426.288919210998,8492.4,12015.516,True,7.144879248
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(2, 8522.4, None)]}",64.77903730143166,22412.648240292347,8522.4,8438.276220876998,8522.4,12352.416000000001,True,3.1069089792000013
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x129b3b620>: [(5, 8552.6, None)]}",105.56808496111117,39595.93304600128,8552.6,8439.276220876998,8552.6,10798.992000000002,True,4.555682976000003
