wf_id,iter_idx,request_type,granted_count,t_scheduler_request_observed,t_scheduler_reply_sent
hpo-60bf3eb4,1,grow,,1778414330.3496118,
hpo-60bf3eb4,1,shrink,2,,1778414330.383178
hpo-a87b8123,0,grow,,1778414360.418798,
hpo-a87b8123,0,grow,0,,1778414360.4566412
hpo-a87b8123,1,grow,,1778415315.0086606,
hpo-417bb2bd,1,grow,,1778415315.0086606,
hpo-60bf3eb4,2,grow,,1778415315.0086606,
hpo-ccb43739,0,grow,,1778415315.0086606,
hpo-417bb2bd,1,shrink,2,,1778415315.0836794
hpo-ccb43739,0,grow,2,,1778415853.6367207
hpo-ccb43739,1,grow,,1778416454.1905868,
hpo-417bb2bd,2,grow,,1778416454.1905868,
hpo-417bb2bd,2,grow,0,,1778416454.2366152
hpo-ccb43739,1,shrink,1,,1778416454.2625387
hpo-73120874,1,grow,,1778416711.5908906,
hpo-a87b8123,2,grow,,1778416711.5908906,
hpo-a87b8123,2,grow,0,,1778416711.6377485
hpo-73120874,1,grow,0,,1778416711.665072
hpo-df19b440,0,grow,,1778417026.9294598,
hpo-df19b440,0,grow,0,,1778417026.9615545
hpo-ccb43739,2,grow,,1778417627.411191,
hpo-ccb43739,2,grow,0,,1778417627.444803
hpo-df19b440,1,grow,,1778418438.0712054,
hpo-df19b440,1,grow,0,,1778418438.1042664
hpo-73120874,2,grow,,1778419699.1594434,
hpo-73120874,2,grow,0,,1778419699.197543
hpo-ccb43739,3,grow,,1778419789.302232,
hpo-ccb43739,3,grow,0,,1778419789.337668
hpo-df19b440,2,grow,,1778420780.2670293,
hpo-df19b440,2,grow,0,,1778420780.305401
hpo-df19b440,3,grow,,1778423512.5755467,
hpo-df19b440,3,grow,0,,1778423512.609785
hpo-73120874,3,grow,,1778424803.661033,
hpo-73120874,3,grow,0,,1778424803.700191
hpo-df19b440,4,grow,,1778428256.8351238,
hpo-df19b440,4,grow,0,,1778428256.8706882
