,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(5, 30, 390), (2, 390, None), (6, 3840, None), (7, 4650, None), (10, 5280, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,65.35706137348848,30,5760.1461313637155,True,96.8336729207942,111.69228269282227,14.858609772028075
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(3, 1230, 4710), (1, 4710, None)]}",309.54978900857253,128710.0161045791,1230,1224.778435498,1,27.78918548939083,1230,70492.742,True,212.89538778614343,243.81133194134344,30.9159441552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(4, 6600, 11070), (1, 11070, None)]}",330.5774711754339,133948.9731789958,6600,6591.018116953001,1,47.25302304357746,6600,27431.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(5, 6630, None)]}",295.26855467250385,134226.9707174012,6630,6607.3019814280005,1,215.22099931553728,6630,26089.311840722996,True,256.02410437638434,295.4875887893706,39.46348441298623
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(2, 6660, None)]}",293.5168981771201,134402.27612246622,6660,6615.432331807001,3,9.126169290440338,6660,33094.367999999995,True,80.41483915126624,101.85839847286623,21.443559321599995
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(4, 7170, None), (6, 8430, None)]}",57.825321252479114,21330.609807549044,7170,7167.866537176001,3,7.665982203969882,7170,8723.835000000001,True,12.13529545973079,15.371314219730793,3.236018760000004
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(6, 7200, None)]}",310.4901833144852,135042.10106156996,7200,7190.683006588,3,,7200,23085.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(4, 7800, None), (4, 29729.112, None)]}",281.9460745575701,135740.42386973862,7800,7779.1494385450005,1,263.5292849646361,7800,33884.21642688991,True,319.6642785516308,368.72455270480316,49.06027415317237
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(2, 7830, None), (7, 10920, None), (8, 12360, None)]}",91.00759406898061,38851.81451556964,7830,7806.998016316001,3,29.112480036504675,7830,13302.116981621522,True,53.4732507225886,67.73251973426532,14.259269011676722
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(6, 8400, 9690), (1, 9690, None), (5, 11250, None), (4, 11910, None)]}",88.24903114605627,39604.52727422673,8400,8396.104498678002,3,32.03285420944558,8400,13473.626,True,43.95202677009658,55.67234982609658,11.720323056
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(3, 8430, 9390), (2, 9390, None), (7, 13680, None)]}",98.97570184637311,39748.745314506756,8430,8391.931821286002,3,17.430983344741044,8430,18101.89826471031,True,77.96347156801703,98.75334499351555,20.78987342549852
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(2, 8460, None)]}",310.3508838593914,136213.04356423646,8460,8404.507630075002,3,6.114533424595026,8460,38368.530999999995,True,90.98343904479425,115.24523939199425,24.261800347199994
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(6, 8490, 10500), (2, 10500, None)]}",308.5846884800438,136521.28724091314,8490,8421.073484782002,2,8.686918223226783,8490,15973.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(2, 9000, None)]}",89.7921856815224,40229.834461667764,9000,8981.105433882502,1,28.510152863335616,9000,20825.115999999998,True,63.851489542931006,73.444023642131,9.592534099199998
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x113b9fe00>: [(2, 9030, None)]}",300.8642397517245,136435.88482048613,9030,9020.448463585,3,,9030,43667.921,True,105.37051030496615,133.46879182016613,28.0982815152
