Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763926862.870914,ANSYS,6700,0,0.0
1763926862.870914,ABAQUS,2200,0,0.0
1763926862.870914,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1069,15.955223880597014
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,999,14.910447761194028
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,936,12.31578947368421
9600.0,ANSYS,6700,1846,27.55223880597015
9600.0,ABAQUS,2200,466,21.181818181818183
9600.0,LSDYNA,7600,2592,34.10526315789474
10800.0,ANSYS,6700,2333,34.820895522388064
10800.0,ABAQUS,2200,683,31.045454545454543
10800.0,LSDYNA,7600,4280,56.315789473684205
12000.0,ANSYS,6700,2570,38.35820895522388
12000.0,ABAQUS,2200,799,36.31818181818181
12000.0,LSDYNA,7600,4016,52.84210526315789
13200.0,ANSYS,6700,2541,37.92537313432836
13200.0,ABAQUS,2200,924,42.0
13200.0,LSDYNA,7600,3608,47.473684210526315
14400.0,ANSYS,6700,2967,44.28358208955224
14400.0,ABAQUS,2200,928,42.18181818181818
14400.0,LSDYNA,7600,3416,44.94736842105263
15600.0,ANSYS,6700,2922,43.61194029850746
15600.0,ABAQUS,2200,1132,51.45454545454545
15600.0,LSDYNA,7600,3008,39.578947368421055
16800.0,ANSYS,6700,3063,45.71641791044776
16800.0,ABAQUS,2200,959,43.59090909090909
16800.0,LSDYNA,7600,3552,46.73684210526316
18000.0,ANSYS,6700,3358,50.11940298507462
18000.0,ABAQUS,2200,918,41.72727272727273
18000.0,LSDYNA,7600,3600,47.368421052631575
19200.0,ANSYS,6700,3952,58.985074626865675
19200.0,ABAQUS,2200,743,33.77272727272727
19200.0,LSDYNA,7600,3552,46.73684210526316
20400.0,ANSYS,6700,4080,60.895522388059696
20400.0,ABAQUS,2200,708,32.18181818181819
20400.0,LSDYNA,7600,3840,50.526315789473685
21600.0,ANSYS,6700,3561,53.14925373134328
21600.0,ABAQUS,2200,712,32.36363636363636
21600.0,LSDYNA,7600,3808,50.10526315789474
22800.0,ANSYS,6700,3532,52.71641791044777
22800.0,ABAQUS,2200,885,40.22727272727273
22800.0,LSDYNA,7600,3424,45.05263157894737
24000.0,ANSYS,6700,3151,47.02985074626866
24000.0,ABAQUS,2200,931,42.31818181818181
24000.0,LSDYNA,7600,3720,48.94736842105264
25200.0,ANSYS,6700,3135,46.7910447761194
25200.0,ABAQUS,2200,800,36.36363636363637
25200.0,LSDYNA,7600,3936,51.78947368421053
26400.0,ANSYS,6700,3151,47.02985074626866
26400.0,ABAQUS,2200,871,39.59090909090909
26400.0,LSDYNA,7600,3696,48.63157894736842
27600.0,ANSYS,6700,3138,46.83582089552239
27600.0,ABAQUS,2200,892,40.54545454545455
27600.0,LSDYNA,7600,4064,53.473684210526315
28800.0,ANSYS,6700,3026,45.16417910447761
28800.0,ABAQUS,2200,708,32.18181818181819
28800.0,LSDYNA,7600,4448,58.526315789473685
30000.0,ANSYS,6700,2965,44.25373134328358
30000.0,ABAQUS,2200,802,36.45454545454545
30000.0,LSDYNA,7600,4640,61.05263157894737
31200.0,ANSYS,6700,3034,45.28358208955224
31200.0,ABAQUS,2200,798,36.27272727272727
31200.0,LSDYNA,7600,4160,54.736842105263165
32400.0,ANSYS,6700,3226,48.149253731343286
32400.0,ABAQUS,2200,772,35.090909090909086
32400.0,LSDYNA,7600,4208,55.368421052631575
33600.0,ANSYS,6700,3321,49.56716417910448
33600.0,ABAQUS,2200,828,37.63636363636363
33600.0,LSDYNA,7600,4144,54.52631578947369
34800.0,ANSYS,6700,3539,52.82089552238806
34800.0,ABAQUS,2200,762,34.63636363636364
34800.0,LSDYNA,7600,3712,48.84210526315789
36000.0,ANSYS,6700,3347,49.95522388059702
36000.0,ABAQUS,2200,843,38.31818181818182
36000.0,LSDYNA,7600,4024,52.94736842105263
37200.0,ANSYS,6700,3281,48.97014925373134
37200.0,ABAQUS,2200,765,34.77272727272727
37200.0,LSDYNA,7600,3832,50.421052631578945
38400.0,ANSYS,6700,2794,41.701492537313435
38400.0,ABAQUS,2200,842,38.27272727272727
38400.0,LSDYNA,7600,4016,52.84210526315789
39600.0,ANSYS,6700,2528,37.73134328358209
39600.0,ABAQUS,2200,905,41.13636363636364
39600.0,LSDYNA,7600,3648,48.0
40800.0,ANSYS,6700,2949,44.014925373134325
40800.0,ABAQUS,2200,824,37.45454545454546
40800.0,LSDYNA,7600,4176,54.94736842105263
42000.0,ANSYS,6700,2949,44.014925373134325
42000.0,ABAQUS,2200,777,35.31818181818182
42000.0,LSDYNA,7600,4256,56.00000000000001
43200.0,ANSYS,6700,3110,46.417910447761194
43200.0,ABAQUS,2200,724,32.90909090909091
43200.0,LSDYNA,7600,4160,54.736842105263165
44400.0,ANSYS,6700,3158,47.134328358208954
44400.0,ABAQUS,2200,634,28.81818181818182
44400.0,LSDYNA,7600,4592,60.421052631578945
45600.0,ANSYS,6700,3299,49.23880597014925
45600.0,ABAQUS,2200,589,26.77272727272727
45600.0,LSDYNA,7600,4640,61.05263157894737
46800.0,ANSYS,6700,3725,55.59701492537313
46800.0,ABAQUS,2200,610,27.727272727272727
46800.0,LSDYNA,7600,4080,53.68421052631579
48000.0,ANSYS,6700,3376,50.38805970149254
48000.0,ABAQUS,2200,622,28.272727272727273
48000.0,LSDYNA,7600,4096,53.89473684210526
49200.0,ANSYS,6700,3424,51.104477611940304
49200.0,ABAQUS,2200,729,33.13636363636363
49200.0,LSDYNA,7600,3712,48.84210526315789
50400.0,ANSYS,6700,3017,45.02985074626866
50400.0,ABAQUS,2200,832,37.81818181818182
50400.0,LSDYNA,7600,3856,50.73684210526316
51600.0,ANSYS,6700,2924,43.64179104477612
51600.0,ABAQUS,2200,992,45.09090909090909
51600.0,LSDYNA,7600,3792,49.89473684210527
52800.0,ANSYS,6700,2649,39.537313432835816
52800.0,ABAQUS,2200,1062,48.27272727272727
52800.0,LSDYNA,7600,3904,51.368421052631575
54000.0,ANSYS,6700,2957,44.134328358208954
54000.0,ABAQUS,2200,1143,51.95454545454545
54000.0,LSDYNA,7600,3592,47.26315789473684
55200.0,ANSYS,6700,2983,44.52238805970149
55200.0,ABAQUS,2200,1129,51.31818181818182
55200.0,LSDYNA,7600,3872,50.94736842105263
56400.0,ANSYS,6700,3031,45.23880597014925
56400.0,ABAQUS,2200,1094,49.72727272727273
56400.0,LSDYNA,7600,3824,50.31578947368421
57600.0,ANSYS,6700,3316,49.49253731343284
57600.0,ABAQUS,2200,1143,51.95454545454545
57600.0,LSDYNA,7600,3480,45.78947368421053
58800.0,ANSYS,6700,3054,45.582089552238806
58800.0,ABAQUS,2200,1148,52.18181818181819
58800.0,LSDYNA,7600,3792,49.89473684210527
60000.0,ANSYS,6700,2960,44.17910447761194
60000.0,ABAQUS,2200,1148,52.18181818181819
60000.0,LSDYNA,7600,4080,53.68421052631579
61200.0,ANSYS,6700,2961,44.19402985074627
61200.0,ABAQUS,2200,1148,52.18181818181819
61200.0,LSDYNA,7600,4440,58.42105263157895
62400.0,ANSYS,6700,3054,45.582089552238806
62400.0,ABAQUS,2200,1082,49.18181818181818
62400.0,LSDYNA,7600,4880,64.21052631578948
63600.0,ANSYS,6700,2936,43.82089552238806
63600.0,ABAQUS,2200,1117,50.772727272727266
63600.0,LSDYNA,7600,4640,61.05263157894737
64800.0,ANSYS,6700,3458,51.61194029850746
64800.0,ABAQUS,2200,1123,51.04545454545455
64800.0,LSDYNA,7600,4520,59.473684210526315
66000.0,ANSYS,6700,3339,49.83582089552239
66000.0,ABAQUS,2200,1167,53.04545454545454
66000.0,LSDYNA,7600,4496,59.15789473684211
67200.0,ANSYS,6700,3624,54.08955223880597
67200.0,ABAQUS,2200,1141,51.86363636363637
67200.0,LSDYNA,7600,4424,58.21052631578948
68400.0,ANSYS,6700,3435,51.268656716417915
68400.0,ABAQUS,2200,1128,51.272727272727266
68400.0,LSDYNA,7600,4424,58.21052631578948
69600.0,ANSYS,6700,3294,49.16417910447761
69600.0,ABAQUS,2200,1097,49.86363636363637
69600.0,LSDYNA,7600,4712,62.0
70800.0,ANSYS,6700,3579,53.417910447761194
70800.0,ABAQUS,2200,1062,48.27272727272727
70800.0,LSDYNA,7600,4712,62.0
72000.0,ANSYS,6700,3579,53.417910447761194
72000.0,ABAQUS,2200,1014,46.09090909090909
72000.0,LSDYNA,7600,5048,66.42105263157895
73200.0,ANSYS,6700,3461,51.65671641791045
73200.0,ABAQUS,2200,973,44.22727272727273
73200.0,LSDYNA,7600,5384,70.84210526315789
74400.0,ANSYS,6700,3510,52.38805970149254
74400.0,ABAQUS,2200,1104,50.18181818181818
74400.0,LSDYNA,7600,5120,67.36842105263158
75600.0,ANSYS,6700,3510,52.38805970149254
75600.0,ABAQUS,2200,1058,48.090909090909086
75600.0,LSDYNA,7600,5264,69.26315789473684
76800.0,ANSYS,6700,3510,52.38805970149254
76800.0,ABAQUS,2200,1030,46.81818181818182
76800.0,LSDYNA,7600,5384,70.84210526315789
78000.0,ANSYS,6700,3508,52.35820895522389
78000.0,ABAQUS,2200,982,44.63636363636363
78000.0,LSDYNA,7600,5408,71.15789473684211
79200.0,ANSYS,6700,3508,52.35820895522389
79200.0,ABAQUS,2200,947,43.04545454545455
79200.0,LSDYNA,7600,5408,71.15789473684211
80400.0,ANSYS,6700,3508,52.35820895522389
80400.0,ABAQUS,2200,998,45.36363636363636
80400.0,LSDYNA,7600,5312,69.89473684210526
81600.0,ANSYS,6700,3271,48.82089552238806
81600.0,ABAQUS,2200,1130,51.36363636363637
81600.0,LSDYNA,7600,4992,65.6842105263158
82800.0,ANSYS,6700,3717,55.47761194029851
82800.0,ABAQUS,2200,1042,47.36363636363636
82800.0,LSDYNA,7600,4920,64.73684210526316
84000.0,ANSYS,6700,3788,56.53731343283582
84000.0,ABAQUS,2200,1007,45.77272727272727
84000.0,LSDYNA,7600,5064,66.63157894736842
85200.0,ANSYS,6700,4028,60.11940298507462
85200.0,ABAQUS,2200,982,44.63636363636363
85200.0,LSDYNA,7600,4704,61.89473684210526
86400.0,ANSYS,6700,3982,59.43283582089553
86400.0,ABAQUS,2200,1033,46.95454545454545
86400.0,LSDYNA,7600,4944,65.05263157894737
87600.0,ANSYS,6700,4171,62.25373134328358
87600.0,ABAQUS,2200,1087,49.40909090909091
87600.0,LSDYNA,7600,4592,60.421052631578945
88800.0,ANSYS,6700,4078,60.86567164179104
88800.0,ABAQUS,2200,1087,49.40909090909091
88800.0,LSDYNA,7600,4688,61.68421052631579
90000.0,ANSYS,6700,3770,56.26865671641791
90000.0,ABAQUS,2200,1046,47.54545454545455
90000.0,LSDYNA,7600,4976,65.47368421052632
91200.0,ANSYS,6700,3364,50.2089552238806
91200.0,ABAQUS,2200,1046,47.54545454545455
91200.0,LSDYNA,7600,5216,68.63157894736842
92400.0,ANSYS,6700,3530,52.68656716417911
92400.0,ABAQUS,2200,1046,47.54545454545455
92400.0,LSDYNA,7600,4880,64.21052631578948
93600.0,ANSYS,6700,4100,61.19402985074627
93600.0,ABAQUS,2200,1092,49.63636363636363
93600.0,LSDYNA,7600,4160,54.736842105263165
94800.0,ANSYS,6700,4197,62.64179104477612
94800.0,ABAQUS,2200,1102,50.090909090909086
94800.0,LSDYNA,7600,4328,56.94736842105264
96000.0,ANSYS,6700,4197,62.64179104477612
96000.0,ABAQUS,2200,1047,47.590909090909086
96000.0,LSDYNA,7600,4304,56.631578947368425
97200.0,ANSYS,6700,3888,58.02985074626865
97200.0,ABAQUS,2200,1102,50.090909090909086
97200.0,LSDYNA,7600,4448,58.526315789473685
98400.0,ANSYS,6700,3863,57.656716417910445
98400.0,ABAQUS,2200,1157,52.590909090909086
98400.0,LSDYNA,7600,4304,56.631578947368425
99600.0,ANSYS,6700,4194,62.59701492537313
99600.0,ABAQUS,2200,1122,51.0
99600.0,LSDYNA,7600,4376,57.578947368421055
100800.0,ANSYS,6700,4101,61.2089552238806
100800.0,ABAQUS,2200,1152,52.36363636363637
100800.0,LSDYNA,7600,4376,57.578947368421055
102000.0,ANSYS,6700,4148,61.910447761194035
102000.0,ABAQUS,2200,1152,52.36363636363637
102000.0,LSDYNA,7600,4472,58.8421052631579
103200.0,ANSYS,6700,3983,59.447761194029844
103200.0,ABAQUS,2200,1124,51.090909090909086
103200.0,LSDYNA,7600,4472,58.8421052631579
104400.0,ANSYS,6700,4124,61.55223880597015
104400.0,ABAQUS,2200,1165,52.95454545454545
104400.0,LSDYNA,7600,4328,56.94736842105264
105600.0,ANSYS,6700,4313,64.3731343283582
105600.0,ABAQUS,2200,1171,53.22727272727272
105600.0,LSDYNA,7600,3960,52.10526315789473
106800.0,ANSYS,6700,4407,65.77611940298507
106800.0,ABAQUS,2200,1147,52.13636363636363
106800.0,LSDYNA,7600,3912,51.473684210526315
108000.0,ANSYS,6700,4407,65.77611940298507
108000.0,ABAQUS,2200,1147,52.13636363636363
108000.0,LSDYNA,7600,3912,51.473684210526315
109200.0,ANSYS,6700,4090,61.04477611940299
109200.0,ABAQUS,2200,1127,51.227272727272734
109200.0,LSDYNA,7600,4280,56.315789473684205
110400.0,ANSYS,6700,4090,61.04477611940299
110400.0,ABAQUS,2200,1092,49.63636363636363
110400.0,LSDYNA,7600,4376,57.578947368421055
111600.0,ANSYS,6700,3947,58.91044776119403
111600.0,ABAQUS,2200,1113,50.590909090909086
111600.0,LSDYNA,7600,4184,55.05263157894736
112800.0,ANSYS,6700,3899,58.19402985074626
112800.0,ABAQUS,2200,1157,52.590909090909086
112800.0,LSDYNA,7600,4136,54.421052631578945
114000.0,ANSYS,6700,4136,61.731343283582085
114000.0,ABAQUS,2200,1117,50.772727272727266
114000.0,LSDYNA,7600,4232,55.684210526315795
115200.0,ANSYS,6700,4136,61.731343283582085
115200.0,ABAQUS,2200,1117,50.772727272727266
115200.0,LSDYNA,7600,4232,55.684210526315795
116400.0,ANSYS,6700,4184,62.44776119402985
116400.0,ABAQUS,2200,1019,46.31818181818182
116400.0,LSDYNA,7600,4616,60.73684210526316
117600.0,ANSYS,6700,4113,61.38805970149254
117600.0,ABAQUS,2200,1019,46.31818181818182
117600.0,LSDYNA,7600,4448,58.526315789473685
118800.0,ANSYS,6700,4068,60.71641791044776
118800.0,ABAQUS,2200,1019,46.31818181818182
118800.0,LSDYNA,7600,4544,59.78947368421053
120000.0,ANSYS,6700,4068,60.71641791044776
120000.0,ABAQUS,2200,988,44.90909090909091
120000.0,LSDYNA,7600,4544,59.78947368421053
121200.0,ANSYS,6700,4212,62.865671641791046
121200.0,ABAQUS,2200,988,44.90909090909091
121200.0,LSDYNA,7600,4448,58.526315789473685
122400.0,ANSYS,6700,4257,63.537313432835816
122400.0,ABAQUS,2200,947,43.04545454545455
122400.0,LSDYNA,7600,4400,57.89473684210527
123600.0,ANSYS,6700,4066,60.68656716417911
123600.0,ABAQUS,2200,993,45.13636363636363
123600.0,LSDYNA,7600,4352,57.263157894736835
124800.0,ANSYS,6700,3899,58.19402985074626
124800.0,ABAQUS,2200,993,45.13636363636363
124800.0,LSDYNA,7600,4352,57.263157894736835
126000.0,ANSYS,6700,3899,58.19402985074626
126000.0,ABAQUS,2200,987,44.86363636363636
126000.0,LSDYNA,7600,4352,57.263157894736835
127200.0,ANSYS,6700,3732,55.701492537313435
127200.0,ABAQUS,2200,983,44.68181818181819
127200.0,LSDYNA,7600,4160,54.736842105263165
128400.0,ANSYS,6700,3732,55.701492537313435
128400.0,ABAQUS,2200,1024,46.54545454545455
128400.0,LSDYNA,7600,4160,54.736842105263165
129600.0,ANSYS,6700,4017,59.95522388059702
129600.0,ABAQUS,2200,1019,46.31818181818182
129600.0,LSDYNA,7600,3968,52.21052631578947
130800.0,ANSYS,6700,3684,54.98507462686567
130800.0,ABAQUS,2200,1021,46.409090909090914
130800.0,LSDYNA,7600,4208,55.368421052631575
132000.0,ANSYS,6700,3495,52.16417910447761
132000.0,ABAQUS,2200,1037,47.13636363636364
132000.0,LSDYNA,7600,4352,57.263157894736835
133200.0,ANSYS,6700,3306,49.343283582089555
133200.0,ABAQUS,2200,1083,49.22727272727273
133200.0,LSDYNA,7600,4256,56.00000000000001
134400.0,ANSYS,6700,3636,54.26865671641791
134400.0,ABAQUS,2200,1088,49.45454545454545
134400.0,LSDYNA,7600,3968,52.21052631578947
135600.0,ANSYS,6700,3636,54.26865671641791
135600.0,ABAQUS,2200,1088,49.45454545454545
135600.0,LSDYNA,7600,3840,50.526315789473685
136800.0,ANSYS,6700,3469,51.776119402985074
136800.0,ABAQUS,2200,1117,50.772727272727266
136800.0,LSDYNA,7600,3984,52.421052631578945
138000.0,ANSYS,6700,3546,52.92537313432836
138000.0,ABAQUS,2200,1025,46.590909090909086
138000.0,LSDYNA,7600,3832,50.421052631578945
139200.0,ANSYS,6700,3309,49.38805970149254
139200.0,ABAQUS,2200,1105,50.227272727272734
139200.0,LSDYNA,7600,3832,50.421052631578945
140400.0,ANSYS,6700,2979,44.46268656716418
140400.0,ABAQUS,2200,1151,52.31818181818182
140400.0,LSDYNA,7600,3976,52.31578947368421
141600.0,ANSYS,6700,3282,48.98507462686567
141600.0,ABAQUS,2200,1043,47.409090909090914
141600.0,LSDYNA,7600,3712,48.84210526315789
142800.0,ANSYS,6700,3426,51.13432835820896
142800.0,ABAQUS,2200,965,43.86363636363637
142800.0,LSDYNA,7600,3264,42.94736842105264
144000.0,ANSYS,6700,2814,42.0
144000.0,ABAQUS,2200,965,43.86363636363637
144000.0,LSDYNA,7600,3024,39.78947368421053
145200.0,ANSYS,6700,2719,40.582089552238806
145200.0,ABAQUS,2200,879,39.95454545454545
145200.0,LSDYNA,7600,2688,35.368421052631575
146400.0,ANSYS,6700,2293,34.223880597014926
146400.0,ABAQUS,2200,879,39.95454545454545
146400.0,LSDYNA,7600,2688,35.368421052631575
147600.0,ANSYS,6700,2031,30.313432835820898
147600.0,ABAQUS,2200,735,33.409090909090914
147600.0,LSDYNA,7600,2688,35.368421052631575
148800.0,ANSYS,6700,1723,25.71641791044776
148800.0,ABAQUS,2200,560,25.454545454545453
148800.0,LSDYNA,7600,2064,27.157894736842103
150000.0,ANSYS,6700,1556,23.223880597014926
150000.0,ABAQUS,2200,422,19.18181818181818
150000.0,LSDYNA,7600,1920,25.263157894736842
151200.0,ANSYS,6700,1024,15.283582089552239
151200.0,ABAQUS,2200,422,19.18181818181818
151200.0,LSDYNA,7600,1584,20.842105263157894
152400.0,ANSYS,6700,694,10.358208955223882
152400.0,ABAQUS,2200,387,17.59090909090909
152400.0,LSDYNA,7600,1264,16.63157894736842
153600.0,ANSYS,6700,694,10.358208955223882
153600.0,ABAQUS,2200,350,15.909090909090908
153600.0,LSDYNA,7600,832,10.947368421052632
154800.0,ANSYS,6700,540,8.059701492537313
154800.0,ABAQUS,2200,38,1.7272727272727273
154800.0,LSDYNA,7600,192,2.526315789473684
156000.0,ANSYS,6700,0,0.0
156000.0,ABAQUS,2200,0,0.0
156000.0,LSDYNA,7600,96,1.263157894736842
157200.0,ANSYS,6700,0,0.0
157200.0,ABAQUS,2200,0,0.0
157200.0,LSDYNA,7600,96,1.263157894736842
158400.0,ANSYS,6700,0,0.0
158400.0,ABAQUS,2200,0,0.0
