,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(3, 1230.4, None)]}",309.54978900857253,128702.7693954191,1230.4,1217.531726338,1,198.5592961441935,1230.4,26095.697000000004,True,228.8153895337935,30.256093389600004
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(4, 6600.8, None)]}",57.825321252479114,20752.964565258044,6600.8,6590.221294885001,3,9.453707506274235,6600.8,8154.634999999999,True,11.974649410274234,2.5209419039999985
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(4, 6630.8, None)]}",330.5774711754339,133938.2543426393,6630.8,6580.2992805965005,1,105.10129439501105,6630.8,16573.08,True,121.23164946701105,16.130355072000004
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(5, 6660.8, None)]}",295.26855467250385,134203.3232286567,6660.8,6583.6544926835,1,305.470127302079,6660.8,29878.29539823721,True,352.55520796970404,47.08508066762506
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(2, 6690.8, None)]}",293.5168981771201,134374.85502080622,6690.8,6588.011230147001,3,43.52488858468325,6690.8,20998.519,True,55.13131023748325,11.6064216528
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(6, 7230.8, None)]}",310.4901833144852,135065.16310842597,7230.8,7213.745053444001,3,144.97091489847134,7230.8,23115.987999999998,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(4, 7260.8, None)]}",281.9460745575701,135189.3687302476,7260.8,7228.094299054002,1,198.55560658605214,7260.8,26043.588999999996,True,229.02880345965212,30.473196873599996
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(2, 7800.8, None)]}",91.00759406898061,38831.14500527764,7800.8,7786.328506024001,3,13.371699749030348,7800.8,12196.412000000002,True,16.93742020343035,3.5657204544000014
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(6, 7830.8, None)]}",88.24903114605627,39025.49674451973,7830.8,7817.073968971001,3,43.23320100387863,7830.8,12568.078000000001,True,54.76184074467863,11.528639740800003
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(3, 7861.0, None)]}",98.97570184637311,39166.15103446276,7861.0,7809.337541242001,3,26.54268765685603,7861.0,13677.83,True,33.62060640085603,7.077918744000001
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(3, 8401.2, None)]}",322.3613792231315,136100.70903347436,8401.2,8393.550169664,2,54.57347707797026,8401.2,25319.106000000003,True,75.15918509877027,20.585708020800006
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(2, 8431.2, None)]}",89.7921856815224,39660.931769002265,8431.2,8412.202741217001,1,32.77416053522656,8431.2,14500.882209544987,True,37.69788674360945,4.9237262083828925
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(3, 8461.400000000001, None)]}",317.6420201174764,135996.67455789464,8461.400000000001,8427.610401503001,2,76.01885339766163,8461.400000000001,32027.423000000006,True,104.69399018406163,28.675136786400007
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(2, 8491.400000000001, None)]}",310.3508838593914,136194.32667318446,8491.400000000001,8385.790739023001,3,44.29921971252567,8491.400000000001,23053.661000000004,True,56.11212583572567,11.812906123200001
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(6, 8521.400000000001, None)]}",308.5846884800438,136492.76392579515,8521.400000000001,8392.550169664,2,23.87000465262966,8521.400000000001,14044.499000000002,True,37.31101837902966,13.441013726400001
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x13aac78c0>: [(2, 9001.800000000003, None)]}",300.8642397517245,136397.1996582951,9001.800000000003,8981.763301394001,3,104.80772986538899,9001.800000000003,43454.721000000005,True,132.75593938058898,27.948209515200002
