,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(5, 30, 390), (2, 390, None), (6, 3840, None), (7, 4650, None), (10, 5280, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,65.35706137348848,30,5760.1461313637155,True,96.8336729207942,111.69228269282227,14.858609772028075
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(3, 60, 3540), (1, 3540, None)]}",309.54978900857253,127501.39838382411,60,16.160714743,1,27.78918548939083,60,69322.742,True,212.89538778614343,243.81133194134344,30.9159441552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(4, 1230, 5700), (1, 5700, None)]}",330.5774711754339,128577.85816050881,1230,1219.903098466,1,47.25302304357746,1230,22061.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(5, 1260, 6720), (2, 6720, None)]}",295.26855467250385,128869.59482366119,1260,1249.926087688,1,71.83664156970111,1260,26786.858999999997,True,180.1906600501939,207.5417760709939,27.3511160208
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(4, 6630, None), (6, 7890, None)]}",57.825321252479114,20782.723283055046,6630,6619.980012682,3,7.665982203969882,6630,8183.834999999999,True,12.135295459730763,15.37131421973076,3.2360187599999963
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 6660, None), (7, 9750, None)]}",91.00759406898061,37694.99619952664,6660,6650.179700273,3,9.399954369153546,6660,12507.051999999998,True,47.14193931097419,59.71288993177418,12.57095062079999
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 6690, None)]}",293.5168981771201,134398.8058312252,6690,6611.962040566,3,9.126169290440338,6690,33124.367999999995,True,80.41483915126624,101.85839847286623,21.443559321599995
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(6, 6720, None)]}",310.4901833144852,134472.39806766398,6720,6620.980012682,3,,6720,22605.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(4, 6750, None)]}",281.9460745575701,134584.31413067662,6750,6623.039699483,1,,6750,33334.424999999996,True,281.0278405201916,324.1584116401916,43.13057111999999
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(6, 7230, 8520), (1, 8520, None)]}",88.24903114605627,38413.29636690974,7230,7204.873591361,3,11.772758384668034,7230,20693.818000000003,True,30.289479047836338,38.366523628636344,8.077044580800003
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(3, 7260, 8220), (2, 8220, None)]}",98.97570184637311,38558.86999449476,7260,7202.056501274,3,4.380561259411362,7260,23921.699999999993,True,52.14601870864702,66.05136574864702,13.905347039999993
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 7290, None)]}",310.3508838593914,135016.73315155745,7290,7208.197217396,3,6.114533424595026,7290,37198.530999999995,True,90.98343904479425,115.24523939199425,24.261800347199994
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 7830, None)]}",89.7921856815224,39063.774508979266,7830,7815.045481194,1,,7830,19860.115999999998,True,64.95841782645067,74.71724792565067,9.758830099199999
lamf-test-decf70b3-3bab-4cf4-b55a-9508b27560e7,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(3, 7860, None)]}",317.6420201174764,135423.37008449066,7860,7854.305928099,2,,7860,31611.023000000005,True,76.61562307231429,105.5158678587143,28.90024478640001
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(3, 7890, 9900), (1, 9900, None)]}",322.3613792231315,135521.20434500434,7890,7814.045481194,2,6.483821870550658,7890,39854.176,True,67.26193669825952,81.85711848385952,14.595181785600001
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(6, 7920, 9930), (2, 9930, None)]}",308.5846884800438,135910.41147267114,7920,7810.19771654,2,8.686918223226783,7920,15403.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-17be3ad6-6cd4-4c64-93c6-3fc4d170d157,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 8430, None), (4, 10140, None), (6, 10590, None)]}",64.77903730143166,22391.36988754735,8430,8416.997868132,2,7.510867224427534,8430,12104.282996615513,True,23.687166306569154,33.53975650769618,9.852590201127025
lamf-test-ee649544-0852-4484-9313-a2ec39aaf5e5,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(4, 8460, None)]}",94.51083597672981,39488.865559692895,8460,8458.512978558,1,,8460,14336.974000000002,True,62.126350749106415,71.66115336670642,9.534802617600002
lamf-test-410c24b3-e037-404b-8fa3-3b9be7b4adaa,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(5, 8490, 9960), (1, 9960, None)]}",105.56808496111117,39581.70144446528,8490,8425.044619341,3,11.179557380789413,8490,11553.282,True,13.602984257357972,17.23037943655797,3.627395179199999
lamf-test-17aa2292-304e-4763-ab73-533f31d66f3d,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(5, 8520, 9810), (2, 9810, None)]}",100.9864715008785,39583.30912061949,8520,8413.576630671001,2,5.162319741998986,8520,14456.408,True,17.793439381213062,24.178725550813063,6.3852861696
lamf-test-1faee22d-4d95-436a-a021-6148365dd51b,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 8550, None)]}",300.8642397517245,135818.8176684631,8550,8403.381311562,3,,8550,43187.921,True,105.37051030496615,133.46879182016613,28.0982815152
lamf-test-585c2356-1279-476b-b41a-cbdb8ebd0ee3,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(4, 8580, None)]}",290.6639501784463,135984.0368163479,8580,8410.151087967,2,,8580,22096.760999999995,True,49.23022256846524,71.15981561486522,21.92959304639999
lamf-test-dbfc6e86-f385-4c1b-a2d1-36902c12232e,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(2, 8610, None)]}",332.81097832014945,136236.64861258303,8610,8436.545020386,3,,8610,54860.428,True,140.69641189444062,178.2147590880406,37.5183471936
lamf-test-3e8d9edc-8d07-4ff0-a6aa-1b9473f39dae,"{<resource_manager.instance.OnPremInstance object at 0x117d73cb0>: [(5, 9030, 10050), (1, 10050, None)]}",46.55013787044631,23206.148730278383,9030,9019.270870598999,1,15.44604152407027,9030,19420.518,True,39.78775313712069,45.65699523792069,5.869242100799999
