Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763814097.3143392,ANSYS,6700,0,0.0
1763814097.3143392,ABAQUS,2200,0,0.0
1763814097.3143392,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,237,3.537313432835821
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,378,5.641791044776119
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,141,2.1044776119402986
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,141,2.1044776119402986
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,141,2.1044776119402986
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,567,8.46268656716418
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,96,1.263157894736842
8400.0,ANSYS,6700,756,11.283582089552239
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,816,10.73684210526316
9600.0,ANSYS,6700,849,12.671641791044777
9600.0,ABAQUS,2200,183,8.318181818181818
9600.0,LSDYNA,7600,1104,14.526315789473685
10800.0,ANSYS,6700,1464,21.850746268656717
10800.0,ABAQUS,2200,361,16.40909090909091
10800.0,LSDYNA,7600,1776,23.36842105263158
12000.0,ANSYS,6700,1650,24.62686567164179
12000.0,ABAQUS,2200,417,18.954545454545453
12000.0,LSDYNA,7600,2112,27.789473684210524
13200.0,ANSYS,6700,1557,23.238805970149254
13200.0,ABAQUS,2200,448,20.363636363636363
13200.0,LSDYNA,7600,2944,38.73684210526316
14400.0,ANSYS,6700,2204,32.8955223880597
14400.0,ABAQUS,2200,538,24.454545454545453
14400.0,LSDYNA,7600,3264,42.94736842105264
15600.0,ANSYS,6700,2156,32.17910447761194
15600.0,ABAQUS,2200,676,30.727272727272727
15600.0,LSDYNA,7600,3048,40.10526315789474
16800.0,ANSYS,6700,2201,32.850746268656714
16800.0,ABAQUS,2200,786,35.72727272727273
16800.0,LSDYNA,7600,2952,38.8421052631579
18000.0,ANSYS,6700,2108,31.462686567164177
18000.0,ABAQUS,2200,881,40.04545454545455
18000.0,LSDYNA,7600,2760,36.31578947368421
19200.0,ANSYS,6700,2438,36.38805970149254
19200.0,ABAQUS,2200,882,40.090909090909086
19200.0,LSDYNA,7600,3416,44.94736842105263
20400.0,ANSYS,6700,3175,47.38805970149254
20400.0,ABAQUS,2200,948,43.09090909090909
20400.0,LSDYNA,7600,3592,47.26315789473684
21600.0,ANSYS,6700,3364,50.2089552238806
21600.0,ABAQUS,2200,937,42.59090909090909
21600.0,LSDYNA,7600,3504,46.10526315789474
22800.0,ANSYS,6700,3710,55.37313432835821
22800.0,ABAQUS,2200,914,41.54545454545455
22800.0,LSDYNA,7600,3552,46.73684210526316
24000.0,ANSYS,6700,3476,51.88059701492538
24000.0,ABAQUS,2200,1000,45.45454545454545
24000.0,LSDYNA,7600,3360,44.21052631578947
25200.0,ANSYS,6700,3415,50.97014925373134
25200.0,ABAQUS,2200,956,43.45454545454545
25200.0,LSDYNA,7600,3216,42.31578947368421
26400.0,ANSYS,6700,3953,59.0
26400.0,ABAQUS,2200,1194,54.27272727272727
26400.0,LSDYNA,7600,2496,32.8421052631579
27600.0,ANSYS,6700,4014,59.91044776119403
27600.0,ABAQUS,2200,1135,51.590909090909086
27600.0,LSDYNA,7600,2304,30.315789473684212
28800.0,ANSYS,6700,3870,57.76119402985075
28800.0,ABAQUS,2200,1060,48.18181818181818
28800.0,LSDYNA,7600,2592,34.10526315789474
30000.0,ANSYS,6700,3870,57.76119402985075
30000.0,ABAQUS,2200,1125,51.13636363636363
30000.0,LSDYNA,7600,2688,35.368421052631575
31200.0,ANSYS,6700,4155,62.01492537313433
31200.0,ABAQUS,2200,1175,53.40909090909091
31200.0,LSDYNA,7600,2544,33.473684210526315
32400.0,ANSYS,6700,4344,64.83582089552239
32400.0,ABAQUS,2200,1089,49.5
32400.0,LSDYNA,7600,2592,34.10526315789474
33600.0,ANSYS,6700,4344,64.83582089552239
33600.0,ABAQUS,2200,1089,49.5
33600.0,LSDYNA,7600,2432,32.0
34800.0,ANSYS,6700,4011,59.86567164179104
34800.0,ABAQUS,2200,1135,51.590909090909086
34800.0,LSDYNA,7600,2672,35.1578947368421
36000.0,ANSYS,6700,3300,49.25373134328358
36000.0,ABAQUS,2200,1211,55.04545454545454
36000.0,LSDYNA,7600,2528,33.26315789473684
37200.0,ANSYS,6700,2874,42.8955223880597
37200.0,ABAQUS,2200,1246,56.63636363636364
37200.0,LSDYNA,7600,2336,30.736842105263158
38400.0,ANSYS,6700,2778,41.462686567164184
38400.0,ABAQUS,2200,1058,48.090909090909086
38400.0,LSDYNA,7600,2928,38.526315789473685
39600.0,ANSYS,6700,2922,43.61194029850746
39600.0,ABAQUS,2200,1053,47.86363636363637
39600.0,LSDYNA,7600,2928,38.526315789473685
40800.0,ANSYS,6700,3143,46.91044776119403
40800.0,ABAQUS,2200,1053,47.86363636363637
40800.0,LSDYNA,7600,3208,42.21052631578948
42000.0,ANSYS,6700,3095,46.19402985074627
42000.0,ABAQUS,2200,883,40.13636363636364
42000.0,LSDYNA,7600,3632,47.78947368421053
43200.0,ANSYS,6700,2717,40.55223880597015
43200.0,ABAQUS,2200,796,36.18181818181818
43200.0,LSDYNA,7600,3632,47.78947368421053
44400.0,ANSYS,6700,2528,37.73134328358209
44400.0,ABAQUS,2200,690,31.363636363636367
44400.0,LSDYNA,7600,3200,42.10526315789473
45600.0,ANSYS,6700,2291,34.19402985074627
45600.0,ABAQUS,2200,618,28.09090909090909
45600.0,LSDYNA,7600,2912,38.315789473684205
46800.0,ANSYS,6700,2291,34.19402985074627
46800.0,ABAQUS,2200,618,28.09090909090909
46800.0,LSDYNA,7600,2912,38.315789473684205
48000.0,ANSYS,6700,2102,31.37313432835821
48000.0,ABAQUS,2200,537,24.409090909090907
48000.0,LSDYNA,7600,2912,38.315789473684205
49200.0,ANSYS,6700,2102,31.37313432835821
49200.0,ABAQUS,2200,537,24.409090909090907
49200.0,LSDYNA,7600,2672,35.1578947368421
50400.0,ANSYS,6700,2102,31.37313432835821
50400.0,ABAQUS,2200,537,24.409090909090907
50400.0,LSDYNA,7600,2672,35.1578947368421
51600.0,ANSYS,6700,2102,31.37313432835821
51600.0,ABAQUS,2200,451,20.5
51600.0,LSDYNA,7600,2432,32.0
52800.0,ANSYS,6700,1522,22.71641791044776
52800.0,ABAQUS,2200,405,18.409090909090907
52800.0,LSDYNA,7600,2432,32.0
54000.0,ANSYS,6700,1144,17.07462686567164
54000.0,ABAQUS,2200,359,16.318181818181817
54000.0,LSDYNA,7600,2264,29.789473684210527
55200.0,ANSYS,6700,1144,17.07462686567164
55200.0,ABAQUS,2200,273,12.409090909090908
55200.0,LSDYNA,7600,1976,26.0
56400.0,ANSYS,6700,958,14.298507462686565
56400.0,ABAQUS,2200,273,12.409090909090908
56400.0,LSDYNA,7600,1400,18.421052631578945
57600.0,ANSYS,6700,673,10.044776119402984
57600.0,ABAQUS,2200,273,12.409090909090908
57600.0,LSDYNA,7600,1256,16.526315789473685
58800.0,ANSYS,6700,532,7.940298507462687
58800.0,ABAQUS,2200,273,12.409090909090908
58800.0,LSDYNA,7600,1256,16.526315789473685
60000.0,ANSYS,6700,532,7.940298507462687
60000.0,ABAQUS,2200,273,12.409090909090908
60000.0,LSDYNA,7600,1256,16.526315789473685
61200.0,ANSYS,6700,532,7.940298507462687
61200.0,ABAQUS,2200,273,12.409090909090908
61200.0,LSDYNA,7600,1256,16.526315789473685
62400.0,ANSYS,6700,532,7.940298507462687
62400.0,ABAQUS,2200,273,12.409090909090908
62400.0,LSDYNA,7600,1112,14.631578947368421
63600.0,ANSYS,6700,532,7.940298507462687
63600.0,ABAQUS,2200,273,12.409090909090908
63600.0,LSDYNA,7600,1024,13.473684210526315
64800.0,ANSYS,6700,532,7.940298507462687
64800.0,ABAQUS,2200,273,12.409090909090908
64800.0,LSDYNA,7600,1024,13.473684210526315
66000.0,ANSYS,6700,532,7.940298507462687
