,instances,budget,deadline,sched_start_time,submit_time,software_id,license_cost,exec_start_time,finish_time,complete,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(5, 30, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,42.79413993459578,30,3282.602,True,49.39041679059578,6.596276855999999
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(3, 60, None)]}",309.54978900857253,127506.67298706711,60,21.435317986,1,135.68938626511522,60,17052.188,True,156.36548062351523,20.6760943584
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(4, 1200.4, None)]}",330.5774711754339,128539.5371679988,1200.4,1181.582105956,1,105.04843866453723,1200.4,11137.68,True,121.17068173653723,16.122243072
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(5, 1230.4, None)]}",295.26855467250385,128848.76800916118,1230.4,1229.099273188,1,228.61367807437827,1230.4,18606.361,True,263.85212698237825,35.238448907999995
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(2, 6600.999999999999, None)]}",293.5168981771201,134375.58238765423,6600.999999999999,6588.738596995001,3,43.068580120161215,6600.999999999999,20758.718999999997,True,54.55332177296121,11.484741652799997
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(4, 6630.999999999999, None)]}",57.825321252479114,20753.137717086047,6630.999999999999,6590.394446713001,3,9.453707506274235,6630.999999999999,8184.834999999998,True,11.974649410274234,2.5209419039999985
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(6, 6660.999999999999, None)]}",310.4901833144852,134444.69585047496,6660.999999999999,6593.277795493002,3,144.97091489847134,6660.999999999999,22546.188,True,183.62910841527133,38.6581935168
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(4, 6691.199999999999, None)]}",281.9460745575701,134561.2099982656,6691.199999999999,6599.9355670720015,1,293.35347973229904,6691.199999999999,34441.594999999994,True,338.375720580299,45.022240847999996
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(2, 6721.199999999999, None)]}",91.00759406898061,37645.752066325644,6721.199999999999,6600.9355670720015,3,13.371699749030347,6721.199999999999,11116.812,True,16.937420203430346,3.5657204544000005
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x11dc37770>: [(3, 6751.199999999999, None)]}",98.97570184637311,37996.10897684276,6751.199999999999,6639.2954836220015,3,26.72521104266483,6751.199999999999,12608.029999999997,True,33.85180178666483,7.126590743999998
