,instances,budget,deadline,sched_start_time,submit_time,software_id,current_license_cost,exec_start_time,finish_time,complete,license_cost,cost,hardware_cost
lamf-test-ce4837ee-c9b5-4728-816b-793fbe63012e,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(5, 30, 390), (2, 390, None), (8, 3840, None)]}",64.81020493737797,14109.368596154949,30,1.0,1,57.310061601642715,30,6016.852000000001,True,80.64649722412352,93.00452893612352,12.358031712000002
lamf-test-fdbe52b3-5ac4-4817-bbd7-3ee39ada2008,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(3, 60, 3540), (1, 3540, None)]}",309.54978900857253,127534.1026836131,60,48.865014532,1,135.1400720967374,60,68942.742,True,211.82610495094684,242.58792110614684,30.7618161552
lamf-test-312a25ed-966e-4a84-89af-21712bfc7175,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(4, 1230, 5700), (1, 5700, None)]}",330.5774711754339,128570.56240875281,1230,1212.60734671,1,47.25302304357746,1230,22061.878,True,93.29374750931629,107.18225322611629,13.888505716800001
lamf-test-6d60a076-8aec-42f5-ae5c-3923b3793c72,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(5, 1260, 6720), (2, 6720, None)]}",295.26855467250385,128843.05992579619,1260,1223.391189823,1,146.88119552817705,1260,26576.858999999997,True,179.0567335158567,206.2374975366567,27.180764020799998
lamf-test-f42e0220-9054-4dba-814a-9d6b93e25e15,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(2, 6630, 9630), (1, 9630, None)]}",293.5168981771201,134396.3350784362,6630,6609.491287777,3,47.6236732831394,6630,44864.59299999999,True,62.71897939006767,79.44373031086766,16.724750920799995
lamf-test-c2212f64-c788-46d9-9572-57170e08d2ac,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(4, 6660, None), (6, 7920, None)]}",57.825321252479114,20778.467689521043,6660,6615.724419148,3,7.665982203969882,6660,8213.835000000001,True,12.13529545973079,15.371314219730793,3.236018760000004
lamf-test-0aa73555-99c3-40be-a09f-6bf3df006265,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(6, 6690, None)]}",310.4901833144852,134470.43144693397,6690,6619.013391952,3,,6690,22575.188000000002,True,144.97091489847136,183.62910841527136,38.658193516800004
lamf-test-761a035c-9b31-431d-b128-35fe1a248496,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(4, 6720, 11791.608), (2, 11791.608, None), (4, 37610.184, None)]}",281.9460745575701,134597.2895583256,6720,6636.015127132,1,215.06368605977642,6720,41291.4569640098,True,251.81684770264337,289.94779925825765,38.130951555614246
lamf-test-c947c209-c0e1-414b-aa78-1430406df6ae,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(2, 6750, 7410), (1, 7410, None), (3, 9810, None)]}",91.00759406898061,37681.83162638564,6750,6637.015127132,3,8.213552361396303,6750,15504.349999999999,True,40.30329302608562,51.050638466085616,10.747345439999998
lamf-test-1b5247ff-56d3-4066-aafc-ee4137f1169c,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(3, 6780, 7740), (2, 7740, None), (8, 15625.896, None)]}",98.97570184637311,38007.730151842756,6780,6650.916658622,3,43.292283823864935,6780,17955.661892119966,True,63.80629845798106,80.82099575161963,17.01469729363858
lamf-test-a35e3102-219f-4336-95ce-4d87e6b5e69c,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(6, 7230, 8520), (1, 8520, None), (5, 9960, None)]}",88.24903114605627,38415.24096926724,7230,7206.8181937185,3,13.963039014373715,7230,12578.626,True,37.861063198722334,47.957159432322335,10.0960962336
lamf-test-8d2ae00d-f906-47ac-81a5-138a54772bef,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(2, 7260, 9270), (1, 9270, None), (7, 13783.752, 19257.504), (1, 19257.504, None)]}",310.3508838593914,135049.48906933446,7260,7240.953135173,3,79.58592744695414,7260,27204.559999999998,True,103.76132025249066,131.43049238049065,27.669172128
lamf-test-b41bc5e6-51fb-4710-b8ea-caebbe600cb8,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(6, 7290, 9300), (2, 9300, None)]}",308.5846884800438,135343.68609307913,7290,7243.472336948,2,8.686918223226783,7290,14773.935,True,23.567644987273614,32.899637059273616,9.331992072
lamf-test-8a5bf643-d5be-430a-ac2f-d8a1f25fa6d3,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(3, 7830, 9840), (1, 9840, None), (7, 12922.68, None)]}",322.3613792231315,135518.43798166534,7830,7811.279117855,2,12.738691943327208,7830,17399.771,True,42.47273423899626,60.696102123796265,18.223367884800002
lamf-test-cbef53e7-aa65-412f-b9a4-02aefd0bda1b,"{<resource_manager.instance.OnPremInstance object at 0x1291e7770>: [(2, 7860, None), (6, 10080, None)]}",89.7921856815224,39066.07590268926,7860,7817.346874903999,1,81.19051243440566,7860,13924.682209544986,True,93.27261801304329,107.54870684657486,14.27608883353157
